#   date  grwst
#            cm
 2- 1-80   -78.5
 3- 1-80   -83.6
 4- 1-80   -75.0
 5- 1-80   -78.5
 6- 1-80   -82.0
 7- 1-80   -86.2
 8- 1-80   -89.7
 9- 1-80   -92.7
10- 1-80   -95.4
11- 1-80   -97.7
12- 1-80   -99.8
13- 1-80  -101.6
14- 1-80  -102.8
15- 1-80  -103.7
16- 1-80  -104.7
17- 1-80  -106.1
18- 1-80  -106.5
19- 1-80  -107.1
20- 1-80  -107.5
21- 1-80  -101.8
22- 1-80  -102.1
23- 1-80  -102.0
24- 1-80  -100.6
25- 1-80   -92.3
26- 1-80   -95.1
27- 1-80   -98.2
28- 1-80   -90.9
29- 1-80   -92.3
30- 1-80   -89.8
31- 1-80   -79.0
 1- 2-80   -84.0
 2- 2-80   -72.4
 3- 2-80   -62.4
 4- 2-80   -68.4
 5- 2-80   -54.4
 6- 2-80   -58.9
 7- 2-80   -62.2
 8- 2-80   -57.8
 9- 2-80   -66.6
10- 2-80   -72.2
11- 2-80   -75.3
12- 2-80   -80.8
13- 2-80   -82.1
14- 2-80   -86.7
15- 2-80   -81.9
16- 2-80   -86.3
17- 2-80   -90.2
18- 2-80   -94.3
19- 2-80   -98.3
20- 2-80  -101.7
21- 2-80  -104.7
22- 2-80  -107.3
23- 2-80  -109.2
24- 2-80  -110.5
25- 2-80  -110.4
26- 2-80  -110.6
27- 2-80  -110.5
28- 2-80  -111.0
29- 2-80  -109.1
 1- 3-80  -111.4
 2- 3-80  -110.0
 3- 3-80  -110.0
 4- 3-80  -107.5
 5- 3-80  -110.2
 6- 3-80  -101.6
 7- 3-80   -98.1
 8- 3-80  -102.3
 9- 3-80  -103.5
10- 3-80  -104.9
11- 3-80  -106.3
12- 3-80   -82.4
13- 3-80   -71.9
14- 3-80   -78.1
15- 3-80   -83.5
16- 3-80   -89.6
17- 3-80   -92.8
18- 3-80   -95.9
19- 3-80  -100.2
20- 3-80  -104.2
21- 3-80  -107.4
22- 3-80  -107.7
23- 3-80  -109.6
24- 3-80  -112.3
25- 3-80  -114.1
26- 3-80  -110.9
27- 3-80  -108.1
28- 3-80   -92.1
29- 3-80   -83.8
30- 3-80   -88.5
31- 3-80   -94.6
 1- 4-80   -90.3
 2- 4-80   -70.4
 3- 4-80   -74.0
 4- 4-80   -83.6
 5- 4-80   -91.0
 6- 4-80   -97.7
 7- 4-80  -100.6
 8- 4-80   -99.4
 9- 4-80   -98.2
10- 4-80  -102.5
11- 4-80  -105.4
12- 4-80  -111.1
13- 4-80  -116.7
14- 4-80  -121.4
15- 4-80  -125.4
16- 4-80  -128.5
17- 4-80  -130.0
18- 4-80  -119.2
19- 4-80  -113.2
20- 4-80  -106.2
21- 4-80  -110.6
22- 4-80  -112.6
23- 4-80  -117.4
24- 4-80  -119.5
25- 4-80  -113.4
26- 4-80  -115.2
27- 4-80  -119.2
28- 4-80  -111.8
29- 4-80  -109.4
30- 4-80  -114.3
 1- 5-80  -119.4
 2- 5-80  -124.2
 3- 5-80  -128.3
 4- 5-80  -130.0
 5- 5-80  -130.9
 6- 5-80  -133.4
 7- 5-80  -120.5
 8- 5-80  -120.2
 9- 5-80  -124.4
10- 5-80  -129.2
11- 5-80  -133.8
12- 5-80  -138.2
13- 5-80  -141.4
14- 5-80  -144.1
15- 5-80  -146.1
16- 5-80  -146.3
17- 5-80  -147.1
18- 5-80  -148.8
19- 5-80  -150.7
20- 5-80  -152.6
21- 5-80  -153.6
22- 5-80  -153.6
23- 5-80  -149.5
24- 5-80  -143.8
25- 5-80  -141.2
26- 5-80  -140.0
27- 5-80  -124.7
28- 5-80  -126.3
29- 5-80  -111.6
