#   date      q
#          mm/d
 2- 1-80     2.3
 3- 1-80     1.9
 4- 1-80     2.6
 5- 1-80     2.3
 6- 1-80     2.1
 7- 1-80     1.7
 8- 1-80     1.4
 9- 1-80     1.2
10- 1-80     0.9
11- 1-80     0.8
12- 1-80     0.6
13- 1-80     0.4
14- 1-80     0.3
15- 1-80     0.3
16- 1-80     0.2
17- 1-80     0.1
18- 1-80     0.0
19- 1-80     0.0
20- 1-80     0.0
21- 1-80     0.4
22- 1-80     0.4
23- 1-80     0.4
24- 1-80     0.5
25- 1-80     1.2
26- 1-80     1.0
27- 1-80     0.7
28- 1-80     1.3
29- 1-80     1.2
30- 1-80     1.4
31- 1-80     2.3
 1- 2-80     1.9
 2- 2-80     2.8
 3- 2-80     3.7
 4- 2-80     3.2
 5- 2-80     4.3
 6- 2-80     3.9
 7- 2-80     3.7
 8- 2-80     4.0
 9- 2-80     3.3
10- 2-80     2.8
11- 2-80     2.6
12- 2-80     2.2
13- 2-80     2.0
14- 2-80     1.7
15- 2-80     2.1
16- 2-80     1.7
17- 2-80     1.4
18- 2-80     1.0
19- 2-80     0.7
20- 2-80     0.4
21- 2-80     0.2
22- 2-80     0.0
23- 2-80     0.0
24- 2-80     0.0
25- 2-80     0.0
26- 2-80     0.0
27- 2-80     0.0
28- 2-80     0.0
29- 2-80     0.0
 1- 3-80     0.0
 2- 3-80     0.0
 3- 3-80     0.0
 4- 3-80     0.0
 5- 3-80     0.0
 6- 3-80     0.4
 7- 3-80     0.7
 8- 3-80     0.4
 9- 3-80     0.3
10- 3-80     0.2
11- 3-80     0.1
12- 3-80     2.0
13- 3-80     2.9
14- 3-80     2.4
15- 3-80     1.9
16- 3-80     1.4
17- 3-80     1.2
18- 3-80     0.9
19- 3-80     0.6
20- 3-80     0.2
21- 3-80     0.0
22- 3-80     0.0
23- 3-80     0.0
24- 3-80     0.0
25- 3-80     0.0
26- 3-80     0.0
27- 3-80     0.0
28- 3-80     1.2
29- 3-80     1.9
30- 3-80     1.5
31- 3-80     1.0
 1- 4-80     1.4
 2- 4-80     3.0
 3- 4-80     2.7
 4- 4-80     1.9
 5- 4-80     1.3
 6- 4-80     0.8
 7- 4-80     0.5
 8- 4-80     0.6
 9- 4-80     0.7
10- 4-80     0.4
11- 4-80     0.1
12- 4-80     0.0
13- 4-80     0.0
14- 4-80     0.0
15- 4-80     0.0
16- 4-80     0.0
17- 4-80     0.0
18- 4-80     0.0
19- 4-80     0.0
20- 4-80     0.1
21- 4-80     0.0
22- 4-80     0.0
23- 4-80     0.0
24- 4-80     0.0
25- 4-80     0.0
26- 4-80     0.0
27- 4-80     0.0
28- 4-80     0.0
29- 4-80     0.0
30- 4-80     0.0
 1- 5-80     0.0
 2- 5-80     0.0
 3- 5-80     0.0
 4- 5-80     0.0
 5- 5-80     0.0
 6- 5-80     0.0
 7- 5-80     0.0
 8- 5-80     0.0
 9- 5-80     0.0
10- 5-80     0.0
11- 5-80     0.0
12- 5-80     0.0
13- 5-80     0.0
14- 5-80     0.0
15- 5-80     0.0
16- 5-80     0.0
17- 5-80     0.0
18- 5-80     0.0
19- 5-80     0.0
20- 5-80     0.0
21- 5-80     0.0
22- 5-80     0.0
23- 5-80     0.0
24- 5-80     0.0
25- 5-80     0.0
26- 5-80     0.0
27- 5-80     0.0
28- 5-80     0.0
29- 5-80     0.0
30- 5-80     0.3
31- 5-80     0.1
 1- 6-80     0.0
 2- 6-80     0.0
 3- 6-80     0.0
 4- 6-80     0.0
 5- 6-80     0.0
 6- 6-80     0.0
 7- 6-80     0.0
 8- 6-80     0.0
 9- 6-80     0.0
10- 6-80     0.0
11- 6-80     0.0
12- 6-80     0.0
13- 6-80     0.0
14- 6-80     0.0
15- 6-80     0.0
16- 6-80     0.0
17- 6-80     0.0
18- 6-80     0.0
19- 6-80     0.0
20- 6-80     2.5
21- 6-80     2.2
22- 6-80     2.5
23- 6-80     2.2
24- 6-80     1.9
25- 6-80     2.5
26- 6-80     1.8
27- 6-80     2.1
28- 6-80     1.6
29- 6-80     3.0
30- 6-80     3.9
 1- 7-80     6.5
 2- 7-80     5.3
 3- 7-80     4.2
 4- 7-80     3.2
 5- 7-80     3.5
 6- 7-80     2.6
 7- 7-80     5.1
 8- 7-80     5.5
 9- 7-80     5.3
10- 7-80     5.7
11- 7-80     4.6
12- 7-80     3.9
13- 7-80     4.4
14- 7-80     6.5
15- 7-80     5.0
16- 7-80     4.7
17- 7-80     3.6
18- 7-80     4.2
19- 7-80     6.1
20- 7-80     5.6
21- 7-80     5.1
22- 7-80     3.7
23- 7-80     2.4
24- 7-80     1.4
25- 7-80     0.7
26- 7-80     0.0
27- 7-80     0.4
28- 7-80     0.1
29- 7-80     0.0
30- 7-80     0.5
31- 7-80     0.0
 1- 8-80     0.0
 2- 8-80     0.0
 3- 8-80     0.0
 4- 8-80     0.0
 5- 8-80     0.0
 6- 8-80     0.0
 7- 8-80     0.0
 8- 8-80     1.8
 9- 8-80     1.2
10- 8-80     0.4
11- 8-80     1.9
12- 8-80     2.5
13- 8-80     1.7
14- 8-80     0.9
15- 8-80     0.1
16- 8-80     0.0
17- 8-80     0.0
18- 8-80     0.0
19- 8-80     0.0
20- 8-80     0.0
21- 8-80     0.0
22- 8-80     0.5
23- 8-80     0.5
24- 8-80     0.1
25- 8-80     0.0
26- 8-80     0.0
27- 8-80     0.0
28- 8-80     0.0
29- 8-80     0.0
30- 8-80     0.0
31- 8-80     0.0
 1- 9-80     0.0
 2- 9-80     0.0
 3- 9-80     0.0
 4- 9-80     0.0
 5- 9-80     0.0
 6- 9-80     0.0
 7- 9-80     0.0
 8- 9-80     0.0
 9- 9-80     0.0
10- 9-80     0.0
11- 9-80     0.0
12- 9-80     0.0
13- 9-80     1.0
14- 9-80     1.7
15- 9-80     1.3
16- 9-80     0.8
17- 9-80     1.3
18- 9-80     0.8
19- 9-80     0.3
20- 9-80     0.0
21- 9-80     0.0
22- 9-80     0.0
23- 9-80     0.0
24- 9-80     0.0
25- 9-80     0.0
26- 9-80     0.0
27- 9-80     0.0
28- 9-80     0.0
29- 9-80     0.0
30- 9-80     0.0
 1-10-80     0.0
 2-10-80     0.0
 3-10-80     0.0
 4-10-80     0.0
 5-10-80     0.0
 6-10-80     0.3
 7-10-80     2.9
 8-10-80     4.1
 9-10-80     4.4
10-10-80     3.6
11-10-80     2.9
12-10-80     2.2
13-10-80     1.7
14-10-80     1.4
15-10-80     1.2
16-10-80     1.4
17-10-80     1.2
18-10-80     1.1
19-10-80     2.3
20-10-80     1.9
21-10-80     1.9
22-10-80     1.6
23-10-80     2.0
24-10-80     1.8
25-10-80     1.4
26-10-80     2.0
27-10-80     3.7
28-10-80     4.8
29-10-80     4.8
30-10-80     4.0
31-10-80     3.2
 1-11-80     2.6
 2-11-80     2.1
 3-11-80     1.6
 4-11-80     1.3
 5-11-80     1.0
 6-11-80     0.8
 7-11-80     2.6
 8-11-80     2.2
 9-11-80     1.8
10-11-80     1.4
11-11-80     1.4
12-11-80     1.3
13-11-80     1.1
14-11-80     2.3
15-11-80     4.4
16-11-80     3.9
17-11-80     5.1
18-11-80     5.1
19-11-80     5.0
20-11-80     4.1
21-11-80     3.4
22-11-80     4.0
23-11-80     5.9
24-11-80     6.4
25-11-80     5.4
26-11-80     5.1
27-11-80     5.0
28-11-80     5.5
29-11-80     4.9
30-11-80     4.0
 1-12-80     3.3
 2-12-80     3.1
 3-12-80     3.1
 4-12-80     3.5
 5-12-80     4.2
 6-12-80     3.6
 7-12-80     3.0
 8-12-80     2.5
 9-12-80     2.0
10-12-80     1.7
11-12-80     2.1
12-12-80     1.7
13-12-80     2.2
14-12-80     2.6
15-12-80     3.1
16-12-80     2.6
17-12-80     3.8
18-12-80     3.8
19-12-80     3.3
20-12-80     2.7
21-12-80     2.3
22-12-80     2.1
23-12-80     2.4
24-12-80     1.9
25-12-80     3.1
26-12-80     3.0
27-12-80     2.5
28-12-80     2.2
29-12-80     1.9
30-12-80     1.5
31-12-80     2.0
 1- 1-81     2.2
 2- 1-81     4.8
 3- 1-81     5.2
 4- 1-81     4.7
 5- 1-81     4.4
 6- 1-81     4.1
 7- 1-81     3.9
 8- 1-81     3.3
 9- 1-81     3.6
10- 1-81     3.0
11- 1-81     2.4
12- 1-81     2.8
13- 1-81     2.4
14- 1-81     4.8
15- 1-81     4.7
16- 1-81     4.0
17- 1-81     3.5
18- 1-81     2.9
19- 1-81     3.3
20- 1-81     3.0
21- 1-81     2.5
22- 1-81     2.1
23- 1-81     1.7
24- 1-81     1.5
25- 1-81     1.2
26- 1-81     0.9
27- 1-81     0.8
28- 1-81     0.6
29- 1-81     0.5
30- 1-81     0.4
31- 1-81     0.3
 1- 2-81     0.2
 2- 2-81     0.1
 3- 2-81     2.3
 4- 2-81     2.2
 5- 2-81     2.2
 6- 2-81     2.0
 7- 2-81     1.8
 8- 2-81     1.5
 9- 2-81     2.0
10- 2-81     3.4
11- 2-81     2.9
12- 2-81     2.4
13- 2-81     1.9
14- 2-81     1.5
15- 2-81     1.2
16- 2-81     1.0
17- 2-81     0.8
18- 2-81     0.6
19- 2-81     0.5
20- 2-81     0.6
21- 2-81     0.5
22- 2-81     0.3
23- 2-81     0.1
24- 2-81     0.3
25- 2-81     0.2
26- 2-81     0.1
27- 2-81     0.0
28- 2-81     0.0
 1- 3-81     0.0
 2- 3-81     0.6
 3- 3-81     0.8
 4- 3-81     0.5
 5- 3-81     0.4
 6- 3-81     0.3
 7- 3-81     1.0
 8- 3-81     2.1
 9- 3-81     2.2
10- 3-81     3.6
11- 3-81     7.4
12- 3-81     9.1
13- 3-81     7.7
14- 3-81     7.4
15- 3-81     6.2
16- 3-81     5.1
17- 3-81     4.1
18- 3-81     3.7
19- 3-81     4.8
20- 3-81     3.8
21- 3-81     3.2
22- 3-81     2.6
23- 3-81     2.9
24- 3-81     2.8
25- 3-81     3.5
26- 3-81     4.4
27- 3-81     3.3
28- 3-81     2.4
29- 3-81     1.8
30- 3-81     1.3
31- 3-81     0.9
 1- 4-81     0.6
 2- 4-81     0.4
 3- 4-81     0.2
 4- 4-81     0.1
 5- 4-81     0.0
 6- 4-81     0.0
 7- 4-81     0.0
 8- 4-81     0.0
 9- 4-81     0.0
10- 4-81     0.0
11- 4-81     0.0
12- 4-81     0.0
13- 4-81     0.0
14- 4-81     0.0
15- 4-81     0.0
16- 4-81     0.0
17- 4-81     0.0
18- 4-81     0.0
19- 4-81     0.0
20- 4-81     0.0
21- 4-81     0.0
22- 4-81     0.0
23- 4-81     0.0
24- 4-81     0.0
25- 4-81     0.0
26- 4-81     0.0
27- 4-81     0.0
28- 4-81     0.0
29- 4-81     0.0
30- 4-81     0.0
 1- 5-81     0.0
 2- 5-81     0.0
 3- 5-81     0.0
 4- 5-81     0.0
 5- 5-81     0.0
 6- 5-81     0.0
 7- 5-81     0.0
 8- 5-81     0.0
 9- 5-81     0.0
10- 5-81     0.0
11- 5-81     0.0
12- 5-81     0.0
13- 5-81     0.0
14- 5-81     0.0
15- 5-81     0.0
16- 5-81     0.0
17- 5-81     0.0
18- 5-81     0.0
19- 5-81     0.0
20- 5-81     0.0
21- 5-81     0.0
22- 5-81     0.0
23- 5-81     0.0
24- 5-81     0.0
25- 5-81     0.0
26- 5-81     0.0
27- 5-81     0.0
28- 5-81     0.0
29- 5-81     0.0
30- 5-81     0.0
31- 5-81     0.0
 1- 6-81     0.0
 2- 6-81     0.0
 3- 6-81     0.0
 4- 6-81     0.0
 5- 6-81     0.0
 6- 6-81     0.0
 7- 6-81     0.0
 8- 6-81     0.0
 9- 6-81     0.0
10- 6-81     0.0
11- 6-81     0.0
12- 6-81     0.0
13- 6-81     0.0
14- 6-81     0.0
15- 6-81     0.0
16- 6-81     0.0
17- 6-81     0.0
18- 6-81     0.0
19- 6-81     0.0
20- 6-81     0.0
21- 6-81     0.0
22- 6-81     0.0
23- 6-81     0.0
24- 6-81     0.0
25- 6-81     0.0
26- 6-81     0.0
27- 6-81     0.0
28- 6-81     0.0
