# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 210:         4.419       52.165      -0.20  VALKENBURG
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  210,19700101,     ,     ,     ,     ,  210,     ,     
  210,19700102,     ,     ,     ,     ,  210,     ,     
  210,19700103,     ,     ,     ,     ,  210,     ,     
  210,19700104,     ,     ,     ,     ,  210,     ,     
  210,19700105,     ,     ,     ,     ,  210,     ,     
  210,19700106,     ,     ,     ,     ,  210,     ,     
  210,19700107,     ,     ,     ,     ,  210,     ,     
  210,19700108,     ,     ,     ,     ,  210,     ,     
  210,19700109,     ,     ,     ,     ,  210,     ,     
  210,19700110,     ,     ,     ,     ,  210,     ,     
  210,19700111,     ,     ,     ,     ,  210,     ,     
  210,19700112,     ,     ,     ,     ,  210,     ,     
  210,19700113,     ,     ,     ,     ,  210,     ,     
  210,19700114,     ,     ,     ,     ,  210,     ,     
  210,19700115,     ,     ,     ,     ,  210,     ,     
  210,19700116,     ,     ,     ,     ,  210,     ,     
  210,19700117,     ,     ,     ,     ,  210,     ,     
  210,19700118,     ,     ,     ,     ,  210,     ,     
  210,19700119,     ,     ,     ,     ,  210,     ,     
  210,19700120,     ,     ,     ,     ,  210,     ,     
  210,19700121,     ,     ,     ,     ,  210,     ,     
  210,19700122,     ,     ,     ,     ,  210,     ,     
  210,19700123,     ,     ,     ,     ,  210,     ,     
  210,19700124,     ,     ,     ,     ,  210,     ,     
  210,19700125,     ,     ,     ,     ,  210,     ,     
