# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 215:         4.437       52.141      -1.20  VOORSCHOTEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  215,20140715,     ,     ,     ,     ,  215,     ,     
  215,20140716,    0,    0,    0,    1,  215,    0,   46
  215,20140717,    0,    0,    0,    1,  215,    0,   47
  215,20140718,    0,    0,    0,    1,  215,    0,   51
  215,20140719,    0,   -1,   -1,   18,  215,   -1,   40
  215,20140720,    6,   50,   50,    4,  215,   50,   25
  215,20140721,   25,   16,    8,   15,  215,   16,    9
  215,20140722,    2,   10,   10,    4,  215,   10,   50
  215,20140723,    0,    0,    0,    1,  215,    0,   53
  215,20140724,    0,    0,    0,    1,  215,    0,   47
  215,20140725,    0,   -1,   -1,    5,  215,   -1,   19
  215,20140726,    0,   -1,   -1,    1,  215,   -1,   42
  215,20140727,    0,   -1,   -1,   24,  215,   -1,   38
  215,20140728,   56,  251,   84,    8,  215,  251,   24
  215,20140729,    0,   -1,   -1,    8,  215,   -1,   26
  215,20140730,    0,    0,    0,    1,  215,    0,   34
  215,20140731,    0,    0,    0,    1,  215,    0,   39
  215,20140801,    0,    0,    0,    1,  215,    0,   39
  215,20140802,    0,    0,    0,    1,  215,    0,   28
  215,20140803,    7,  133,  133,   24,  215,  133,   40
  215,20140804,   15,   17,   14,    1,  215,   17,   43
  215,20140805,    0,    0,    0,    1,  215,    0,   40
  215,20140806,   37,   44,   25,   16,  215,   44,   11
  215,20140807,    0,   -1,   -1,    1,  215,   -1,   39
  215,20140808,    6,    7,    4,   17,  215,    7,   19
  215,20140809,   15,   28,   25,    4,  215,   28,   40
  215,20140810,   31,   63,   36,   15,  215,   63,   14
  215,20140811,    9,   22,    9,   23,  215,   22,   36
  215,20140812,   17,   69,   25,    1,  215,   69,   31
  215,20140813,   23,   42,   16,   21,  215,   42,   38
  215,20140814,   23,   73,   26,   20,  215,   73,   32
  215,20140815,   24,   44,   22,    5,  215,   44,   31
  215,20140816,    5,    2,    1,    2,  215,    2,   25
  215,20140817,   19,  111,   43,   20,  215,  111,   10
  215,20140818,   20,   42,   24,   12,  215,   42,   21
  215,20140819,   32,   65,   29,    1,  215,   65,   21
  215,20140820,   26,   31,   13,    8,  215,   31,   21
  215,20140821,   18,   64,   42,   23,  215,   64,   21
  215,20140822,   39,   42,   12,   14,  215,   42,   16
  215,20140823,   14,   47,   36,    7,  215,   47,   31
  215,20140824,    9,   48,   35,    3,  215,   48,   31
  215,20140825,   94,  112,   21,   24,  215,  112,   10
  215,20140826,   78,  136,   40,    2,  215,  136,   13
  215,20140827,    0,    0,    0,    1,  215,    0,   34
  215,20140828,    8,   15,   14,   17,  215,   15,   14
  215,20140829,    3,   12,   12,   24,  215,   12,   25
  215,20140830,   22,   33,   14,    7,  215,   33,   19
  215,20140831,   11,   20,    9,   16,  215,   20,   21
  215,20140901,    4,    4,    4,   18,  215,    4,   29
  215,20140902,    0,    0,    0,    1,  215,    0,   22
  215,20140903,    0,    0,    0,    1,  215,    0,   33
  215,20140904,    0,    0,    0,    1,  215,    0,   31
  215,20140905,    0,    0,    0,    1,  215,    0,   14
  215,20140906,    0,    0,    0,    1,  215,    0,   12
  215,20140907,    4,    3,    3,    1,  215,    3,   27
  215,20140908,    0,    0,    0,    1,  215,    0,   30
  215,20140909,    0,   -1,   -1,    4,  215,   -1,   13
