# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 225:         4.575       52.463       4.40  IJMUIDEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  225,19710101,     ,     ,     ,     ,  225,     ,     
  225,19710102,     ,     ,     ,     ,  225,     ,     
  225,19710103,     ,     ,     ,     ,  225,     ,     
  225,19710104,     ,     ,     ,     ,  225,     ,     
  225,19710105,     ,     ,     ,     ,  225,     ,     
  225,19710106,     ,     ,     ,     ,  225,     ,     
  225,19710107,     ,     ,     ,     ,  225,     ,     
  225,19710108,     ,     ,     ,     ,  225,     ,     
  225,19710109,     ,     ,     ,     ,  225,     ,     
  225,19710110,     ,     ,     ,     ,  225,     ,     
  225,19710111,     ,     ,     ,     ,  225,     ,     
  225,19710112,     ,     ,     ,     ,  225,     ,     
  225,19710113,     ,     ,     ,     ,  225,     ,     
  225,19710114,     ,     ,     ,     ,  225,     ,     
  225,19710115,     ,     ,     ,     ,  225,     ,     
  225,19710116,     ,     ,     ,     ,  225,     ,     
  225,19710117,     ,     ,     ,     ,  225,     ,     
  225,19710118,     ,     ,     ,     ,  225,     ,     
  225,19710119,     ,     ,     ,     ,  225,     ,     
  225,19710120,     ,     ,     ,     ,  225,     ,     
  225,19710121,     ,     ,     ,     ,  225,     ,     
  225,19710122,     ,     ,     ,     ,  225,     ,     
  225,19710123,     ,     ,     ,     ,  225,     ,     
  225,19710124,     ,     ,     ,     ,  225,     ,     
  225,19710125,     ,     ,     ,     ,  225,     ,     
  225,19710126,     ,     ,     ,     ,  225,     ,     
  225,19710127,     ,     ,     ,     ,  225,     ,     
  225,19710128,     ,     ,     ,     ,  225,     ,     
  225,19710129,     ,     ,     ,     ,  225,     ,     
  225,19710130,     ,     ,     ,     ,  225,     ,     
  225,19710131,     ,     ,     ,     ,  225,     ,     
  225,19710201,     ,     ,     ,     ,  225,     ,     
  225,19710202,     ,     ,     ,     ,  225,     ,     
  225,19710203,     ,     ,     ,     ,  225,     ,     
  225,19710204,     ,     ,     ,     ,  225,     ,     
  225,19710205,     ,     ,     ,     ,  225,     ,     
  225,19710206,     ,     ,     ,     ,  225,     ,     
  225,19710207,     ,     ,     ,     ,  225,     ,     
  225,19710208,     ,     ,     ,     ,  225,     ,     
  225,19710209,     ,     ,     ,     ,  225,     ,     
  225,19710210,     ,     ,     ,     ,  225,     ,     
  225,19710211,     ,     ,     ,     ,  225,     ,     
  225,19710212,     ,     ,     ,     ,  225,     ,     
  225,19710213,     ,     ,     ,     ,  225,     ,     
  225,19710214,     ,     ,     ,     ,  225,     ,     
