# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 235:         4.785       52.924       0.50  DE KOOY
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  235,19700101,    0,    0,    0,     ,  235,    0,    4
  235,19700102,   14,   21,    6,     ,  235,   21,    2
  235,19700103,    2,    5,    3,     ,  235,    5,    3
  235,19700104,    0,    0,    0,     ,  235,    0,    5
  235,19700105,    9,   14,    8,     ,  235,   14,    3
  235,19700106,   14,   32,   10,     ,  235,   32,    1
  235,19700107,    0,    0,    0,     ,  235,    0,    4
  235,19700108,    0,    0,    0,     ,  235,    0,    3
  235,19700109,   32,   38,   15,     ,  235,   38,    1
  235,19700110,   27,   30,   12,     ,  235,   30,    2
  235,19700111,    0,    0,    0,     ,  235,    0,    3
  235,19700112,    1,    1,    1,     ,  235,    1,    3
  235,19700113,    0,    0,    0,     ,  235,    0,    2
  235,19700114,    1,    2,    2,     ,  235,    2,    4
  235,19700115,   55,   69,   26,     ,  235,   69,    1
  235,19700116,    6,    7,    5,     ,  235,    7,    0
  235,19700117,    0,    0,    0,     ,  235,    0,    1
  235,19700118,    0,    0,    0,     ,  235,    0,    2
  235,19700119,    0,    0,    0,     ,  235,    0,    2
  235,19700120,    0,    0,    0,     ,  235,    0,    1
  235,19700121,    0,    0,    0,     ,  235,    0,    4
  235,19700122,   14,   16,   10,     ,  235,   16,    1
  235,19700123,    5,   10,    7,     ,  235,   10,    2
  235,19700124,    0,    0,    0,     ,  235,    0,    1
  235,19700125,   75,  123,   28,     ,  235,  123,    2
  235,19700126,    3,    4,    1,     ,  235,    4,    2
  235,19700127,    1,    2,    1,     ,  235,    2,    2
  235,19700128,    0,    0,    0,     ,  235,    0,    1
  235,19700129,    0,    0,    0,     ,  235,    0,    2
  235,19700130,    0,    0,    0,     ,  235,    0,    1
  235,19700131,    0,    0,    0,     ,  235,    0,    7
  235,19700201,    0,    0,    0,     ,  235,    0,    6
  235,19700202,   64,   97,   19,     ,  235,   97,    8
  235,19700203,    0,    0,    0,     ,  235,    0,    8
  235,19700204,   29,   43,   28,     ,  235,   43,    4
  235,19700205,   33,   38,   27,     ,  235,   38,    1
  235,19700206,   11,   11,    6,     ,  235,   11,    7
  235,19700207,   26,   28,   10,     ,  235,   28,    2
  235,19700208,   10,   19,   10,     ,  235,   19,    4
  235,19700209,   23,   17,    5,     ,  235,   17,    7
  235,19700210,   13,   26,   12,     ,  235,   26,    5
  235,19700211,    2,    8,    8,     ,  235,    8,    9
  235,19700212,    0,    2,    1,     ,  235,    2,    2
  235,19700213,    7,   13,   11,     ,  235,   13,    6
  235,19700214,    0,    0,    0,     ,  235,    0,    2
  235,19700215,   13,   32,   22,     ,  235,   32,    8
  235,19700216,   14,   22,    9,     ,  235,   22,    8
  235,19700217,   70,  164,   35,     ,  235,  164,    2
  235,19700218,    0,    0,    0,     ,  235,    0,    9
  235,19700219,   62,   46,   13,     ,  235,   46,    2
  235,19700220,   42,   63,   23,     ,  235,   63,    2
  235,19700221,  105,  141,   32,     ,  235,  141,    4
  235,19700222,  104,  132,   27,     ,  235,  132,    7
  235,19700223,   15,    5,    2,     ,  235,    5,   10
  235,19700224,    2,    2,    2,     ,  235,    2,   11
  235,19700225,    7,   14,    7,     ,  235,   14,   11
  235,19700226,    0,    0,    0,     ,  235,    0,    4
  235,19700227,    6,    7,    5,     ,  235,    7,    4
  235,19700228,    0,    0,    0,     ,  235,    0,   12
  235,19700301,   69,   74,   14,     ,  235,   74,    3
  235,19700302,   25,   27,   12,     ,  235,   27,   11
  235,19700303,    8,    6,    3,     ,  235,    6,    9
  235,19700304,    3,    4,    4,     ,  235,    4,   11
  235,19700305,    1,    1,    1,     ,  235,    1,   10
  235,19700306,   12,   19,    6,     ,  235,   19,   12
  235,19700307,   17,   32,   20,     ,  235,   32,   15
  235,19700308,    0,    0,    0,     ,  235,    0,   10
  235,19700309,   46,   57,   27,     ,  235,   57,   11
  235,19700310,    0,    0,    0,     ,  235,    0,   14
  235,19700311,    0,    1,    1,     ,  235,    1,   11
  235,19700312,    0,    0,    0,     ,  235,    0,   10
  235,19700313,    0,    0,    0,     ,  235,    0,    3
  235,19700314,    0,    0,    0,     ,  235,    0,   10
  235,19700315,    2,    4,    1,     ,  235,    4,    7
  235,19700316,    0,    2,    1,     ,  235,    2,    9
