# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.774       52.301      -4.40  SCHIPHOL
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  240,19700101,     ,     ,     ,     ,  240,     ,     
  240,19700102,     ,     ,     ,     ,  240,     ,     
  240,19700103,     ,     ,     ,     ,  240,     ,     
  240,19700104,     ,     ,     ,     ,  240,     ,     
  240,19700105,     ,     ,     ,     ,  240,     ,     
  240,19700106,     ,     ,     ,     ,  240,     ,     
  240,19700107,     ,     ,     ,     ,  240,     ,     
  240,19700108,     ,     ,     ,     ,  240,     ,     
  240,19700109,     ,     ,     ,     ,  240,     ,     
  240,19700110,     ,     ,     ,     ,  240,     ,     
  240,19700111,     ,     ,     ,     ,  240,     ,     
  240,19700112,     ,     ,     ,     ,  240,     ,     
  240,19700113,     ,     ,     ,     ,  240,     ,     
  240,19700114,     ,     ,     ,     ,  240,     ,     
  240,19700115,     ,     ,     ,     ,  240,     ,     
  240,19700116,     ,     ,     ,     ,  240,     ,     
  240,19700117,     ,     ,     ,     ,  240,     ,     
  240,19700118,     ,     ,     ,     ,  240,     ,     
  240,19700119,     ,     ,     ,     ,  240,     ,     
  240,19700120,     ,     ,     ,     ,  240,     ,     
  240,19700121,     ,     ,     ,     ,  240,     ,     
  240,19700122,     ,     ,     ,     ,  240,     ,     
  240,19700123,     ,     ,     ,     ,  240,     ,     
  240,19700124,     ,     ,     ,     ,  240,     ,     
  240,19700125,     ,     ,     ,     ,  240,     ,     
  240,19700126,     ,     ,     ,     ,  240,     ,     
  240,19700127,     ,     ,     ,     ,  240,     ,     
  240,19700128,     ,     ,     ,     ,  240,     ,     
  240,19700129,     ,     ,     ,     ,  240,     ,     
  240,19700130,     ,     ,     ,     ,  240,     ,     
  240,19700131,     ,     ,     ,     ,  240,     ,     
  240,19700201,     ,     ,     ,     ,  240,     ,     
  240,19700202,     ,     ,     ,     ,  240,     ,     
  240,19700203,     ,     ,     ,     ,  240,     ,     
  240,19700204,     ,     ,     ,     ,  240,     ,     
  240,19700205,     ,     ,     ,     ,  240,     ,     
  240,19700206,     ,     ,     ,     ,  240,     ,     
  240,19700207,     ,     ,     ,     ,  240,     ,     
  240,19700208,     ,     ,     ,     ,  240,     ,     
  240,19700209,     ,     ,     ,     ,  240,     ,     
  240,19700210,     ,     ,     ,     ,  240,     ,     
  240,19700211,     ,     ,     ,     ,  240,     ,     
  240,19700212,     ,     ,     ,     ,  240,     ,     
  240,19700213,     ,     ,     ,     ,  240,     ,     
  240,19700214,     ,     ,     ,     ,  240,     ,     
  240,19700215,     ,     ,     ,     ,  240,     ,     
  240,19700216,     ,     ,     ,     ,  240,     ,     
  240,19700217,     ,     ,     ,     ,  240,     ,     
  240,19700218,     ,     ,     ,     ,  240,     ,     
  240,19700219,     ,     ,     ,     ,  240,     ,     
  240,19700220,     ,     ,     ,     ,  240,     ,     
  240,19700221,     ,     ,     ,     ,  240,     ,     
  240,19700222,     ,     ,     ,     ,  240,     ,     
  240,19700223,     ,     ,     ,     ,  240,     ,     
  240,19700224,     ,     ,     ,     ,  240,     ,     
  240,19700225,     ,     ,     ,     ,  240,     ,     
  240,19700226,     ,     ,     ,     ,  240,     ,     
