# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.942       53.255       0.90  VLIELAND
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  242,19950901,     ,     ,     ,     ,  242,     ,     
  242,19950902,     ,     ,     ,     ,  242,     ,     
  242,19950903,     ,     ,     ,     ,  242,     ,     
  242,19950904,     ,     ,     ,     ,  242,     ,     
  242,19950905,     ,     ,     ,     ,  242,     ,     
  242,19950906,     ,     ,     ,     ,  242,     ,     
  242,19950907,     ,     ,     ,     ,  242,     ,     
  242,19950908,     ,     ,     ,     ,  242,     ,     
  242,19950909,     ,     ,     ,     ,  242,     ,     
  242,19950910,     ,     ,     ,     ,  242,     ,     
  242,19950911,     ,     ,     ,     ,  242,     ,     
  242,19950912,     ,     ,     ,     ,  242,     ,     
  242,19950913,     ,     ,     ,     ,  242,     ,     
  242,19950914,     ,     ,     ,     ,  242,     ,     
  242,19950915,     ,     ,     ,     ,  242,     ,     
  242,19950916,     ,     ,     ,     ,  242,     ,     
  242,19950917,     ,     ,     ,     ,  242,     ,     
  242,19950918,     ,     ,     ,     ,  242,     ,     
  242,19950919,     ,     ,     ,     ,  242,     ,     
  242,19950920,     ,     ,     ,     ,  242,     ,     
  242,19950921,     ,     ,     ,     ,  242,     ,     
  242,19950922,     ,     ,     ,     ,  242,     ,     
  242,19950923,     ,     ,     ,     ,  242,     ,     
  242,19950924,     ,     ,     ,     ,  242,     ,     
  242,19950925,     ,     ,     ,     ,  242,     ,     
  242,19950926,     ,     ,     ,     ,  242,     ,     
  242,19950927,     ,     ,     ,     ,  242,     ,     
  242,19950928,     ,     ,     ,     ,  242,     ,     
  242,19950929,     ,     ,     ,     ,  242,     ,     
  242,19950930,     ,     ,     ,     ,  242,     ,     
  242,19951001,     ,     ,     ,     ,  242,     ,     
  242,19951002,     ,     ,     ,     ,  242,     ,     
  242,19951003,     ,     ,     ,     ,  242,     ,     
  242,19951004,     ,     ,     ,     ,  242,     ,     
  242,19951005,     ,     ,     ,     ,  242,     ,     
  242,19951006,     ,     ,     ,     ,  242,     ,     
  242,19951007,     ,     ,     ,     ,  242,     ,     
  242,19951008,     ,     ,     ,     ,  242,     ,     
  242,19951009,     ,     ,     ,     ,  242,     ,     
  242,19951010,     ,     ,     ,     ,  242,     ,     
  242,19951011,     ,     ,     ,     ,  242,     ,     
  242,19951012,     ,     ,     ,     ,  242,     ,     
  242,19951013,     ,     ,     ,     ,  242,     ,     
  242,19951014,     ,     ,     ,     ,  242,     ,     
  242,19951015,     ,     ,     ,     ,  242,     ,     
  242,19951016,     ,     ,     ,     ,  242,     ,     
  242,19951017,     ,     ,     ,     ,  242,     ,     
  242,19951018,     ,     ,     ,     ,  242,     ,     
  242,19951019,     ,     ,     ,     ,  242,     ,     
  242,19951020,     ,     ,     ,     ,  242,     ,     
  242,19951021,     ,     ,     ,     ,  242,     ,     
  242,19951022,     ,     ,     ,     ,  242,     ,     
  242,19951023,     ,     ,     ,     ,  242,     ,     
  242,19951024,     ,     ,     ,     ,  242,     ,     
  242,19951025,     ,     ,     ,     ,  242,     ,     
  242,19951026,     ,     ,     ,     ,  242,     ,     
  242,19951027,     ,     ,     ,     ,  242,     ,     
  242,19951028,     ,     ,     ,     ,  242,     ,     
  242,19951029,     ,     ,     ,     ,  242,     ,     
  242,19951030,     ,     ,     ,     ,  242,     ,     
  242,19951031,     ,     ,     ,     ,  242,     ,     
  242,19951101,     ,     ,     ,     ,  242,     ,     
  242,19951102,     ,     ,     ,     ,  242,     ,     
  242,19951103,     ,     ,     ,     ,  242,     ,     
  242,19951104,     ,     ,     ,     ,  242,     ,     
  242,19951105,     ,     ,     ,     ,  242,     ,     
  242,19951106,     ,     ,     ,     ,  242,     ,     
  242,19951107,     ,     ,     ,     ,  242,     ,     
