# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 249:         4.979       52.644      -2.50  BERKHOUT
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  249,19990323,   59,   77,   22,    3,  249,   77,    8
  249,19990324,    0,    0,    0,    1,  249,    0,    7
  249,19990325,    0,   -1,   -1,   18,  249,   -1,   18
  249,19990326,   43,   75,   40,   20,  249,   75,    9
  249,19990327,    0,    0,    0,    1,  249,    0,   18
  249,19990328,    0,    0,    0,    1,  249,    0,   21
  249,19990329,    0,    0,    0,    1,  249,    0,   23
  249,19990330,   85,   46,   11,   17,  249,   46,    6
  249,19990331,    0,    0,    0,    1,  249,    0,   24
  249,19990401,    0,    0,    0,    1,  249,    0,   27
  249,19990402,    0,    0,    0,    1,  249,    0,   26
  249,19990403,   89,  123,   21,   13,  249,  123,   10
  249,19990404,    0,   -1,   -1,   24,  249,   -1,    9
  249,19990405,    0,   -1,   -1,    2,  249,   -1,    7
  249,19990406,   21,   23,   11,   14,  249,   23,    6
  249,19990407,   10,    8,    6,    4,  249,    8,   16
  249,19990408,    0,    0,    0,    1,  249,    0,    7
  249,19990409,    3,    1,    1,    7,  249,    1,    9
  249,19990410,   22,   37,   18,   18,  249,   37,    6
  249,19990411,    0,    0,    0,    1,  249,    0,   18
  249,19990412,   67,   87,   19,    8,  249,   87,   13
  249,19990413,   61,   75,   24,   19,  249,   75,   15
  249,19990414,   40,   75,   22,    6,  249,   75,   20
  249,19990415,    4,    4,    3,   17,  249,    4,   16
  249,19990416,    0,   -1,   -1,   22,  249,   -1,   19
  249,19990417,    3,    2,    2,    6,  249,    2,   25
  249,19990418,    0,    0,    0,    1,  249,    0,   17
  249,19990419,    0,    0,    0,    1,  249,    0,   27
  249,19990420,   15,    5,    4,   24,  249,    5,   26
  249,19990421,   44,   54,   19,    3,  249,   54,   21
  249,19990422,   10,   42,   40,    5,  249,   42,   26
  249,19990423,    0,   -1,   -1,   22,  249,   -1,   29
  249,19990424,    0,   -1,   -1,    5,  249,   -1,   21
