# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 251:         5.346       53.393       0.50  HOORN (TERSCHELLING)
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  251,19940526,     ,     ,     ,     ,  251,     ,     
  251,19940527,     ,     ,     ,     ,  251,     ,     
  251,19940528,     ,     ,     ,     ,  251,     ,     
  251,19940529,     ,     ,     ,     ,  251,     ,     
  251,19940530,     ,     ,     ,     ,  251,     ,     
  251,19940531,     ,     ,     ,     ,  251,     ,     
  251,19940601,    0,    0,    0,    1,  251,    0,   46
  251,19940602,   26,   13,    6,   21,  251,   13,   12
  251,19940603,    0,   -1,   -1,    7,  251,   -1,   39
  251,19940604,   59,   20,    6,   19,  251,   20,   22
  251,19940605,    0,   -1,   -1,   12,  251,   -1,   38
  251,19940606,   21,   15,    6,   13,  251,   15,   21
  251,19940607,   26,   18,    9,   21,  251,   18,   19
  251,19940608,    0,   -1,   -1,    6,  251,   -1,   15
  251,19940609,   23,   32,   12,   23,  251,   32,   30
  251,19940610,   21,   14,    4,   11,  251,   14,   25
  251,19940611,    6,    2,    2,    5,  251,    2,   37
  251,19940612,    0,    0,    0,    1,  251,    0,   36
  251,19940613,    0,    0,    0,    1,  251,    0,   39
  251,19940614,    0,    0,    0,    1,  251,    0,   46
  251,19940615,    0,   -1,   -1,   21,  251,   -1,   28
  251,19940616,   25,    6,    4,    9,  251,    6,   22
  251,19940617,    0,    0,    0,    1,  251,    0,   34
  251,19940618,    0,   -1,   -1,    1,  251,   -1,   14
  251,19940619,    0,    0,    0,    1,  251,    0,   24
  251,19940620,    0,   -1,   -1,   10,  251,   -1,   34
  251,19940621,   50,   58,   26,   18,  251,   58,   15
  251,19940622,   10,    2,    2,    6,  251,    2,   39
  251,19940623,    0,    0,    0,    1,  251,    0,   44
  251,19940624,    0,    0,    0,    1,  251,    0,   47
  251,19940625,   20,   21,   10,   14,  251,   21,   23
  251,19940626,    0,    0,    0,    1,  251,    0,   37
  251,19940627,    0,   -1,   -1,   11,  251,   -1,   28
  251,19940628,    0,   -1,   -1,    1,  251,   -1,   49
  251,19940629,   19,   45,   32,   10,  251,   45,   37
  251,19940630,    0,    0,    0,    1,  251,    0,   48
  251,19940701,    0,    0,    0,    1,  251,    0,   50
  251,19940702,    0,    0,    0,    1,  251,    0,   42
  251,19940703,    0,    0,    0,    1,  251,    0,   44
  251,19940704,   21,  120,   67,   12,  251,  120,   23
  251,19940705,    0,    0,    0,    1,  251,    0,   35
  251,19940706,    0,    0,    0,    1,  251,    0,   36
  251,19940707,   58,   37,   12,   11,  251,   37,   15
  251,19940708,    0,    0,    0,    1,  251,    0,   25
  251,19940709,    0,    0,    0,    1,  251,    0,   30
  251,19940710,    0,    0,    0,    1,  251,    0,   49
  251,19940711,    0,    0,    0,    1,  251,    0,   48
  251,19940712,    0,    0,    0,    1,  251,    0,   52
  251,19940713,   13,   81,   72,   23,  251,   81,   46
  251,19940714,   74,  102,   38,    8,  251,  102,   12
  251,19940715,    0,    0,    0,    1,  251,    0,   38
  251,19940716,    0,    0,    0,    1,  251,    0,   38
  251,19940717,    0,    0,    0,    1,  251,    0,   43
  251,19940718,    0,    0,    0,    1,  251,    0,   45
  251,19940719,    0,    0,    0,    1,  251,    0,   49
  251,19940720,    0,    0,    0,    1,  251,    0,   46
  251,19940721,    0,    0,    0,    1,  251,    0,   48
  251,19940722,    0,    0,    0,    1,  251,    0,   45
  251,19940723,    0,    0,    0,    1,  251,    0,   43
  251,19940724,    0,    0,    0,    1,  251,    0,   42
  251,19940725,    0,   -1,   -1,   11,  251,   -1,   31
  251,19940726,    0,   -1,   -1,   23,  251,   -1,   44
  251,19940727,    0,   -1,   -1,    1,  251,   -1,   42
  251,19940728,   36,   40,   29,    8,  251,   40,   17
  251,19940729,    0,   -1,   -1,    2,  251,   -1,   35
  251,19940730,    0,    0,    0,    1,  251,    0,   39
  251,19940731,   20,   95,   87,   15,  251,   95,   37
  251,19940801,   17,   56,   55,   13,  251,   56,   24
  251,19940802,    0,    0,    0,    1,  251,    0,   43
  251,19940803,    0,    0,    0,    1,  251,    0,   44
  251,19940804,    0,    0,    0,    1,  251,    0,   43
  251,19940805,   12,   21,   16,    1,  251,   21,   31
  251,19940806,    0,    0,    0,    1,  251,    0,   35
  251,19940807,    0,    0,    0,    1,  251,    0,   29
  251,19940808,    0,   -1,   -1,   16,  251,   -1,   32
  251,19940809,    0,   -1,   -1,    9,  251,   -1,   34
  251,19940810,   50,   35,   15,   23,  251,   35,   22
  251,19940811,   50,  295,  128,    4,  251,  295,   14
  251,19940812,   68,   62,   17,   20,  251,   62,   14
  251,19940813,   10,    6,    3,   14,  251,    6,   32
  251,19940814,   22,   22,   11,   10,  251,   22,   21
  251,19940815,    0,    0,    0,    1,  251,    0,   33
  251,19940816,    0,    0,    0,    1,  251,    0,   35
  251,19940817,   32,   92,   32,   20,  251,   92,   20
  251,19940818,   25,   42,   13,    9,  251,   42,   23
  251,19940819,    0,   -1,   -1,    5,  251,   -1,   27
  251,19940820,    1,    1,    1,   16,  251,    1,   24
  251,19940821,    0,   -1,   -1,   11,  251,   -1,   21
  251,19940822,    0,   -1,   -1,   22,  251,   -1,   33
  251,19940823,   10,    1,    1,   14,  251,    1,   10
  251,19940824,    8,   26,   26,    6,  251,   26,   33
  251,19940825,    8,   33,   32,   15,  251,   33,   27
  251,19940826,    0,   -1,   -1,    1,  251,   -1,   25
  251,19940827,   22,    9,    4,    8,  251,    9,   18
  251,19940828,   14,   22,   18,    3,  251,   22,   25
  251,19940829,   15,   16,    5,   12,  251,   16,   21
  251,19940830,    0,    0,    0,    1,  251,    0,   21
  251,19940831,   44,   17,    6,   23,  251,   17,   21
  251,19940901,   37,   74,   32,    3,  251,   74,   19
  251,19940902,   37,   41,   19,    9,  251,   41,   12
  251,19940903,   11,   31,   27,    6,  251,   31,   20
  251,19940904,   36,   56,   27,   11,  251,   56,   13
  251,19940905,   31,   70,   58,    6,  251,   70,   21
  251,19940906,    5,    2,    2,    7,  251,    2,   13
  251,19940907,    7,    3,    3,   10,  251,    3,   14
  251,19940908,   29,  141,  104,   18,  251,  141,   18
  251,19940909,   35,   80,   30,   13,  251,   80,   17
  251,19940910,   94,  156,   37,    7,  251,  156,   18
  251,19940911,    1,    1,    1,    2,  251,    1,   24
  251,19940912,   22,   51,   27,   21,  251,   51,   17
  251,19940913,    0,    0,    0,    1,  251,    0,   28
  251,19940914,  110,  137,   20,   21,  251,  137,    9
  251,19940915,  235,  534,   80,    6,  251,  534,    3
  251,19940916,  140,  129,   27,    6,  251,  129,    9
  251,19940917,   67,  149,   49,    6,  251,  149,    8
  251,19940918,   20,   43,   34,   14,  251,   43,   13
  251,19940919,   34,   25,    9,   21,  251,   25,   15
  251,19940920,   22,    9,    3,   15,  251,    9,    9
  251,19940921,    0,    0,    0,    1,  251,    0,   21
  251,19940922,    0,    0,    0,    1,  251,    0,   19
  251,19940923,    0,    0,    0,    1,  251,    0,   23
  251,19940924,   23,   18,   16,   24,  251,   18,   18
  251,19940925,    0,    0,    0,    1,  251,    0,   15
  251,19940926,    0,    0,    0,    1,  251,    0,   13
  251,19940927,    0,   -1,   -1,   13,  251,   -1,    5
  251,19940928,    0,    0,    0,    1,  251,    0,   19
  251,19940929,    0,   -1,   -1,    9,  251,   -1,    5
  251,19940930,    0,   -1,   -1,   22,  251,   -1,   10
  251,19941001,    9,    3,    3,    5,  251,    3,   14
  251,19941002,   56,   95,   28,   22,  251,   95,    8
  251,19941003,   75,   91,   17,    5,  251,   91,    3
  251,19941004,   52,   73,   21,   12,  251,   73,   12
  251,19941005,   30,   28,    6,   11,  251,   28,   13
  251,19941006,    5,    2,    2,    3,  251,    2,   10
  251,19941007,    0,    0,    0,    1,  251,    0,   14
  251,19941008,    6,    2,    2,   23,  251,    2,    8
  251,19941009,    0,    0,    0,    1,  251,    0,   11
