# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 257:         4.603       52.506      10.00  WIJK AAN ZEE
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  257,20010501,     ,    0,    0,    1,  257,    0,     
  257,20010502,     ,    0,    0,    1,  257,    0,   35
  257,20010503,     ,   65,   26,   21,  257,   65,   18
  257,20010504,     ,   64,   15,    4,  257,   64,   16
  257,20010505,     ,    0,    0,    1,  257,    0,   19
  257,20010506,     ,    0,    0,    1,  257,    0,   33
  257,20010507,     ,    0,    0,    1,  257,    0,   40
  257,20010508,     ,    0,    0,    1,  257,    0,   37
  257,20010509,     ,    0,    0,    1,  257,    0,   41
  257,20010510,     ,    0,    0,    1,  257,    0,   45
  257,20010511,     ,    0,    0,    1,  257,    0,   47
  257,20010512,     ,    0,    0,    1,  257,    0,   46
  257,20010513,     ,    0,    0,    1,  257,    0,   44
  257,20010514,     ,   45,   14,   22,  257,   45,   22
  257,20010515,     ,   49,   44,   24,  257,   49,   21
  257,20010516,     ,   84,   31,    1,  257,   84,   20
  257,20010517,     ,  115,   26,   19,  257,  115,   28
  257,20010518,     ,   -1,   -1,    1,  257,   -1,   18
  257,20010519,     ,    0,    0,    1,  257,    0,   38
  257,20010520,     ,    0,    0,    1,  257,    0,   38
  257,20010521,     ,    0,    0,    1,  257,    0,   41
  257,20010522,     ,    0,    0,    1,  257,    0,   45
  257,20010523,     ,    0,    0,    1,  257,    0,   48
  257,20010524,     ,    0,    0,    1,  257,    0,   45
  257,20010525,     ,    0,    0,    1,  257,    0,   48
  257,20010526,     ,    0,    0,    1,  257,    0,   35
  257,20010527,     ,    2,    2,   10,  257,    2,   14
  257,20010528,     ,   -1,   -1,    8,  257,   -1,   23
  257,20010529,     ,    0,    0,    1,  257,    0,   47
  257,20010530,     ,    0,    0,    1,  257,    0,   47
  257,20010531,     ,   25,   25,    4,  257,   25,   30
  257,20010601,     ,   18,    8,   18,  257,   18,   21
  257,20010602,     ,  131,   25,    3,  257,  131,   16
