# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.177       52.101       2.00  DE BILT
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  260,19700101,    0,    0,    0,     ,  260,    0,    3
  260,19700102,   12,   15,    9,     ,  260,   15,    0
  260,19700103,   57,   17,    4,     ,  260,   17,    1
  260,19700104,    0,    0,    0,     ,  260,    0,    4
  260,19700105,    1,    2,    2,     ,  260,    2,    2
  260,19700106,   32,   23,    6,     ,  260,   23,    1
  260,19700107,    0,    1,    1,     ,  260,    1,    3
  260,19700108,    0,    0,    0,     ,  260,    0,    3
  260,19700109,   37,   49,   21,     ,  260,   49,    1
  260,19700110,   24,   22,   12,     ,  260,   22,    2
  260,19700111,    0,    0,    0,     ,  260,    0,    3
  260,19700112,   11,    5,    4,     ,  260,    5,    3
  260,19700113,    0,    1,    1,     ,  260,    1,    2
  260,19700114,    0,    0,    0,     ,  260,    0,    4
  260,19700115,   50,   40,   17,     ,  260,   40,    1
  260,19700116,   38,   90,   35,     ,  260,   90,    1
  260,19700117,    0,    1,    1,     ,  260,    1,    1
  260,19700118,    0,    0,    0,     ,  260,    0,    3
  260,19700119,    0,    0,    0,     ,  260,    0,    1
  260,19700120,    0,    0,    0,     ,  260,    0,    3
  260,19700121,    0,    1,    1,     ,  260,    1,    4
  260,19700122,   37,   28,    9,     ,  260,   28,    0
  260,19700123,   14,    8,    5,     ,  260,    8,    2
  260,19700124,   43,   26,   12,     ,  260,   26,    1
  260,19700125,   76,   91,   28,     ,  260,   91,    1
  260,19700126,    0,    0,    0,     ,  260,    0,    2
  260,19700127,   57,   97,   35,     ,  260,   97,    1
  260,19700128,    0,    0,    0,     ,  260,    0,    1
  260,19700129,    0,    0,    0,     ,  260,    0,    5
  260,19700130,    0,    0,    0,     ,  260,    0,    3
  260,19700131,    0,    0,    0,     ,  260,    0,    6
  260,19700201,    0,    0,    0,     ,  260,    0,    5
  260,19700202,   84,  142,   23,     ,  260,  142,    5
  260,19700203,    7,    3,    2,     ,  260,    3,    7
  260,19700204,    7,    9,    9,     ,  260,    9,    3
  260,19700205,    4,    6,    3,     ,  260,    6,    4
  260,19700206,    0,    0,    0,     ,  260,    0,    5
  260,19700207,   32,   58,   22,     ,  260,   58,    2
  260,19700208,   36,   71,   29,     ,  260,   71,    5
  260,19700209,   55,  121,   37,     ,  260,  121,    6
  260,19700210,   33,   67,   23,     ,  260,   67,    3
  260,19700211,    6,    7,    3,     ,  260,    7,    7
  260,19700212,   51,   16,    4,     ,  260,   16,    2
  260,19700213,    1,    1,    1,     ,  260,    1,    7
  260,19700214,    0,    0,    0,     ,  260,    0,    6
  260,19700215,   12,   18,    9,     ,  260,   18,    3
  260,19700216,   56,   96,   32,     ,  260,   96,    5
  260,19700217,   83,   46,    8,     ,  260,   46,    3
  260,19700218,    5,    6,    6,     ,  260,    6,    8
  260,19700219,   51,   48,   16,     ,  260,   48,    2
  260,19700220,   27,   34,   13,     ,  260,   34,    4
  260,19700221,  151,  178,   26,     ,  260,  178,    3
  260,19700222,   76,  143,   46,     ,  260,  143,    3
  260,19700223,    2,    1,    1,     ,  260,    1,    7
  260,19700224,    9,   29,   29,     ,  260,   29,    7
  260,19700225,   24,   47,   16,     ,  260,   47,    6
  260,19700226,    1,    3,    1,     ,  260,    3,    7
  260,19700227,    0,    0,    0,     ,  260,    0,    3
  260,19700228,    0,    0,    0,     ,  260,    0,   10
  260,19700301,   85,   80,   17,     ,  260,   80,    5
  260,19700302,   26,   40,   15,     ,  260,   40,   10
  260,19700303,    7,    6,    3,     ,  260,    6,    9
  260,19700304,    8,    6,    3,     ,  260,    6,    8
  260,19700305,    0,    1,    1,     ,  260,    1,    9
  260,19700306,    6,   10,    4,     ,  260,   10,   10
  260,19700307,   17,   46,   32,     ,  260,   46,   10
  260,19700308,    6,   14,   14,     ,  260,   14,    4
  260,19700309,    6,    4,    2,     ,  260,    4,   10
  260,19700310,    0,    1,    1,     ,  260,    1,   12
  260,19700311,    0,    1,    1,     ,  260,    1,   13
  260,19700312,    9,    2,    1,     ,  260,    2,    8
  260,19700313,    1,    1,    1,     ,  260,    1,   11
  260,19700314,    0,    0,    0,     ,  260,    0,   12
  260,19700315,    9,    2,    1,     ,  260,    2,    5
  260,19700316,    5,    4,    2,     ,  260,    4,    6
  260,19700317,   38,   27,    8,     ,  260,   27,    3
  260,19700318,   40,   75,   34,     ,  260,   75,    9
  260,19700319,    0,    0,    0,     ,  260,    0,   13
  260,19700320,   17,    7,    2,     ,  260,    7,    3
  260,19700321,   11,    7,    5,     ,  260,    7,    5
  260,19700322,    9,    7,    5,     ,  260,    7,   14
  260,19700323,   33,   98,   53,     ,  260,   98,   12
  260,19700324,    0,    0,    0,     ,  260,    0,    5
  260,19700325,    0,    0,    0,     ,  260,    0,   17
  260,19700326,    8,    3,    2,     ,  260,    3,   12
  260,19700327,    8,   12,    5,     ,  260,   12,   13
  260,19700328,   15,   28,    7,     ,  260,   28,   15
  260,19700329,    5,    9,    4,     ,  260,    9,   12
  260,19700330,   87,   67,   12,     ,  260,   67,    5
  260,19700331,   45,   33,   12,     ,  260,   33,   11
  260,19700401,   88,   80,   26,     ,  260,   80,    6
  260,19700402,   30,   30,    6,     ,  260,   30,   14
  260,19700403,    0,    0,    0,     ,  260,    0,   16
  260,19700404,   22,   33,   12,     ,  260,   33,   10
  260,19700405,    7,    7,    4,     ,  260,    7,   13
  260,19700406,  194,  201,   20,     ,  260,  201,    3
  260,19700407,    6,    3,    1,     ,  260,    3,   16
  260,19700408,   13,   14,    5,     ,  260,   14,   11
  260,19700409,    8,    2,    1,     ,  260,    2,   14
  260,19700410,    2,    3,    2,     ,  260,    3,   13
  260,19700411,   41,   48,   20,     ,  260,   48,    9
  260,19700412,   49,   33,   18,     ,  260,   33,   18
  260,19700413,   33,   34,   13,     ,  260,   34,   16
  260,19700414,    0,    0,    0,     ,  260,    0,    9
  260,19700415,   17,   11,    7,     ,  260,   11,   11
  260,19700416,    1,    1,    1,     ,  260,    1,   13
  260,19700417,    6,    3,    2,     ,  260,    3,   20
  260,19700418,   38,   34,   12,     ,  260,   34,   13
  260,19700419,    0,    0,    0,     ,  260,    0,   18
  260,19700420,    0,    1,    1,     ,  260,    1,   22
  260,19700421,  102,   51,   12,     ,  260,   51,    4
  260,19700422,    6,    3,    2,     ,  260,    3,   12
  260,19700423,   24,   14,    5,     ,  260,   14,    8
  260,19700424,   40,   30,    8,     ,  260,   30,   25
  260,19700425,   74,  128,   26,     ,  260,  128,   14
  260,19700426,    2,    2,    1,     ,  260,    2,    9
  260,19700427,    5,    9,    4,     ,  260,    9,   18
  260,19700428,   13,    5,    3,     ,  260,    5,   26
  260,19700429,   55,  112,   37,     ,  260,  112,   19
  260,19700430,   16,   29,   12,     ,  260,   29,   17
  260,19700501,    0,    0,    0,     ,  260,    0,   23
  260,19700502,   79,   40,    9,     ,  260,   40,    6
  260,19700503,    0,    0,    0,     ,  260,    0,   23
  260,19700504,    0,    1,    1,     ,  260,    1,   26
  260,19700505,    0,    0,    0,     ,  260,    0,   38
  260,19700506,    0,    0,    0,     ,  260,    0,   36
  260,19700507,    1,    1,    1,     ,  260,    1,   34
  260,19700508,    1,    2,    2,     ,  260,    2,   32
  260,19700509,    2,    4,    4,     ,  260,    4,   36
  260,19700510,    0,    0,    0,     ,  260,    0,   23
  260,19700511,    2,    2,    1,     ,  260,    2,   32
  260,19700512,    0,    0,    0,     ,  260,    0,   36
  260,19700513,    1,    1,    1,     ,  260,    1,   26
  260,19700514,    0,    0,    0,     ,  260,    0,   34
  260,19700515,   15,    8,    3,     ,  260,    8,   18
  260,19700516,    0,    0,    0,     ,  260,    0,   24
  260,19700517,   15,   94,   69,     ,  260,   94,   19
  260,19700518,    0,    0,    0,     ,  260,    0,   40
  260,19700519,   13,   15,   10,     ,  260,   15,   15
  260,19700520,    0,    0,    0,     ,  260,    0,   26
  260,19700521,   16,   16,    8,     ,  260,   16,   17
  260,19700522,    8,   18,    8,     ,  260,   18,   25
  260,19700523,    0,    0,    0,     ,  260,    0,   23
  260,19700524,    0,    0,    0,     ,  260,    0,   33
  260,19700525,    0,    0,    0,     ,  260,    0,   34
  260,19700526,   10,    8,    6,     ,  260,    8,   29
  260,19700527,    0,    0,    0,     ,  260,    0,   11
  260,19700528,    0,    0,    0,     ,  260,    0,   32
  260,19700529,   24,   67,   54,     ,  260,   67,   16
  260,19700530,    3,    2,    2,     ,  260,    2,   35
  260,19700531,    6,    4,    4,     ,  260,    4,   35
  260,19700601,    0,    0,    0,     ,  260,    0,   35
  260,19700602,    0,    0,    0,     ,  260,    0,   44
  260,19700603,    0,    0,    0,     ,  260,    0,   42
  260,19700604,    0,    0,    0,     ,  260,    0,   43
  260,19700605,    0,    0,    0,     ,  260,    0,   38
  260,19700606,    0,    0,    0,     ,  260,    0,   41
  260,19700607,    0,    0,    0,     ,  260,    0,   39
  260,19700608,    0,    0,    0,     ,  260,    0,   44
  260,19700609,    0,    0,    0,     ,  260,    0,   48
  260,19700610,    0,    0,    0,     ,  260,    0,   44
  260,19700611,    0,    0,    0,     ,  260,    0,   49
  260,19700612,    0,    0,    0,     ,  260,    0,   42
  260,19700613,    0,    0,    0,     ,  260,    0,   47
  260,19700614,    0,    0,    0,     ,  260,    0,   25
  260,19700615,    0,    0,    0,     ,  260,    0,   26
  260,19700616,    0,    0,    0,     ,  260,    0,   41
  260,19700617,    0,    0,    0,     ,  260,    0,   31
  260,19700618,    0,    0,    0,     ,  260,    0,   52
  260,19700619,    0,    0,    0,     ,  260,    0,   40
  260,19700620,    0,    0,    0,     ,  260,    0,   45
  260,19700621,    0,    0,    0,     ,  260,    0,   36
  260,19700622,    0,    0,    0,     ,  260,    0,   34
  260,19700623,    0,    0,    0,     ,  260,    0,   32
  260,19700624,   33,   26,    8,     ,  260,   26,   15
  260,19700625,    0,    0,    0,     ,  260,    0,   33
  260,19700626,    0,    0,    0,     ,  260,    0,   47
  260,19700627,   38,  274,  123,     ,  260,  274,   32
  260,19700628,   21,   40,   23,     ,  260,   40,   22
  260,19700629,   35,  122,   62,     ,  260,  122,   15
  260,19700630,   45,  129,   22,     ,  260,  129,   19
  260,19700701,   70,   69,   17,     ,  260,   69,   13
