# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 265:         5.274       52.130      13.90  SOESTERBERG
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  265,19700101,     ,     ,     ,     ,  265,     ,     
  265,19700102,     ,     ,     ,     ,  265,     ,     
  265,19700103,     ,     ,     ,     ,  265,     ,     
  265,19700104,     ,     ,     ,     ,  265,     ,     
  265,19700105,     ,     ,     ,     ,  265,     ,     
  265,19700106,     ,     ,     ,     ,  265,     ,     
  265,19700107,     ,     ,     ,     ,  265,     ,     
  265,19700108,     ,     ,     ,     ,  265,     ,     
  265,19700109,     ,     ,     ,     ,  265,     ,     
  265,19700110,     ,     ,     ,     ,  265,     ,     
  265,19700111,     ,     ,     ,     ,  265,     ,     
  265,19700112,     ,     ,     ,     ,  265,     ,     
  265,19700113,     ,     ,     ,     ,  265,     ,     
  265,19700114,     ,     ,     ,     ,  265,     ,     
  265,19700115,     ,     ,     ,     ,  265,     ,     
  265,19700116,     ,     ,     ,     ,  265,     ,     
  265,19700117,     ,     ,     ,     ,  265,     ,     
  265,19700118,     ,     ,     ,     ,  265,     ,     
  265,19700119,     ,     ,     ,     ,  265,     ,     
  265,19700120,     ,     ,     ,     ,  265,     ,     
  265,19700121,     ,     ,     ,     ,  265,     ,     
  265,19700122,     ,     ,     ,     ,  265,     ,     
  265,19700123,     ,     ,     ,     ,  265,     ,     
  265,19700124,     ,     ,     ,     ,  265,     ,     
  265,19700125,     ,     ,     ,     ,  265,     ,     
  265,19700126,     ,     ,     ,     ,  265,     ,     
  265,19700127,     ,     ,     ,     ,  265,     ,     
  265,19700128,     ,     ,     ,     ,  265,     ,     
  265,19700129,     ,     ,     ,     ,  265,     ,     
  265,19700130,     ,     ,     ,     ,  265,     ,     
  265,19700131,     ,     ,     ,     ,  265,     ,     
  265,19700201,     ,     ,     ,     ,  265,     ,     
  265,19700202,     ,     ,     ,     ,  265,     ,     
  265,19700203,     ,     ,     ,     ,  265,     ,     
  265,19700204,     ,     ,     ,     ,  265,     ,     
  265,19700205,     ,     ,     ,     ,  265,     ,     
  265,19700206,     ,     ,     ,     ,  265,     ,     
  265,19700207,     ,     ,     ,     ,  265,     ,     
  265,19700208,     ,     ,     ,     ,  265,     ,     
  265,19700209,     ,     ,     ,     ,  265,     ,     
  265,19700210,     ,     ,     ,     ,  265,     ,     
  265,19700211,     ,     ,     ,     ,  265,     ,     
  265,19700212,     ,     ,     ,     ,  265,     ,     
  265,19700213,     ,     ,     ,     ,  265,     ,     
  265,19700214,     ,     ,     ,     ,  265,     ,     
  265,19700215,     ,     ,     ,     ,  265,     ,     
  265,19700216,     ,     ,     ,     ,  265,     ,     
  265,19700217,     ,     ,     ,     ,  265,     ,     
  265,19700218,     ,     ,     ,     ,  265,     ,     
  265,19700219,     ,     ,     ,     ,  265,     ,     
  265,19700220,     ,     ,     ,     ,  265,     ,     
  265,19700221,     ,     ,     ,     ,  265,     ,     
  265,19700222,     ,     ,     ,     ,  265,     ,     
  265,19700223,     ,     ,     ,     ,  265,     ,     
  265,19700224,     ,     ,     ,     ,  265,     ,     
  265,19700225,     ,     ,     ,     ,  265,     ,     
  265,19700226,     ,     ,     ,     ,  265,     ,     
  265,19700227,     ,     ,     ,     ,  265,     ,     
  265,19700228,     ,     ,     ,     ,  265,     ,     
  265,19700301,     ,     ,     ,     ,  265,     ,     
  265,19700302,     ,     ,     ,     ,  265,     ,     
  265,19700303,     ,     ,     ,     ,  265,     ,     
  265,19700304,     ,     ,     ,     ,  265,     ,     
  265,19700305,     ,     ,     ,     ,  265,     ,     
  265,19700306,     ,     ,     ,     ,  265,     ,     
  265,19700307,     ,     ,     ,     ,  265,     ,     
  265,19700308,     ,     ,     ,     ,  265,     ,     
  265,19700309,     ,     ,     ,     ,  265,     ,     
  265,19700310,     ,     ,     ,     ,  265,     ,     
  265,19700311,     ,     ,     ,     ,  265,     ,     
  265,19700312,     ,     ,     ,     ,  265,     ,     
  265,19700313,     ,     ,     ,     ,  265,     ,     
  265,19700314,     ,     ,     ,     ,  265,     ,     
  265,19700315,     ,     ,     ,     ,  265,     ,     
  265,19700316,     ,     ,     ,     ,  265,     ,     
  265,19700317,     ,     ,     ,     ,  265,     ,     
  265,19700318,     ,     ,     ,     ,  265,     ,     
  265,19700319,     ,     ,     ,     ,  265,     ,     
  265,19700320,     ,     ,     ,     ,  265,     ,     
  265,19700321,     ,     ,     ,     ,  265,     ,     
  265,19700322,     ,     ,     ,     ,  265,     ,     
  265,19700323,     ,     ,     ,     ,  265,     ,     
  265,19700324,     ,     ,     ,     ,  265,     ,     
  265,19700325,     ,     ,     ,     ,  265,     ,     
  265,19700326,     ,     ,     ,     ,  265,     ,     
  265,19700327,     ,     ,     ,     ,  265,     ,     
  265,19700328,     ,     ,     ,     ,  265,     ,     
  265,19700329,     ,     ,     ,     ,  265,     ,     
  265,19700330,     ,     ,     ,     ,  265,     ,     
  265,19700331,     ,     ,     ,     ,  265,     ,     
  265,19700401,     ,     ,     ,     ,  265,     ,     
  265,19700402,     ,     ,     ,     ,  265,     ,     
  265,19700403,     ,     ,     ,     ,  265,     ,     
  265,19700404,     ,     ,     ,     ,  265,     ,     
  265,19700405,     ,     ,     ,     ,  265,     ,     
  265,19700406,     ,     ,     ,     ,  265,     ,     
  265,19700407,     ,     ,     ,     ,  265,     ,     
  265,19700408,     ,     ,     ,     ,  265,     ,     
  265,19700409,     ,     ,     ,     ,  265,     ,     
  265,19700410,     ,     ,     ,     ,  265,     ,     
  265,19700411,     ,     ,     ,     ,  265,     ,     
  265,19700412,     ,     ,     ,     ,  265,     ,     
  265,19700413,     ,     ,     ,     ,  265,     ,     
  265,19700414,     ,     ,     ,     ,  265,     ,     
  265,19700415,     ,     ,     ,     ,  265,     ,     
  265,19700416,     ,     ,     ,     ,  265,     ,     
  265,19700417,     ,     ,     ,     ,  265,     ,     
  265,19700418,     ,     ,     ,     ,  265,     ,     
  265,19700419,     ,     ,     ,     ,  265,     ,     
  265,19700420,     ,     ,     ,     ,  265,     ,     
  265,19700421,     ,     ,     ,     ,  265,     ,     
  265,19700422,     ,     ,     ,     ,  265,     ,     
  265,19700423,     ,     ,     ,     ,  265,     ,     
  265,19700424,     ,     ,     ,     ,  265,     ,     
  265,19700425,     ,     ,     ,     ,  265,     ,     
  265,19700426,     ,     ,     ,     ,  265,     ,     
  265,19700427,     ,     ,     ,     ,  265,     ,     
  265,19700428,     ,     ,     ,     ,  265,     ,     
  265,19700429,     ,     ,     ,     ,  265,     ,     
  265,19700430,     ,     ,     ,     ,  265,     ,     
  265,19700501,     ,     ,     ,     ,  265,     ,     
