# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 267:         5.384       52.896       2.60  STAVOREN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  267,19900701,     ,     ,     ,     ,  267,     ,     
  267,19900702,     ,     ,     ,     ,  267,     ,     
  267,19900703,     ,     ,     ,     ,  267,     ,     
  267,19900704,     ,     ,     ,     ,  267,     ,     
  267,19900705,     ,     ,     ,     ,  267,     ,     
  267,19900706,     ,     ,     ,     ,  267,     ,     
  267,19900707,     ,     ,     ,     ,  267,     ,     
  267,19900708,     ,     ,     ,     ,  267,     ,     
  267,19900709,     ,     ,     ,     ,  267,     ,     
  267,19900710,     ,     ,     ,     ,  267,     ,     
  267,19900711,     ,     ,     ,     ,  267,     ,     
  267,19900712,     ,     ,     ,     ,  267,     ,     
  267,19900713,     ,     ,     ,     ,  267,     ,     
  267,19900714,     ,     ,     ,     ,  267,     ,     
  267,19900715,     ,     ,     ,     ,  267,     ,     
  267,19900716,     ,     ,     ,     ,  267,     ,     
  267,19900717,     ,     ,     ,     ,  267,     ,     
  267,19900718,     ,     ,     ,     ,  267,     ,     
  267,19900719,     ,     ,     ,     ,  267,     ,     
  267,19900720,     ,     ,     ,     ,  267,     ,     
  267,19900721,     ,     ,     ,     ,  267,     ,     
  267,19900722,     ,     ,     ,     ,  267,     ,     
  267,19900723,     ,     ,     ,     ,  267,     ,     
  267,19900724,     ,     ,     ,     ,  267,     ,     
  267,19900725,     ,     ,     ,     ,  267,     ,     
  267,19900726,     ,     ,     ,     ,  267,     ,     
  267,19900727,     ,     ,     ,     ,  267,     ,     
  267,19900728,     ,     ,     ,     ,  267,     ,     
  267,19900729,     ,     ,     ,     ,  267,     ,     
  267,19900730,     ,     ,     ,     ,  267,     ,     
  267,19900731,     ,     ,     ,     ,  267,     ,     
  267,19900801,     ,     ,     ,     ,  267,     ,     
  267,19900802,     ,     ,     ,     ,  267,     ,     
  267,19900803,     ,     ,     ,     ,  267,     ,     
  267,19900804,     ,     ,     ,     ,  267,     ,     
  267,19900805,     ,     ,     ,     ,  267,     ,     
  267,19900806,     ,     ,     ,     ,  267,     ,     
  267,19900807,     ,     ,     ,     ,  267,     ,     
  267,19900808,     ,     ,     ,     ,  267,     ,     
  267,19900809,     ,     ,     ,     ,  267,     ,     
  267,19900810,     ,     ,     ,     ,  267,     ,     
  267,19900811,     ,     ,     ,     ,  267,     ,     
  267,19900812,     ,     ,     ,     ,  267,     ,     
  267,19900813,     ,     ,     ,     ,  267,     ,     
  267,19900814,     ,     ,     ,     ,  267,     ,     
  267,19900815,     ,     ,     ,     ,  267,     ,     
  267,19900816,     ,     ,     ,     ,  267,     ,     
  267,19900817,     ,     ,     ,     ,  267,     ,     
  267,19900818,     ,     ,     ,     ,  267,     ,     
  267,19900819,     ,     ,     ,     ,  267,     ,     
  267,19900820,     ,     ,     ,     ,  267,     ,     
  267,19900821,     ,     ,     ,     ,  267,     ,     
  267,19900822,     ,     ,     ,     ,  267,     ,     
  267,19900823,     ,     ,     ,     ,  267,     ,     
  267,19900824,     ,     ,     ,     ,  267,     ,     
  267,19900825,     ,     ,     ,     ,  267,     ,     
  267,19900826,     ,     ,     ,     ,  267,     ,     
  267,19900827,     ,     ,     ,     ,  267,     ,     
  267,19900828,     ,     ,     ,     ,  267,     ,     
  267,19900829,     ,     ,     ,     ,  267,     ,     
  267,19900830,     ,     ,     ,     ,  267,     ,     
  267,19900831,     ,     ,     ,     ,  267,     ,     
  267,19900901,     ,     ,     ,     ,  267,     ,     
  267,19900902,     ,     ,     ,     ,  267,     ,     
  267,19900903,     ,     ,     ,     ,  267,     ,     
  267,19900904,     ,     ,     ,     ,  267,     ,     
  267,19900905,     ,     ,     ,     ,  267,     ,     
  267,19900906,     ,     ,     ,     ,  267,     ,     
  267,19900907,     ,     ,     ,     ,  267,     ,     
  267,19900908,     ,     ,     ,     ,  267,     ,     
  267,19900909,     ,     ,     ,     ,  267,     ,     
  267,19900910,     ,     ,     ,     ,  267,     ,     
  267,19900911,     ,     ,     ,     ,  267,     ,     
  267,19900912,     ,     ,     ,     ,  267,     ,     
  267,19900913,     ,     ,     ,     ,  267,     ,     
  267,19900914,     ,     ,     ,     ,  267,     ,     
  267,19900915,     ,     ,     ,     ,  267,     ,     
  267,19900916,     ,     ,     ,     ,  267,     ,     
  267,19900917,     ,     ,     ,     ,  267,     ,     
  267,19900918,     ,     ,     ,     ,  267,     ,     
  267,19900919,     ,     ,     ,     ,  267,     ,     
  267,19900920,     ,     ,     ,     ,  267,     ,     
  267,19900921,     ,     ,     ,     ,  267,     ,     
  267,19900922,     ,     ,     ,     ,  267,     ,     
  267,19900923,     ,     ,     ,     ,  267,     ,     
  267,19900924,     ,     ,     ,     ,  267,     ,     
  267,19900925,     ,     ,     ,     ,  267,     ,     
  267,19900926,     ,     ,     ,     ,  267,     ,     
  267,19900927,     ,     ,     ,     ,  267,     ,     
  267,19900928,     ,     ,     ,     ,  267,     ,     
  267,19900929,     ,     ,     ,     ,  267,     ,     
  267,19900930,     ,     ,     ,     ,  267,     ,     
  267,19901001,     ,     ,     ,     ,  267,     ,     
  267,19901002,     ,     ,     ,     ,  267,     ,     
  267,19901003,     ,     ,     ,     ,  267,     ,     
  267,19901004,     ,     ,     ,     ,  267,     ,     
  267,19901005,     ,     ,     ,     ,  267,     ,     
  267,19901006,     ,     ,     ,     ,  267,     ,     
