# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 269:         5.526       52.458      -4.00  LELYSTAD
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  269,19900101,     ,     ,     ,     ,  269,     ,     
  269,19900102,     ,     ,     ,     ,  269,     ,     
  269,19900103,     ,     ,     ,     ,  269,     ,     
  269,19900104,     ,     ,     ,     ,  269,     ,     
  269,19900105,     ,     ,     ,     ,  269,     ,     
  269,19900106,     ,     ,     ,     ,  269,     ,     
  269,19900107,     ,     ,     ,     ,  269,     ,     
  269,19900108,     ,     ,     ,     ,  269,     ,     
  269,19900109,     ,     ,     ,     ,  269,     ,     
  269,19900110,     ,     ,     ,     ,  269,     ,     
  269,19900111,     ,     ,     ,     ,  269,     ,     
  269,19900112,     ,     ,     ,     ,  269,     ,     
  269,19900113,     ,     ,     ,     ,  269,     ,     
  269,19900114,     ,     ,     ,     ,  269,     ,     
  269,19900115,     ,     ,     ,     ,  269,     ,     
  269,19900116,     ,     ,     ,     ,  269,     ,     
  269,19900117,     ,     ,     ,     ,  269,     ,    4
  269,19900118,     ,     ,     ,     ,  269,     ,     
  269,19900119,     ,     ,     ,     ,  269,     ,     
  269,19900120,     ,     ,     ,     ,  269,     ,     
  269,19900121,     ,     ,     ,     ,  269,     ,     
  269,19900122,     ,     ,     ,     ,  269,     ,     
  269,19900123,     ,     ,     ,     ,  269,     ,     
  269,19900124,     ,     ,     ,     ,  269,     ,     
  269,19900125,     ,     ,     ,     ,  269,     ,     
  269,19900126,     ,     ,     ,     ,  269,     ,     
  269,19900127,     ,     ,     ,     ,  269,     ,    3
  269,19900128,     ,     ,     ,     ,  269,     ,    2
  269,19900129,     ,     ,     ,     ,  269,     ,     
  269,19900130,     ,     ,     ,     ,  269,     ,    3
  269,19900131,     ,     ,     ,     ,  269,     ,     
  269,19900201,     ,     ,     ,     ,  269,     ,     
  269,19900202,     ,     ,     ,     ,  269,     ,     
  269,19900203,     ,     ,     ,     ,  269,     ,    1
