# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.755       53.225       1.50  LEEUWARDEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  270,19700101,     ,     ,     ,     ,  270,     ,     
  270,19700102,     ,     ,     ,     ,  270,     ,     
  270,19700103,     ,     ,     ,     ,  270,     ,     
  270,19700104,     ,     ,     ,     ,  270,     ,     
  270,19700105,     ,     ,     ,     ,  270,     ,     
  270,19700106,     ,     ,     ,     ,  270,     ,     
  270,19700107,     ,     ,     ,     ,  270,     ,     
  270,19700108,     ,     ,     ,     ,  270,     ,     
  270,19700109,     ,     ,     ,     ,  270,     ,     
  270,19700110,     ,     ,     ,     ,  270,     ,     
  270,19700111,     ,     ,     ,     ,  270,     ,     
  270,19700112,     ,     ,     ,     ,  270,     ,     
  270,19700113,     ,     ,     ,     ,  270,     ,     
  270,19700114,     ,     ,     ,     ,  270,     ,     
  270,19700115,     ,     ,     ,     ,  270,     ,     
  270,19700116,     ,     ,     ,     ,  270,     ,     
  270,19700117,     ,     ,     ,     ,  270,     ,     
  270,19700118,     ,     ,     ,     ,  270,     ,     
  270,19700119,     ,     ,     ,     ,  270,     ,     
  270,19700120,     ,     ,     ,     ,  270,     ,     
  270,19700121,     ,     ,     ,     ,  270,     ,     
  270,19700122,     ,     ,     ,     ,  270,     ,     
  270,19700123,     ,     ,     ,     ,  270,     ,     
  270,19700124,     ,     ,     ,     ,  270,     ,     
  270,19700125,     ,     ,     ,     ,  270,     ,     
  270,19700126,     ,     ,     ,     ,  270,     ,     
  270,19700127,     ,     ,     ,     ,  270,     ,     
  270,19700128,     ,     ,     ,     ,  270,     ,     
  270,19700129,     ,     ,     ,     ,  270,     ,     
  270,19700130,     ,     ,     ,     ,  270,     ,     
  270,19700131,     ,     ,     ,     ,  270,     ,     
  270,19700201,     ,     ,     ,     ,  270,     ,     
  270,19700202,     ,     ,     ,     ,  270,     ,     
  270,19700203,     ,     ,     ,     ,  270,     ,     
  270,19700204,     ,     ,     ,     ,  270,     ,     
  270,19700205,     ,     ,     ,     ,  270,     ,     
  270,19700206,     ,     ,     ,     ,  270,     ,     
  270,19700207,     ,     ,     ,     ,  270,     ,     
  270,19700208,     ,     ,     ,     ,  270,     ,     
  270,19700209,     ,     ,     ,     ,  270,     ,     
  270,19700210,     ,     ,     ,     ,  270,     ,     
  270,19700211,     ,     ,     ,     ,  270,     ,     
  270,19700212,     ,     ,     ,     ,  270,     ,     
  270,19700213,     ,     ,     ,     ,  270,     ,     
  270,19700214,     ,     ,     ,     ,  270,     ,     
  270,19700215,     ,     ,     ,     ,  270,     ,     
  270,19700216,     ,     ,     ,     ,  270,     ,     
  270,19700217,     ,     ,     ,     ,  270,     ,     
  270,19700218,     ,     ,     ,     ,  270,     ,     
  270,19700219,     ,     ,     ,     ,  270,     ,     
  270,19700220,     ,     ,     ,     ,  270,     ,     
  270,19700221,     ,     ,     ,     ,  270,     ,     
  270,19700222,     ,     ,     ,     ,  270,     ,     
  270,19700223,     ,     ,     ,     ,  270,     ,     
  270,19700224,     ,     ,     ,     ,  270,     ,     
  270,19700225,     ,     ,     ,     ,  270,     ,     
  270,19700226,     ,     ,     ,     ,  270,     ,     
  270,19700227,     ,     ,     ,     ,  270,     ,     
  270,19700228,     ,     ,     ,     ,  270,     ,     
  270,19700301,     ,     ,     ,     ,  270,     ,     
  270,19700302,     ,     ,     ,     ,  270,     ,     
  270,19700303,     ,     ,     ,     ,  270,     ,     
  270,19700304,     ,     ,     ,     ,  270,     ,     
  270,19700305,     ,     ,     ,     ,  270,     ,     
  270,19700306,     ,     ,     ,     ,  270,     ,     
  270,19700307,     ,     ,     ,     ,  270,     ,     
  270,19700308,     ,     ,     ,     ,  270,     ,     
  270,19700309,     ,     ,     ,     ,  270,     ,     
  270,19700310,     ,     ,     ,     ,  270,     ,     
  270,19700311,     ,     ,     ,     ,  270,     ,     
  270,19700312,     ,     ,     ,     ,  270,     ,     
  270,19700313,     ,     ,     ,     ,  270,     ,     
  270,19700314,     ,     ,     ,     ,  270,     ,     
  270,19700315,     ,     ,     ,     ,  270,     ,     
  270,19700316,     ,     ,     ,     ,  270,     ,     
  270,19700317,     ,     ,     ,     ,  270,     ,     
  270,19700318,     ,     ,     ,     ,  270,     ,     
  270,19700319,     ,     ,     ,     ,  270,     ,     
  270,19700320,     ,     ,     ,     ,  270,     ,     
  270,19700321,     ,     ,     ,     ,  270,     ,     
  270,19700322,     ,     ,     ,     ,  270,     ,     
  270,19700323,     ,     ,     ,     ,  270,     ,     
  270,19700324,     ,     ,     ,     ,  270,     ,     
  270,19700325,     ,     ,     ,     ,  270,     ,     
  270,19700326,     ,     ,     ,     ,  270,     ,     
  270,19700327,     ,     ,     ,     ,  270,     ,     
  270,19700328,     ,     ,     ,     ,  270,     ,     
  270,19700329,     ,     ,     ,     ,  270,     ,     
  270,19700330,     ,     ,     ,     ,  270,     ,     
  270,19700331,     ,     ,     ,     ,  270,     ,     
  270,19700401,     ,     ,     ,     ,  270,     ,     
  270,19700402,     ,     ,     ,     ,  270,     ,     
  270,19700403,     ,     ,     ,     ,  270,     ,     
  270,19700404,     ,     ,     ,     ,  270,     ,     
  270,19700405,     ,     ,     ,     ,  270,     ,     
  270,19700406,     ,     ,     ,     ,  270,     ,     
  270,19700407,     ,     ,     ,     ,  270,     ,     
  270,19700408,     ,     ,     ,     ,  270,     ,     
  270,19700409,     ,     ,     ,     ,  270,     ,     
  270,19700410,     ,     ,     ,     ,  270,     ,     
  270,19700411,     ,     ,     ,     ,  270,     ,     
  270,19700412,     ,     ,     ,     ,  270,     ,     
  270,19700413,     ,     ,     ,     ,  270,     ,     
  270,19700414,     ,     ,     ,     ,  270,     ,     
  270,19700415,     ,     ,     ,     ,  270,     ,     
  270,19700416,     ,     ,     ,     ,  270,     ,     
  270,19700417,     ,     ,     ,     ,  270,     ,     
  270,19700418,     ,     ,     ,     ,  270,     ,     
  270,19700419,     ,     ,     ,     ,  270,     ,     
  270,19700420,     ,     ,     ,     ,  270,     ,     
  270,19700421,     ,     ,     ,     ,  270,     ,     
  270,19700422,     ,     ,     ,     ,  270,     ,     
  270,19700423,     ,     ,     ,     ,  270,     ,     
  270,19700424,     ,     ,     ,     ,  270,     ,     
  270,19700425,     ,     ,     ,     ,  270,     ,     
  270,19700426,     ,     ,     ,     ,  270,     ,     
  270,19700427,     ,     ,     ,     ,  270,     ,     
  270,19700428,     ,     ,     ,     ,  270,     ,     
  270,19700429,     ,     ,     ,     ,  270,     ,     
  270,19700430,     ,     ,     ,     ,  270,     ,     
  270,19700501,     ,     ,     ,     ,  270,     ,     
  270,19700502,     ,     ,     ,     ,  270,     ,     
  270,19700503,     ,     ,     ,     ,  270,     ,     
  270,19700504,     ,     ,     ,     ,  270,     ,     
  270,19700505,     ,     ,     ,     ,  270,     ,     
  270,19700506,     ,     ,     ,     ,  270,     ,     
  270,19700507,     ,     ,     ,     ,  270,     ,     
  270,19700508,     ,     ,     ,     ,  270,     ,     
  270,19700509,     ,     ,     ,     ,  270,     ,     
  270,19700510,     ,     ,     ,     ,  270,     ,     
  270,19700511,     ,     ,     ,     ,  270,     ,     
  270,19700512,     ,     ,     ,     ,  270,     ,     
  270,19700513,     ,     ,     ,     ,  270,     ,     
  270,19700514,     ,     ,     ,     ,  270,     ,     
  270,19700515,     ,     ,     ,     ,  270,     ,     
  270,19700516,     ,     ,     ,     ,  270,     ,     
  270,19700517,     ,     ,     ,     ,  270,     ,     
  270,19700518,     ,     ,     ,     ,  270,     ,     
  270,19700519,     ,     ,     ,     ,  270,     ,     
  270,19700520,     ,     ,     ,     ,  270,     ,     
  270,19700521,     ,     ,     ,     ,  270,     ,     
  270,19700522,     ,     ,     ,     ,  270,     ,     
  270,19700523,     ,     ,     ,     ,  270,     ,     
  270,19700524,     ,     ,     ,     ,  270,     ,     
  270,19700525,     ,     ,     ,     ,  270,     ,     
  270,19700526,     ,     ,     ,     ,  270,     ,     
  270,19700527,     ,     ,     ,     ,  270,     ,     
  270,19700528,     ,     ,     ,     ,  270,     ,     
  270,19700529,     ,     ,     ,     ,  270,     ,     
  270,19700530,     ,     ,     ,     ,  270,     ,     
  270,19700531,     ,     ,     ,     ,  270,     ,     
  270,19700601,     ,     ,     ,     ,  270,     ,     
  270,19700602,     ,     ,     ,     ,  270,     ,     
  270,19700603,     ,     ,     ,     ,  270,     ,     
  270,19700604,     ,     ,     ,     ,  270,     ,     
  270,19700605,     ,     ,     ,     ,  270,     ,     
  270,19700606,     ,     ,     ,     ,  270,     ,     
  270,19700607,     ,     ,     ,     ,  270,     ,     
  270,19700608,     ,     ,     ,     ,  270,     ,     
  270,19700609,     ,     ,     ,     ,  270,     ,     
  270,19700610,     ,     ,     ,     ,  270,     ,     
  270,19700611,     ,     ,     ,     ,  270,     ,     
  270,19700612,     ,     ,     ,     ,  270,     ,     
  270,19700613,     ,     ,     ,     ,  270,     ,     
  270,19700614,     ,     ,     ,     ,  270,     ,     
  270,19700615,     ,     ,     ,     ,  270,     ,     
  270,19700616,     ,     ,     ,     ,  270,     ,     
  270,19700617,     ,     ,     ,     ,  270,     ,     
  270,19700618,     ,     ,     ,     ,  270,     ,     
  270,19700619,     ,     ,     ,     ,  270,     ,     
  270,19700620,     ,     ,     ,     ,  270,     ,     
  270,19700621,     ,     ,     ,     ,  270,     ,     
  270,19700622,     ,     ,     ,     ,  270,     ,     
  270,19700623,     ,     ,     ,     ,  270,     ,     
  270,19700624,     ,     ,     ,     ,  270,     ,     
  270,19700625,     ,     ,     ,     ,  270,     ,     
  270,19700626,     ,     ,     ,     ,  270,     ,     
  270,19700627,     ,     ,     ,     ,  270,     ,     
  270,19700628,     ,     ,     ,     ,  270,     ,     
  270,19700629,     ,     ,     ,     ,  270,     ,     
  270,19700630,     ,     ,     ,     ,  270,     ,     
  270,19700701,     ,     ,     ,     ,  270,     ,     
  270,19700702,     ,     ,     ,     ,  270,     ,     
  270,19700703,     ,     ,     ,     ,  270,     ,     
  270,19700704,     ,     ,     ,     ,  270,     ,     
  270,19700705,     ,     ,     ,     ,  270,     ,     
  270,19700706,     ,     ,     ,     ,  270,     ,     
  270,19700707,     ,     ,     ,     ,  270,     ,     
  270,19700708,     ,     ,     ,     ,  270,     ,     
  270,19700709,     ,     ,     ,     ,  270,     ,     
  270,19700710,     ,     ,     ,     ,  270,     ,     
  270,19700711,     ,     ,     ,     ,  270,     ,     
  270,19700712,     ,     ,     ,     ,  270,     ,     
  270,19700713,     ,     ,     ,     ,  270,     ,     
  270,19700714,     ,     ,     ,     ,  270,     ,     
  270,19700715,     ,     ,     ,     ,  270,     ,     
  270,19700716,     ,     ,     ,     ,  270,     ,     
  270,19700717,     ,     ,     ,     ,  270,     ,     
  270,19700718,     ,     ,     ,     ,  270,     ,     
  270,19700719,     ,     ,     ,     ,  270,     ,     
  270,19700720,     ,     ,     ,     ,  270,     ,     
  270,19700721,     ,     ,     ,     ,  270,     ,     
  270,19700722,     ,     ,     ,     ,  270,     ,     
  270,19700723,     ,     ,     ,     ,  270,     ,     
  270,19700724,     ,     ,     ,     ,  270,     ,     
  270,19700725,     ,     ,     ,     ,  270,     ,     
  270,19700726,     ,     ,     ,     ,  270,     ,     
  270,19700727,     ,     ,     ,     ,  270,     ,     
  270,19700728,     ,     ,     ,     ,  270,     ,     
  270,19700729,     ,     ,     ,     ,  270,     ,     
  270,19700730,     ,     ,     ,     ,  270,     ,     
  270,19700731,     ,     ,     ,     ,  270,     ,     
  270,19700801,     ,     ,     ,     ,  270,     ,     
  270,19700802,     ,     ,     ,     ,  270,     ,     
  270,19700803,     ,     ,     ,     ,  270,     ,     
  270,19700804,     ,     ,     ,     ,  270,     ,     
  270,19700805,     ,     ,     ,     ,  270,     ,     
  270,19700806,     ,     ,     ,     ,  270,     ,     
  270,19700807,     ,     ,     ,     ,  270,     ,     
