# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 273:         5.889       52.703      -3.10  MARKNESSE
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  273,19890101,     ,     ,     ,     ,  273,     ,     
  273,19890102,     ,     ,     ,     ,  273,     ,     
  273,19890103,     ,     ,     ,     ,  273,     ,     
  273,19890104,     ,     ,     ,     ,  273,     ,     
  273,19890105,     ,     ,     ,     ,  273,     ,     
  273,19890106,     ,     ,     ,     ,  273,     ,     
  273,19890107,     ,     ,     ,     ,  273,     ,     
  273,19890108,     ,     ,     ,     ,  273,     ,     
  273,19890109,     ,     ,     ,     ,  273,     ,     
  273,19890110,     ,     ,     ,     ,  273,     ,     
  273,19890111,     ,     ,     ,     ,  273,     ,     
  273,19890112,     ,     ,     ,     ,  273,     ,     
  273,19890113,     ,     ,     ,     ,  273,     ,     
  273,19890114,     ,     ,     ,     ,  273,     ,     
  273,19890115,     ,     ,     ,     ,  273,     ,     
  273,19890116,     ,     ,     ,     ,  273,     ,     
  273,19890117,     ,     ,     ,     ,  273,     ,     
  273,19890118,     ,     ,     ,     ,  273,     ,     
  273,19890119,     ,     ,     ,     ,  273,     ,     
  273,19890120,     ,     ,     ,     ,  273,     ,     
  273,19890121,     ,     ,     ,     ,  273,     ,     
  273,19890122,     ,     ,     ,     ,  273,     ,     
  273,19890123,     ,     ,     ,     ,  273,     ,     
  273,19890124,     ,     ,     ,     ,  273,     ,     
  273,19890125,     ,     ,     ,     ,  273,     ,     
  273,19890126,     ,     ,     ,     ,  273,     ,     
  273,19890127,     ,     ,     ,     ,  273,     ,     
  273,19890128,     ,     ,     ,     ,  273,     ,     
  273,19890129,     ,     ,     ,     ,  273,     ,     
  273,19890130,     ,     ,     ,     ,  273,     ,     
  273,19890131,     ,     ,     ,     ,  273,     ,     
  273,19890201,     ,     ,     ,     ,  273,     ,     
  273,19890202,     ,     ,     ,     ,  273,     ,     
  273,19890203,     ,     ,     ,     ,  273,     ,     
  273,19890204,     ,     ,     ,     ,  273,     ,     
  273,19890205,     ,     ,     ,     ,  273,     ,     
  273,19890206,     ,     ,     ,     ,  273,     ,     
  273,19890207,     ,     ,     ,     ,  273,     ,     
  273,19890208,     ,     ,     ,     ,  273,     ,     
  273,19890209,     ,     ,     ,     ,  273,     ,     
  273,19890210,     ,     ,     ,     ,  273,     ,     
  273,19890211,     ,     ,     ,     ,  273,     ,     
  273,19890212,     ,     ,     ,     ,  273,     ,     
  273,19890213,     ,     ,     ,     ,  273,     ,     
  273,19890214,     ,     ,     ,     ,  273,     ,     
  273,19890215,     ,     ,     ,     ,  273,     ,     
  273,19890216,     ,     ,     ,     ,  273,     ,     
  273,19890217,     ,     ,     ,     ,  273,     ,     
  273,19890218,     ,     ,     ,     ,  273,     ,     
  273,19890219,     ,     ,     ,     ,  273,     ,     
  273,19890220,     ,     ,     ,     ,  273,     ,     
  273,19890221,     ,     ,     ,     ,  273,     ,     
  273,19890222,     ,     ,     ,     ,  273,     ,     
  273,19890223,     ,     ,     ,     ,  273,     ,     
  273,19890224,     ,     ,     ,     ,  273,     ,     
  273,19890225,     ,     ,     ,     ,  273,     ,     
  273,19890226,     ,     ,     ,     ,  273,     ,     
  273,19890227,     ,     ,     ,     ,  273,     ,     
  273,19890228,     ,     ,     ,     ,  273,     ,     
  273,19890301,     ,     ,     ,     ,  273,     ,     
  273,19890302,     ,     ,     ,     ,  273,     ,     
  273,19890303,     ,     ,     ,     ,  273,     ,     
  273,19890304,     ,     ,     ,     ,  273,     ,     
  273,19890305,     ,     ,     ,     ,  273,     ,     
  273,19890306,     ,     ,     ,     ,  273,     ,     
  273,19890307,     ,     ,     ,     ,  273,     ,     
  273,19890308,     ,     ,     ,     ,  273,     ,     
  273,19890309,     ,     ,     ,     ,  273,     ,     
  273,19890310,     ,     ,     ,     ,  273,     ,     
  273,19890311,     ,     ,     ,     ,  273,     ,     
  273,19890312,     ,     ,     ,     ,  273,     ,     
  273,19890313,     ,     ,     ,     ,  273,     ,     
  273,19890314,     ,     ,     ,     ,  273,     ,     
  273,19890315,     ,     ,     ,     ,  273,     ,     
  273,19890316,     ,     ,     ,     ,  273,     ,     
  273,19890317,     ,     ,     ,     ,  273,     ,     
  273,19890318,     ,     ,     ,     ,  273,     ,     
  273,19890319,     ,     ,     ,     ,  273,     ,     
  273,19890320,     ,     ,     ,     ,  273,     ,     
  273,19890321,     ,     ,     ,     ,  273,     ,     
  273,19890322,     ,     ,     ,     ,  273,     ,     
  273,19890323,     ,     ,     ,     ,  273,     ,     
  273,19890324,     ,     ,     ,     ,  273,     ,     
  273,19890325,     ,     ,     ,     ,  273,     ,     
  273,19890326,     ,     ,     ,     ,  273,     ,     
  273,19890327,     ,     ,     ,     ,  273,     ,     
  273,19890328,     ,     ,     ,     ,  273,     ,     
  273,19890329,     ,     ,     ,     ,  273,     ,     
  273,19890330,     ,     ,     ,     ,  273,     ,     
  273,19890331,     ,     ,     ,     ,  273,     ,     
  273,19890401,     ,     ,     ,     ,  273,     ,     
  273,19890402,     ,     ,     ,     ,  273,     ,     
  273,19890403,     ,     ,     ,     ,  273,     ,     
  273,19890404,     ,     ,     ,     ,  273,     ,     
  273,19890405,     ,     ,     ,     ,  273,     ,     
  273,19890406,     ,     ,     ,     ,  273,     ,     
  273,19890407,     ,     ,     ,     ,  273,     ,     
  273,19890408,     ,     ,     ,     ,  273,     ,     
  273,19890409,     ,     ,     ,     ,  273,     ,     
  273,19890410,     ,     ,     ,     ,  273,     ,     
  273,19890411,     ,     ,     ,     ,  273,     ,     
  273,19890412,     ,     ,     ,     ,  273,     ,     
  273,19890413,     ,     ,     ,     ,  273,     ,     
  273,19890414,     ,     ,     ,     ,  273,     ,     
  273,19890415,     ,     ,     ,     ,  273,     ,     
  273,19890416,     ,     ,     ,     ,  273,     ,     
  273,19890417,     ,     ,     ,     ,  273,     ,     
  273,19890418,     ,     ,     ,     ,  273,     ,     
  273,19890419,     ,     ,     ,     ,  273,     ,     
  273,19890420,     ,     ,     ,     ,  273,     ,     
  273,19890421,     ,     ,     ,     ,  273,     ,     
  273,19890422,     ,     ,     ,     ,  273,     ,     
  273,19890423,     ,     ,     ,     ,  273,     ,     
  273,19890424,     ,     ,     ,     ,  273,     ,     
  273,19890425,     ,     ,     ,     ,  273,     ,     
  273,19890426,     ,     ,     ,     ,  273,     ,     
  273,19890427,     ,     ,     ,     ,  273,     ,     
  273,19890428,     ,     ,     ,     ,  273,     ,     
  273,19890429,     ,     ,     ,     ,  273,     ,     
