# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 275:         5.888       52.061      50.00  DEELEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  275,19700101,     ,     ,     ,     ,  275,     ,     
  275,19700102,     ,     ,     ,     ,  275,     ,     
  275,19700103,     ,     ,     ,     ,  275,     ,     
  275,19700104,     ,     ,     ,     ,  275,     ,     
  275,19700105,     ,     ,     ,     ,  275,     ,     
  275,19700106,     ,     ,     ,     ,  275,     ,     
  275,19700107,     ,     ,     ,     ,  275,     ,     
  275,19700108,     ,     ,     ,     ,  275,     ,     
  275,19700109,     ,     ,     ,     ,  275,     ,     
  275,19700110,     ,     ,     ,     ,  275,     ,     
  275,19700111,     ,     ,     ,     ,  275,     ,     
  275,19700112,     ,     ,     ,     ,  275,     ,     
  275,19700113,     ,     ,     ,     ,  275,     ,     
  275,19700114,     ,     ,     ,     ,  275,     ,     
  275,19700115,     ,     ,     ,     ,  275,     ,     
  275,19700116,     ,     ,     ,     ,  275,     ,     
  275,19700117,     ,     ,     ,     ,  275,     ,     
  275,19700118,     ,     ,     ,     ,  275,     ,     
  275,19700119,     ,     ,     ,     ,  275,     ,     
  275,19700120,     ,     ,     ,     ,  275,     ,     
  275,19700121,     ,     ,     ,     ,  275,     ,     
  275,19700122,     ,     ,     ,     ,  275,     ,     
  275,19700123,     ,     ,     ,     ,  275,     ,     
  275,19700124,     ,     ,     ,     ,  275,     ,     
  275,19700125,     ,     ,     ,     ,  275,     ,     
  275,19700126,     ,     ,     ,     ,  275,     ,     
  275,19700127,     ,     ,     ,     ,  275,     ,     
  275,19700128,     ,     ,     ,     ,  275,     ,     
  275,19700129,     ,     ,     ,     ,  275,     ,     
  275,19700130,     ,     ,     ,     ,  275,     ,     
  275,19700131,     ,     ,     ,     ,  275,     ,     
  275,19700201,     ,     ,     ,     ,  275,     ,     
  275,19700202,     ,     ,     ,     ,  275,     ,     
  275,19700203,     ,     ,     ,     ,  275,     ,     
  275,19700204,     ,     ,     ,     ,  275,     ,     
  275,19700205,     ,     ,     ,     ,  275,     ,     
  275,19700206,     ,     ,     ,     ,  275,     ,     
  275,19700207,     ,     ,     ,     ,  275,     ,     
  275,19700208,     ,     ,     ,     ,  275,     ,     
  275,19700209,     ,     ,     ,     ,  275,     ,     
  275,19700210,     ,     ,     ,     ,  275,     ,     
  275,19700211,     ,     ,     ,     ,  275,     ,     
  275,19700212,     ,     ,     ,     ,  275,     ,     
  275,19700213,     ,     ,     ,     ,  275,     ,     
  275,19700214,     ,     ,     ,     ,  275,     ,     
  275,19700215,     ,     ,     ,     ,  275,     ,     
  275,19700216,     ,     ,     ,     ,  275,     ,     
  275,19700217,     ,     ,     ,     ,  275,     ,     
  275,19700218,     ,     ,     ,     ,  275,     ,     
  275,19700219,     ,     ,     ,     ,  275,     ,     
  275,19700220,     ,     ,     ,     ,  275,     ,     
  275,19700221,     ,     ,     ,     ,  275,     ,     
  275,19700222,     ,     ,     ,     ,  275,     ,     
  275,19700223,     ,     ,     ,     ,  275,     ,     
  275,19700224,     ,     ,     ,     ,  275,     ,     
  275,19700225,     ,     ,     ,     ,  275,     ,     
  275,19700226,     ,     ,     ,     ,  275,     ,     
  275,19700227,     ,     ,     ,     ,  275,     ,     
  275,19700228,     ,     ,     ,     ,  275,     ,     
  275,19700301,     ,     ,     ,     ,  275,     ,     
  275,19700302,     ,     ,     ,     ,  275,     ,     
  275,19700303,     ,     ,     ,     ,  275,     ,     
  275,19700304,     ,     ,     ,     ,  275,     ,     
  275,19700305,     ,     ,     ,     ,  275,     ,     
  275,19700306,     ,     ,     ,     ,  275,     ,     
  275,19700307,     ,     ,     ,     ,  275,     ,     
  275,19700308,     ,     ,     ,     ,  275,     ,     
  275,19700309,     ,     ,     ,     ,  275,     ,     
  275,19700310,     ,     ,     ,     ,  275,     ,     
  275,19700311,     ,     ,     ,     ,  275,     ,     
  275,19700312,     ,     ,     ,     ,  275,     ,     
  275,19700313,     ,     ,     ,     ,  275,     ,     
  275,19700314,     ,     ,     ,     ,  275,     ,     
  275,19700315,     ,     ,     ,     ,  275,     ,     
  275,19700316,     ,     ,     ,     ,  275,     ,     
  275,19700317,     ,     ,     ,     ,  275,     ,     
  275,19700318,     ,     ,     ,     ,  275,     ,     
  275,19700319,     ,     ,     ,     ,  275,     ,     
  275,19700320,     ,     ,     ,     ,  275,     ,     
  275,19700321,     ,     ,     ,     ,  275,     ,     
  275,19700322,     ,     ,     ,     ,  275,     ,     
  275,19700323,     ,     ,     ,     ,  275,     ,     
  275,19700324,     ,     ,     ,     ,  275,     ,     
  275,19700325,     ,     ,     ,     ,  275,     ,     
  275,19700326,     ,     ,     ,     ,  275,     ,     
  275,19700327,     ,     ,     ,     ,  275,     ,     
  275,19700328,     ,     ,     ,     ,  275,     ,     
  275,19700329,     ,     ,     ,     ,  275,     ,     
  275,19700330,     ,     ,     ,     ,  275,     ,     
  275,19700331,     ,     ,     ,     ,  275,     ,     
  275,19700401,     ,     ,     ,     ,  275,     ,     
  275,19700402,     ,     ,     ,     ,  275,     ,     
  275,19700403,     ,     ,     ,     ,  275,     ,     
  275,19700404,     ,     ,     ,     ,  275,     ,     
  275,19700405,     ,     ,     ,     ,  275,     ,     
  275,19700406,     ,     ,     ,     ,  275,     ,     
  275,19700407,     ,     ,     ,     ,  275,     ,     
  275,19700408,     ,     ,     ,     ,  275,     ,     
  275,19700409,     ,     ,     ,     ,  275,     ,     
  275,19700410,     ,     ,     ,     ,  275,     ,     
