# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 277:         6.196       53.409       3.00  LAUWERSOOG
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  277,19910318,     ,     ,     ,     ,  277,     ,   18
  277,19910319,     ,     ,     ,     ,  277,     ,    4
  277,19910320,     ,     ,     ,     ,  277,     ,   12
  277,19910321,     ,     ,     ,     ,  277,     ,   13
  277,19910322,     ,     ,     ,     ,  277,     ,   20
  277,19910323,     ,     ,     ,     ,  277,     ,   19
  277,19910324,     ,     ,     ,     ,  277,     ,   21
  277,19910325,     ,     ,     ,     ,  277,     ,   21
  277,19910326,     ,     ,     ,     ,  277,     ,   18
  277,19910327,     ,     ,     ,     ,  277,     ,   20
  277,19910328,     ,     ,     ,     ,  277,     ,   15
  277,19910329,     ,     ,     ,     ,  277,     ,   23
  277,19910330,     ,     ,     ,     ,  277,     ,   19
  277,19910331,     ,     ,     ,     ,  277,     ,   11
  277,19910401,     ,     ,     ,     ,  277,     ,    7
  277,19910402,     ,     ,     ,     ,  277,     ,    4
  277,19910403,     ,     ,     ,     ,  277,     ,   16
  277,19910404,     ,     ,     ,     ,  277,     ,   23
  277,19910405,     ,     ,     ,     ,  277,     ,   20
  277,19910406,     ,     ,     ,     ,  277,     ,   20
  277,19910407,     ,     ,     ,     ,  277,     ,   16
  277,19910408,     ,     ,     ,     ,  277,     ,   20
  277,19910409,     ,     ,     ,     ,  277,     ,   28
  277,19910410,     ,     ,     ,     ,  277,     ,   24
  277,19910411,     ,     ,     ,     ,  277,     ,   28
  277,19910412,     ,     ,     ,     ,  277,     ,   33
  277,19910413,     ,     ,     ,     ,  277,     ,   29
