# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 278:         6.263       52.437       4.00  HEINO
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  278,19891012,     ,     ,     ,     ,  278,     ,     
  278,19891013,     ,     ,     ,     ,  278,     ,     
  278,19891018,     ,     ,     ,     ,  278,     ,     
  278,19891019,     ,     ,     ,     ,  278,     ,     
  278,19891024,     ,     ,     ,     ,  278,     ,     
  278,19891025,     ,     ,     ,     ,  278,     ,     
  278,19891026,     ,     ,     ,     ,  278,     ,     
  278,19891027,     ,     ,     ,     ,  278,     ,     
  278,19891030,     ,     ,     ,     ,  278,     ,     
  278,19891031,     ,     ,     ,     ,  278,     ,     
  278,19891101,     ,     ,     ,     ,  278,     ,     
  278,19891102,     ,     ,     ,     ,  278,     ,     
  278,19891103,     ,     ,     ,     ,  278,     ,     
  278,19891104,     ,     ,     ,     ,  278,     ,     
  278,19891105,     ,     ,     ,     ,  278,     ,     
  278,19891107,     ,     ,     ,     ,  278,     ,     
  278,19891108,     ,     ,     ,     ,  278,     ,     
  278,19891109,     ,     ,     ,     ,  278,     ,     
  278,19891110,     ,     ,     ,     ,  278,     ,     
  278,19891111,     ,     ,     ,     ,  278,     ,     
  278,19891114,     ,     ,     ,     ,  278,     ,     
  278,19891117,     ,     ,     ,     ,  278,     ,     
  278,19891118,     ,     ,     ,     ,  278,     ,     
  278,19891119,     ,     ,     ,     ,  278,     ,     
  278,19891120,     ,     ,     ,     ,  278,     ,     
