# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 279:         6.575       52.750      15.60  HOOGEVEEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  279,19890101,     ,     ,     ,     ,  279,     ,     
  279,19890102,     ,     ,     ,     ,  279,     ,     
  279,19890103,     ,     ,     ,     ,  279,     ,     
  279,19890104,     ,     ,     ,     ,  279,     ,     
  279,19890105,     ,     ,     ,     ,  279,     ,     
  279,19890106,     ,     ,     ,     ,  279,     ,     
  279,19890107,     ,     ,     ,     ,  279,     ,     
  279,19890108,     ,     ,     ,     ,  279,     ,     
  279,19890109,     ,     ,     ,     ,  279,     ,     
  279,19890110,     ,     ,     ,     ,  279,     ,     
  279,19890111,     ,     ,     ,     ,  279,     ,     
  279,19890112,     ,     ,     ,     ,  279,     ,     
  279,19890113,     ,     ,     ,     ,  279,     ,     
  279,19890114,     ,     ,     ,     ,  279,     ,     
  279,19890115,     ,     ,     ,     ,  279,     ,     
  279,19890116,     ,     ,     ,     ,  279,     ,     
  279,19890117,     ,     ,     ,     ,  279,     ,     
  279,19890118,     ,     ,     ,     ,  279,     ,     
  279,19890119,     ,     ,     ,     ,  279,     ,     
  279,19890120,     ,     ,     ,     ,  279,     ,     
  279,19890121,     ,     ,     ,     ,  279,     ,     
  279,19890122,     ,     ,     ,     ,  279,     ,     
  279,19890123,     ,     ,     ,     ,  279,     ,     
  279,19890124,     ,     ,     ,     ,  279,     ,     
  279,19890125,     ,     ,     ,     ,  279,     ,     
  279,19890126,     ,     ,     ,     ,  279,     ,     
  279,19890127,     ,     ,     ,     ,  279,     ,     
  279,19890128,     ,     ,     ,     ,  279,     ,     
  279,19890129,     ,     ,     ,     ,  279,     ,     
  279,19890130,     ,     ,     ,     ,  279,     ,     
  279,19890131,     ,     ,     ,     ,  279,     ,     
  279,19890201,     ,     ,     ,     ,  279,     ,     
  279,19890202,     ,     ,     ,     ,  279,     ,     
  279,19890203,     ,     ,     ,     ,  279,     ,     
  279,19890204,     ,     ,     ,     ,  279,     ,     
  279,19890205,     ,     ,     ,     ,  279,     ,     
  279,19890206,     ,     ,     ,     ,  279,     ,     
  279,19890207,     ,     ,     ,     ,  279,     ,     
  279,19890208,     ,     ,     ,     ,  279,     ,     
  279,19890209,     ,     ,     ,     ,  279,     ,     
  279,19890210,     ,     ,     ,     ,  279,     ,     
  279,19890211,     ,     ,     ,     ,  279,     ,     
  279,19890212,     ,     ,     ,     ,  279,     ,     
  279,19890213,     ,     ,     ,     ,  279,     ,     
  279,19890214,     ,     ,     ,     ,  279,     ,     
  279,19890215,     ,     ,     ,     ,  279,     ,     
  279,19890216,     ,     ,     ,     ,  279,     ,     
  279,19890217,     ,     ,     ,     ,  279,     ,     
