# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 280:         6.586       53.125       3.50  EELDE
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  280,19700101,    0,    0,    0,     ,  280,    0,    4
  280,19700102,   16,   19,    6,     ,  280,   19,    2
  280,19700103,    1,    4,    2,     ,  280,    4,    2
  280,19700104,    0,    0,    0,     ,  280,    0,    4
  280,19700105,    1,    2,    2,     ,  280,    2,    2
  280,19700106,   18,   14,    6,     ,  280,   14,    2
  280,19700107,    2,    5,    5,     ,  280,    5,    1
  280,19700108,    0,    0,    0,     ,  280,    0,    3
  280,19700109,   37,   17,   10,     ,  280,   17,    2
  280,19700110,   32,   29,   14,     ,  280,   29,    2
  280,19700111,    0,    1,    1,     ,  280,    1,    3
  280,19700112,   11,   26,   25,     ,  280,   26,    2
  280,19700113,    0,    0,    0,     ,  280,    0,    2
  280,19700114,    0,    0,    0,     ,  280,    0,    4
  280,19700115,    2,    2,    1,     ,  280,    2,    1
  280,19700116,   50,   41,    7,     ,  280,   41,    0
  280,19700117,    7,    8,    5,     ,  280,    8,    1
  280,19700118,    0,    0,    0,     ,  280,    0,    1
  280,19700119,    0,    0,    0,     ,  280,    0,    2
  280,19700120,    0,    0,    0,     ,  280,    0,    2
  280,19700121,    0,    0,    0,     ,  280,    0,    4
  280,19700122,    0,    1,    1,     ,  280,    1,    2
  280,19700123,    1,    2,    1,     ,  280,    2,    3
  280,19700124,    0,    1,    1,     ,  280,    1,    2
  280,19700125,   62,   83,   24,     ,  280,   83,    1
  280,19700126,    0,    2,    1,     ,  280,    2,    2
  280,19700127,    4,    7,    2,     ,  280,    7,    1
  280,19700128,    0,    0,    0,     ,  280,    0,    3
  280,19700129,    0,    0,    0,     ,  280,    0,    2
  280,19700130,    0,    0,    0,     ,  280,    0,    4
  280,19700131,    0,    0,    0,     ,  280,    0,    5
  280,19700201,    0,    0,    0,     ,  280,    0,    5
  280,19700202,   42,   54,   25,     ,  280,   54,    4
  280,19700203,    0,    0,    0,     ,  280,    0,    5
  280,19700204,   34,   34,   14,     ,  280,   34,    4
  280,19700205,   27,   41,   15,     ,  280,   41,    2
  280,19700206,   21,   41,   22,     ,  280,   41,    6
  280,19700207,   26,   25,    9,     ,  280,   25,    3
  280,19700208,   10,   37,   13,     ,  280,   37,    6
  280,19700209,    8,   13,    7,     ,  280,   13,    4
  280,19700210,   22,   30,   10,     ,  280,   30,    3
  280,19700211,   11,   16,    7,     ,  280,   16,    3
  280,19700212,    0,    1,    1,     ,  280,    1,    2
  280,19700213,    3,    5,    5,     ,  280,    5,    5
  280,19700214,    2,    3,    1,     ,  280,    3,    3
  280,19700215,    5,    6,    5,     ,  280,    6,    4
  280,19700216,   11,   11,    5,     ,  280,   11,    6
  280,19700217,   72,   35,    9,     ,  280,   35,    5
  280,19700218,    0,    0,    0,     ,  280,    0,    7
  280,19700219,   15,   23,   21,     ,  280,   23,    3
  280,19700220,   64,  114,   23,     ,  280,  114,    5
  280,19700221,   76,   61,   14,     ,  280,   61,    6
  280,19700222,  123,  221,   29,     ,  280,  221,    6
  280,19700223,   46,   45,   14,     ,  280,   45,    7
  280,19700224,    3,    3,    1,     ,  280,    3,    9
  280,19700225,    4,    5,    2,     ,  280,    5,    4
