# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 283:         6.650       52.073      29.00  HUPSEL
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  283,19890101,     ,     ,     ,     ,  283,     ,     
  283,19890102,     ,     ,     ,     ,  283,     ,     
  283,19890103,     ,     ,     ,     ,  283,     ,     
  283,19890104,     ,     ,     ,     ,  283,     ,     
  283,19890105,     ,     ,     ,     ,  283,     ,     
  283,19890106,     ,     ,     ,     ,  283,     ,     
  283,19890107,     ,     ,     ,     ,  283,     ,     
  283,19890108,     ,     ,     ,     ,  283,     ,     
  283,19890109,     ,     ,     ,     ,  283,     ,     
  283,19890110,     ,     ,     ,     ,  283,     ,     
  283,19890111,     ,     ,     ,     ,  283,     ,     
  283,19890112,     ,     ,     ,     ,  283,     ,     
  283,19890113,     ,     ,     ,     ,  283,     ,     
  283,19890114,     ,     ,     ,     ,  283,     ,     
  283,19890115,     ,     ,     ,     ,  283,     ,     
  283,19890116,     ,     ,     ,     ,  283,     ,     
  283,19890117,     ,     ,     ,     ,  283,     ,     
  283,19890118,     ,     ,     ,     ,  283,     ,     
  283,19890119,     ,     ,     ,     ,  283,     ,     
  283,19890120,     ,     ,     ,     ,  283,     ,     
  283,19890121,     ,     ,     ,     ,  283,     ,     
  283,19890122,     ,     ,     ,     ,  283,     ,     
  283,19890123,     ,     ,     ,     ,  283,     ,     
  283,19890124,     ,     ,     ,     ,  283,     ,     
  283,19890125,     ,     ,     ,     ,  283,     ,     
  283,19890126,     ,     ,     ,     ,  283,     ,     
  283,19890127,     ,     ,     ,     ,  283,     ,     
  283,19890128,     ,     ,     ,     ,  283,     ,     
  283,19890129,     ,     ,     ,     ,  283,     ,     
  283,19890130,     ,     ,     ,     ,  283,     ,     
  283,19890131,     ,     ,     ,     ,  283,     ,     
  283,19890201,     ,     ,     ,     ,  283,     ,     
  283,19890202,     ,     ,     ,     ,  283,     ,     
  283,19890203,     ,     ,     ,     ,  283,     ,     
  283,19890204,     ,     ,     ,     ,  283,     ,     
  283,19890205,     ,     ,     ,     ,  283,     ,     
  283,19890206,     ,     ,     ,     ,  283,     ,     
  283,19890207,     ,     ,     ,     ,  283,     ,     
  283,19890208,     ,     ,     ,     ,  283,     ,     
  283,19890209,     ,     ,     ,     ,  283,     ,     
  283,19890210,     ,     ,     ,     ,  283,     ,     
  283,19890211,     ,     ,     ,     ,  283,     ,     
  283,19890212,     ,     ,     ,     ,  283,     ,     
  283,19890213,     ,     ,     ,     ,  283,     ,     
  283,19890214,     ,     ,     ,     ,  283,     ,     
  283,19890215,     ,     ,     ,     ,  283,     ,     
  283,19890216,     ,     ,     ,     ,  283,     ,     
  283,19890217,     ,     ,     ,     ,  283,     ,     
  283,19890218,     ,     ,     ,     ,  283,     ,     
  283,19890219,     ,     ,     ,     ,  283,     ,     
  283,19890220,     ,     ,     ,     ,  283,     ,     
  283,19890221,     ,     ,     ,     ,  283,     ,     
  283,19890222,     ,     ,     ,     ,  283,     ,     
  283,19890223,     ,     ,     ,     ,  283,     ,     
  283,19890224,     ,     ,     ,     ,  283,     ,     
  283,19890225,     ,     ,     ,     ,  283,     ,     
  283,19890226,     ,     ,     ,     ,  283,     ,     
  283,19890227,     ,     ,     ,     ,  283,     ,     
  283,19890228,     ,     ,     ,     ,  283,     ,     
  283,19890301,     ,     ,     ,     ,  283,     ,     
  283,19890302,     ,     ,     ,     ,  283,     ,     
  283,19890303,     ,     ,     ,     ,  283,     ,     
  283,19890304,     ,     ,     ,     ,  283,     ,     
  283,19890305,     ,     ,     ,     ,  283,     ,     
  283,19890306,     ,     ,     ,     ,  283,     ,     
  283,19890307,     ,     ,     ,     ,  283,     ,     
  283,19890308,     ,     ,     ,     ,  283,     ,     
  283,19890309,     ,     ,     ,     ,  283,     ,     
  283,19890310,     ,     ,     ,     ,  283,     ,     
  283,19890311,     ,     ,     ,     ,  283,     ,     
  283,19890312,     ,     ,     ,     ,  283,     ,     
  283,19890313,     ,     ,     ,     ,  283,     ,     
  283,19890314,     ,     ,     ,     ,  283,     ,     
  283,19890315,     ,     ,     ,     ,  283,     ,     
  283,19890316,     ,     ,     ,     ,  283,     ,     
  283,19890317,     ,     ,     ,     ,  283,     ,     
  283,19890318,     ,     ,     ,     ,  283,     ,     
  283,19890319,     ,     ,     ,     ,  283,     ,     
  283,19890320,     ,     ,     ,     ,  283,     ,     
  283,19890321,     ,     ,     ,     ,  283,     ,     
  283,19890322,     ,     ,     ,     ,  283,     ,     
  283,19890323,     ,     ,     ,     ,  283,     ,     
  283,19890324,     ,     ,     ,     ,  283,     ,     
  283,19890325,     ,     ,     ,     ,  283,     ,     
  283,19890326,     ,     ,     ,     ,  283,     ,     
  283,19890327,     ,     ,     ,     ,  283,     ,     
  283,19890328,     ,     ,     ,     ,  283,     ,     
  283,19890329,     ,     ,     ,     ,  283,     ,     
  283,19890330,     ,     ,     ,     ,  283,     ,     
  283,19890331,     ,     ,     ,     ,  283,     ,     
  283,19890401,     ,     ,     ,     ,  283,     ,     
  283,19890402,     ,     ,     ,     ,  283,     ,     
  283,19890403,     ,     ,     ,     ,  283,     ,     
  283,19890404,     ,     ,     ,     ,  283,     ,     
  283,19890405,     ,     ,     ,     ,  283,     ,     
  283,19890406,     ,     ,     ,     ,  283,     ,     
  283,19890407,     ,     ,     ,     ,  283,     ,     
  283,19890408,     ,     ,     ,     ,  283,     ,     
