# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 286:         7.150       53.196       0.20  NIEUW BEERTA
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  286,19900101,     ,     ,     ,     ,  286,     ,     
  286,19900102,     ,     ,     ,     ,  286,     ,     
  286,19900103,     ,     ,     ,     ,  286,     ,     
  286,19900104,     ,     ,     ,     ,  286,     ,     
  286,19900105,     ,     ,     ,     ,  286,     ,     
  286,19900106,     ,     ,     ,     ,  286,     ,     
  286,19900107,     ,     ,     ,     ,  286,     ,     
  286,19900108,     ,     ,     ,     ,  286,     ,     
  286,19900109,     ,     ,     ,     ,  286,     ,     
  286,19900110,     ,     ,     ,     ,  286,     ,     
  286,19900111,     ,     ,     ,     ,  286,     ,     
  286,19900112,     ,     ,     ,     ,  286,     ,     
  286,19900113,     ,     ,     ,     ,  286,     ,     
  286,19900114,     ,     ,     ,     ,  286,     ,     
  286,19900115,     ,     ,     ,     ,  286,     ,     
  286,19900116,     ,     ,     ,     ,  286,     ,     
  286,19900117,     ,     ,     ,     ,  286,     ,     
  286,19900118,     ,     ,     ,     ,  286,     ,     
  286,19900119,     ,     ,     ,     ,  286,     ,     
  286,19900120,     ,     ,     ,     ,  286,     ,     
  286,19900121,     ,     ,     ,     ,  286,     ,     
  286,19900122,     ,     ,     ,     ,  286,     ,     
  286,19900123,     ,     ,     ,     ,  286,     ,     
  286,19900124,     ,     ,     ,     ,  286,     ,    2
  286,19900125,     ,     ,     ,     ,  286,     ,     
  286,19900126,     ,     ,     ,     ,  286,     ,     
  286,19900127,     ,    0,    0,     ,  286,    0,    4
  286,19900128,     ,    0,    0,     ,  286,    0,    2
  286,19900129,     ,     ,     ,     ,  286,     ,     
  286,19900130,     ,     ,     ,     ,  286,     ,    3
  286,19900131,     ,     ,     ,     ,  286,     ,     
  286,19900201,     ,     ,     ,     ,  286,     ,     
  286,19900202,     ,     ,     ,     ,  286,     ,     
  286,19900203,     ,     ,     ,     ,  286,     ,    2
