# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 290:         6.897       52.273      34.50  TWENTHE
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  290,19700101,     ,     ,     ,     ,  290,     ,     
  290,19700102,     ,     ,     ,     ,  290,     ,     
  290,19700103,     ,     ,     ,     ,  290,     ,     
  290,19700104,     ,     ,     ,     ,  290,     ,     
  290,19700105,     ,     ,     ,     ,  290,     ,     
  290,19700106,     ,     ,     ,     ,  290,     ,     
  290,19700107,     ,     ,     ,     ,  290,     ,     
  290,19700108,     ,     ,     ,     ,  290,     ,     
  290,19700109,     ,     ,     ,     ,  290,     ,     
  290,19700110,     ,     ,     ,     ,  290,     ,     
  290,19700111,     ,     ,     ,     ,  290,     ,     
  290,19700112,     ,     ,     ,     ,  290,     ,     
  290,19700113,     ,     ,     ,     ,  290,     ,     
  290,19700114,     ,     ,     ,     ,  290,     ,     
  290,19700115,     ,     ,     ,     ,  290,     ,     
  290,19700116,     ,     ,     ,     ,  290,     ,     
  290,19700117,     ,     ,     ,     ,  290,     ,     
  290,19700118,     ,     ,     ,     ,  290,     ,     
  290,19700119,     ,     ,     ,     ,  290,     ,     
  290,19700120,     ,     ,     ,     ,  290,     ,     
  290,19700121,     ,     ,     ,     ,  290,     ,     
  290,19700122,     ,     ,     ,     ,  290,     ,     
  290,19700123,     ,     ,     ,     ,  290,     ,     
  290,19700124,     ,     ,     ,     ,  290,     ,     
  290,19700125,     ,     ,     ,     ,  290,     ,     
