# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 310:         3.596       51.442       8.00  VLISSINGEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  310,19700101,    0,    0,    0,     ,  310,    0,    4
  310,19700102,   12,   10,    5,     ,  310,   10,    1
  310,19700103,   57,   31,    9,     ,  310,   31,    2
  310,19700104,    0,    1,    1,     ,  310,    1,    4
  310,19700105,    8,   10,    6,     ,  310,   10,    3
  310,19700106,   24,   59,   42,     ,  310,   59,    2
  310,19700107,    1,    4,    4,     ,  310,    4,    5
  310,19700108,    4,    3,    3,     ,  310,    3,    2
  310,19700109,   22,   26,   15,     ,  310,   26,    2
  310,19700110,   28,   14,    8,     ,  310,   14,    2
  310,19700111,    2,    1,    1,     ,  310,    1,    4
  310,19700112,    0,    0,    0,     ,  310,    0,    5
  310,19700113,    0,    0,    0,     ,  310,    0,    2
  310,19700114,   15,   10,    5,     ,  310,   10,    4
  310,19700115,   31,   27,   14,     ,  310,   27,    3
  310,19700116,   43,   58,   19,     ,  310,   58,    1
  310,19700117,    0,    6,    1,     ,  310,    6,    1
  310,19700118,    0,    0,    0,     ,  310,    0,    3
  310,19700119,    0,    0,    0,     ,  310,    0,    1
  310,19700120,    0,    0,    0,     ,  310,    0,    3
  310,19700121,    0,    0,    0,     ,  310,    0,    1
  310,19700122,   33,   37,   16,     ,  310,   37,    3
  310,19700123,   53,   30,    9,     ,  310,   30,    2
  310,19700124,   37,   68,   22,     ,  310,   68,    1
