# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 319:         3.862       51.226       1.40  WESTDORPE
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  319,19910625,     ,     ,     ,     ,  319,     ,   18
  319,19910626,     ,     ,     ,     ,  319,     ,   35
  319,19910627,     ,     ,     ,     ,  319,     ,   17
  319,19910628,     ,     ,     ,     ,  319,     ,   27
  319,19910629,     ,     ,     ,     ,  319,     ,   36
  319,19910630,     ,     ,     ,     ,  319,     ,   19
  319,19910701,     ,     ,     ,     ,  319,     ,    9
  319,19910702,     ,     ,     ,     ,  319,     ,   17
  319,19910703,     ,     ,     ,     ,  319,     ,   37
  319,19910704,     ,     ,     ,     ,  319,     ,   50
  319,19910705,     ,     ,     ,     ,  319,     ,   48
  319,19910706,     ,     ,     ,     ,  319,     ,   45
  319,19910707,     ,     ,     ,     ,  319,     ,   38
  319,19910708,     ,     ,     ,     ,  319,     ,   25
  319,19910709,     ,     ,     ,     ,  319,     ,   26
  319,19910710,     ,     ,     ,     ,  319,     ,   45
  319,19910711,     ,     ,     ,     ,  319,     ,   51
  319,19910712,     ,     ,     ,     ,  319,     ,   32
  319,19910713,     ,     ,     ,     ,  319,     ,   10
  319,19910714,     ,     ,     ,     ,  319,     ,   28
  319,19910715,     ,     ,     ,     ,  319,     ,   13
  319,19910716,     ,     ,     ,     ,  319,     ,   22
  319,19910717,     ,     ,     ,     ,  319,     ,   39
  319,19910718,     ,     ,     ,     ,  319,     ,    8
  319,19910719,     ,     ,     ,     ,  319,     ,   10
  319,19910720,     ,     ,     ,     ,  319,     ,   19
  319,19910721,     ,     ,     ,     ,  319,     ,   33
  319,19910722,     ,     ,     ,     ,  319,     ,   37
  319,19910723,     ,     ,     ,     ,  319,     ,   44
  319,19910724,     ,     ,     ,     ,  319,     ,   28
  319,19910725,     ,     ,     ,     ,  319,     ,   24
  319,19910726,     ,     ,     ,     ,  319,     ,   33
  319,19910727,     ,     ,     ,     ,  319,     ,   27
  319,19910728,     ,     ,     ,     ,  319,     ,   45
  319,19910729,     ,     ,     ,     ,  319,     ,   49
  319,19910730,     ,     ,     ,     ,  319,     ,   38
  319,19910731,     ,     ,     ,     ,  319,     ,   27
  319,19910801,     ,     ,     ,     ,  319,     ,   33
  319,19910802,     ,     ,     ,     ,  319,     ,   40
  319,19910803,     ,     ,     ,     ,  319,     ,   36
  319,19910804,     ,     ,     ,     ,  319,     ,   23
  319,19910805,     ,     ,     ,     ,  319,     ,   29
  319,19910806,     ,     ,     ,     ,  319,     ,   41
  319,19910807,     ,     ,     ,     ,  319,     ,   33
  319,19910808,     ,     ,     ,     ,  319,     ,   19
  319,19910809,     ,     ,     ,     ,  319,     ,   37
  319,19910810,     ,     ,     ,     ,  319,     ,   24
  319,19910811,     ,     ,     ,     ,  319,     ,    9
  319,19910812,     ,     ,     ,     ,  319,     ,   39
  319,19910813,     ,     ,     ,     ,  319,     ,   27
  319,19910814,     ,     ,     ,     ,  319,     ,   30
  319,19910815,     ,     ,     ,     ,  319,     ,   36
  319,19910816,     ,     ,     ,     ,  319,     ,   24
  319,19910817,     ,     ,     ,     ,  319,     ,   23
  319,19910818,     ,     ,     ,     ,  319,     ,   31
  319,19910819,     ,     ,     ,     ,  319,     ,   34
  319,19910820,     ,     ,     ,     ,  319,     ,   21
  319,19910821,     ,     ,     ,     ,  319,     ,   34
  319,19910822,     ,     ,     ,     ,  319,     ,   24
  319,19910823,     ,     ,     ,     ,  319,     ,   33
  319,19910824,     ,     ,     ,     ,  319,     ,   29
  319,19910825,     ,     ,     ,     ,  319,     ,   25
  319,19910826,     ,     ,     ,     ,  319,     ,   35
  319,19910827,     ,     ,     ,     ,  319,     ,   28
  319,19910828,     ,     ,     ,     ,  319,     ,   26
  319,19910829,     ,     ,     ,     ,  319,     ,   36
  319,19910830,     ,     ,     ,     ,  319,     ,   35
  319,19910831,     ,     ,     ,     ,  319,     ,   36
  319,19910901,     ,     ,     ,     ,  319,     ,   34
  319,19910902,     ,     ,     ,     ,  319,     ,   27
  319,19910903,     ,     ,     ,     ,  319,     ,   30
  319,19910904,     ,     ,     ,     ,  319,     ,   31
  319,19910905,     ,     ,     ,     ,  319,     ,   32
  319,19910906,     ,     ,     ,     ,  319,     ,   17
  319,19910907,     ,     ,     ,     ,  319,     ,   11
  319,19910908,     ,     ,     ,     ,  319,     ,   24
  319,19910909,     ,     ,     ,     ,  319,     ,   28
  319,19910910,     ,     ,     ,     ,  319,     ,   20
  319,19910911,     ,     ,     ,     ,  319,     ,   18
  319,19910912,     ,     ,     ,     ,  319,     ,   28
  319,19910913,     ,     ,     ,     ,  319,     ,   27
  319,19910914,     ,     ,     ,     ,  319,     ,   25
  319,19910915,     ,     ,     ,     ,  319,     ,    7
  319,19910916,     ,     ,     ,     ,  319,     ,    9
  319,19910917,     ,     ,     ,     ,  319,     ,   25
  319,19910918,     ,     ,     ,     ,  319,     ,   19
  319,19910919,     ,     ,     ,     ,  319,     ,   21
  319,19910920,     ,     ,     ,     ,  319,     ,   24
  319,19910921,     ,     ,     ,     ,  319,     ,   23
  319,19910922,     ,     ,     ,     ,  319,     ,   12
  319,19910923,     ,     ,     ,     ,  319,     ,   11
  319,19910924,     ,     ,     ,     ,  319,     ,   14
  319,19910925,     ,     ,     ,     ,  319,     ,    5
  319,19910926,     ,     ,     ,     ,  319,     ,   11
  319,19910927,     ,     ,     ,     ,  319,     ,    7
  319,19910928,     ,     ,     ,     ,  319,     ,   10
  319,19910929,     ,     ,     ,     ,  319,     ,   12
  319,19910930,     ,     ,     ,     ,  319,     ,   16
  319,19911001,     ,     ,     ,     ,  319,     ,   10
  319,19911002,     ,     ,     ,     ,  319,     ,   18
  319,19911003,     ,     ,     ,     ,  319,     ,   19
  319,19911004,     ,     ,     ,     ,  319,     ,   14
  319,19911005,     ,     ,     ,     ,  319,     ,   13
  319,19911006,     ,     ,     ,     ,  319,     ,    9
  319,19911007,     ,     ,     ,     ,  319,     ,   12
  319,19911008,     ,     ,     ,     ,  319,     ,   12
  319,19911009,     ,     ,     ,     ,  319,     ,   15
  319,19911010,     ,     ,     ,     ,  319,     ,   15
  319,19911011,     ,     ,     ,     ,  319,     ,   13
  319,19911012,     ,     ,     ,     ,  319,     ,    3
  319,19911013,     ,     ,     ,     ,  319,     ,   12
  319,19911014,     ,     ,     ,     ,  319,     ,   11
  319,19911015,     ,     ,     ,     ,  319,     ,    9
  319,19911016,     ,     ,     ,     ,  319,     ,    5
  319,19911017,     ,     ,     ,     ,  319,     ,    9
  319,19911018,     ,     ,     ,     ,  319,     ,   10
  319,19911019,     ,     ,     ,     ,  319,     ,    9
  319,19911020,     ,     ,     ,     ,  319,     ,    6
  319,19911021,     ,     ,     ,     ,  319,     ,    7
  319,19911022,     ,     ,     ,     ,  319,     ,    6
  319,19911023,     ,     ,     ,     ,  319,     ,    4
  319,19911024,     ,     ,     ,     ,  319,     ,    3
  319,19911025,     ,     ,     ,     ,  319,     ,    2
  319,19911026,     ,     ,     ,     ,  319,     ,   10
  319,19911027,     ,     ,     ,     ,  319,     ,    9
  319,19911028,     ,     ,     ,     ,  319,     ,    6
  319,19911029,     ,     ,     ,     ,  319,     ,    8
  319,19911030,     ,     ,     ,     ,  319,     ,    5
  319,19911031,     ,     ,     ,     ,  319,     ,    6
  319,19911101,     ,     ,     ,     ,  319,     ,    5
  319,19911102,     ,     ,     ,     ,  319,     ,    4
  319,19911103,     ,     ,     ,     ,  319,     ,    2
  319,19911104,     ,     ,     ,     ,  319,     ,    3
  319,19911105,     ,     ,     ,     ,  319,     ,    1
  319,19911106,     ,     ,     ,     ,  319,     ,    6
  319,19911107,     ,     ,     ,     ,  319,     ,    1
  319,19911108,     ,     ,     ,     ,  319,     ,    1
  319,19911109,     ,     ,     ,     ,  319,     ,    6
  319,19911110,     ,     ,     ,     ,  319,     ,    6
  319,19911111,     ,     ,     ,     ,  319,     ,    1
  319,19911112,     ,     ,     ,     ,  319,     ,    7
  319,19911113,     ,     ,     ,     ,  319,     ,    5
  319,19911114,     ,     ,     ,     ,  319,     ,    2
  319,19911115,     ,     ,     ,     ,  319,     ,    3
  319,19911116,     ,     ,     ,     ,  319,     ,    5
  319,19911117,     ,     ,     ,     ,  319,     ,    2
  319,19911118,     ,     ,     ,     ,  319,     ,    2
  319,19911119,     ,     ,     ,     ,  319,     ,    1
  319,19911120,     ,     ,     ,     ,  319,     ,    1
  319,19911121,     ,     ,     ,     ,  319,     ,    2
  319,19911122,     ,     ,     ,     ,  319,     ,    2
