# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  323,19891102,     ,     ,     ,     ,  323,     ,     
  323,19891103,     ,     ,     ,     ,  323,     ,     
  323,19891104,     ,     ,     ,     ,  323,     ,     
  323,19891105,     ,     ,     ,     ,  323,     ,    8
  323,19891106,     ,     ,     ,     ,  323,     ,     
  323,19891107,     ,     ,     ,     ,  323,     ,     
  323,19891108,     ,     ,     ,     ,  323,     ,    2
  323,19891109,     ,     ,     ,     ,  323,     ,    6
  323,19891110,     ,     ,     ,     ,  323,     ,    1
  323,19891111,     ,     ,     ,     ,  323,     ,    8
  323,19891112,     ,     ,     ,     ,  323,     ,     
  323,19891113,     ,     ,     ,     ,  323,     ,     
  323,19891114,     ,     ,     ,     ,  323,     ,     
  323,19891115,     ,     ,     ,     ,  323,     ,     
  323,19891116,     ,     ,     ,     ,  323,     ,     
  323,19891117,     ,     ,     ,     ,  323,     ,     
  323,19891118,     ,     ,     ,     ,  323,     ,    5
  323,19891119,     ,     ,     ,     ,  323,     ,     
  323,19891120,     ,     ,     ,     ,  323,     ,     
  323,19891121,     ,     ,     ,     ,  323,     ,     
  323,19891122,     ,     ,     ,     ,  323,     ,     
  323,19891123,     ,     ,     ,     ,  323,     ,    5
  323,19891124,     ,     ,     ,     ,  323,     ,     
  323,19891125,     ,     ,     ,     ,  323,     ,     
  323,19891126,     ,     ,     ,     ,  323,     ,     
  323,19891127,     ,     ,     ,     ,  323,     ,     
  323,19891128,     ,     ,     ,     ,  323,     ,    7
  323,19891129,     ,     ,     ,     ,  323,     ,    7
  323,19891130,     ,     ,     ,     ,  323,     ,    4
  323,19891201,     ,     ,     ,     ,  323,     ,     
  323,19891202,     ,     ,     ,     ,  323,     ,     
  323,19891203,     ,     ,     ,     ,  323,     ,     
  323,19891204,     ,     ,     ,     ,  323,     ,     
  323,19891205,     ,     ,     ,     ,  323,     ,     
  323,19891206,     ,     ,     ,     ,  323,     ,    2
  323,19891207,     ,     ,     ,     ,  323,     ,    3
  323,19891208,     ,     ,     ,     ,  323,     ,    3
  323,19891209,     ,     ,     ,     ,  323,     ,     
  323,19891210,     ,     ,     ,     ,  323,     ,     
  323,19891211,     ,     ,     ,     ,  323,     ,     
  323,19891212,     ,     ,     ,     ,  323,     ,    0
  323,19891213,     ,     ,     ,     ,  323,     ,     
  323,19891214,     ,     ,     ,     ,  323,     ,     
  323,19891215,     ,     ,     ,     ,  323,     ,    1
  323,19891216,     ,     ,     ,     ,  323,     ,    1
  323,19891217,     ,     ,     ,     ,  323,     ,    3
  323,19891218,     ,     ,     ,     ,  323,     ,     
  323,19891219,     ,     ,     ,     ,  323,     ,     
  323,19891220,     ,     ,     ,     ,  323,     ,    0
  323,19891221,     ,     ,     ,     ,  323,     ,    4
  323,19891222,     ,     ,     ,     ,  323,     ,    1
  323,19891223,     ,     ,     ,     ,  323,     ,    3
  323,19891224,     ,     ,     ,     ,  323,     ,    4
  323,19891225,     ,     ,     ,     ,  323,     ,     
  323,19891226,     ,     ,     ,     ,  323,     ,    2
  323,19891227,     ,     ,     ,     ,  323,     ,    3
  323,19891228,     ,     ,     ,     ,  323,     ,    0
  323,19891229,     ,     ,     ,     ,  323,     ,    0
  323,19891230,     ,     ,     ,     ,  323,     ,     
  323,19891231,     ,     ,     ,     ,  323,     ,     
  323,19900101,     ,     ,     ,     ,  323,     ,     
  323,19900102,     ,     ,     ,     ,  323,     ,     
  323,19900103,     ,     ,     ,     ,  323,     ,     
  323,19900104,     ,     ,     ,     ,  323,     ,    0
  323,19900105,     ,     ,     ,     ,  323,     ,    2
  323,19900106,     ,     ,     ,     ,  323,     ,    1
  323,19900107,     ,     ,     ,     ,  323,     ,     
  323,19900108,     ,     ,     ,     ,  323,     ,    1
  323,19900109,     ,     ,     ,     ,  323,     ,    2
  323,19900110,     ,     ,     ,     ,  323,     ,     
  323,19900111,     ,     ,     ,     ,  323,     ,    2
  323,19900112,     ,     ,     ,     ,  323,     ,     
  323,19900113,     ,     ,     ,     ,  323,     ,     
  323,19900114,     ,     ,     ,     ,  323,     ,     
  323,19900115,     ,     ,     ,     ,  323,     ,     
  323,19900116,     ,     ,     ,     ,  323,     ,    2
  323,19900117,     ,     ,     ,     ,  323,     ,    7
  323,19900118,     ,     ,     ,     ,  323,     ,     
  323,19900119,     ,     ,     ,     ,  323,     ,     
  323,19900120,     ,     ,     ,     ,  323,     ,     
  323,19900121,     ,     ,     ,     ,  323,     ,     
  323,19900122,     ,     ,     ,     ,  323,     ,     
  323,19900123,     ,     ,     ,     ,  323,     ,    0
  323,19900124,     ,     ,     ,     ,  323,     ,    3
  323,19900125,     ,     ,     ,     ,  323,     ,     
  323,19900126,     ,     ,     ,     ,  323,     ,     
  323,19900127,     ,     ,     ,     ,  323,     ,    4
  323,19900128,     ,     ,     ,     ,  323,     ,    5
  323,19900129,     ,     ,     ,     ,  323,     ,     
  323,19900130,     ,     ,     ,     ,  323,     ,    4
  323,19900131,     ,     ,     ,     ,  323,     ,     
  323,19900201,     ,     ,     ,     ,  323,     ,     
  323,19900202,     ,     ,     ,     ,  323,     ,     
  323,19900203,     ,     ,     ,     ,  323,     ,    1
  323,19900204,     ,     ,     ,     ,  323,     ,    8
  323,19900205,     ,     ,     ,     ,  323,     ,   12
  323,19900206,     ,     ,     ,     ,  323,     ,   10
  323,19900207,     ,     ,     ,     ,  323,     ,     
  323,19900208,     ,     ,     ,     ,  323,     ,     
