# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 330:         4.124       51.993      12.50  HOEK VAN HOLLAND
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  330,19710101,     ,     ,     ,     ,  330,     ,     
  330,19710102,     ,     ,     ,     ,  330,     ,     
  330,19710103,     ,     ,     ,     ,  330,     ,     
  330,19710104,     ,     ,     ,     ,  330,     ,     
  330,19710105,     ,     ,     ,     ,  330,     ,     
  330,19710106,     ,     ,     ,     ,  330,     ,     
  330,19710107,     ,     ,     ,     ,  330,     ,     
  330,19710108,     ,     ,     ,     ,  330,     ,     
  330,19710109,     ,     ,     ,     ,  330,     ,     
  330,19710110,     ,     ,     ,     ,  330,     ,     
  330,19710111,     ,     ,     ,     ,  330,     ,     
  330,19710112,     ,     ,     ,     ,  330,     ,     
  330,19710113,     ,     ,     ,     ,  330,     ,     
  330,19710114,     ,     ,     ,     ,  330,     ,     
  330,19710115,     ,     ,     ,     ,  330,     ,     
  330,19710116,     ,     ,     ,     ,  330,     ,     
  330,19710117,     ,     ,     ,     ,  330,     ,     
  330,19710118,     ,     ,     ,     ,  330,     ,     
  330,19710119,     ,     ,     ,     ,  330,     ,     
  330,19710120,     ,     ,     ,     ,  330,     ,     
  330,19710121,     ,     ,     ,     ,  330,     ,     
  330,19710122,     ,     ,     ,     ,  330,     ,     
  330,19710123,     ,     ,     ,     ,  330,     ,     
  330,19710124,     ,     ,     ,     ,  330,     ,     
  330,19710125,     ,     ,     ,     ,  330,     ,     
  330,19710126,     ,     ,     ,     ,  330,     ,     
  330,19710127,     ,     ,     ,     ,  330,     ,     
  330,19710128,     ,     ,     ,     ,  330,     ,     
  330,19710129,     ,     ,     ,     ,  330,     ,     
  330,19710130,     ,     ,     ,     ,  330,     ,     
  330,19710131,     ,     ,     ,     ,  330,     ,     
  330,19710201,     ,     ,     ,     ,  330,     ,     
  330,19710202,     ,     ,     ,     ,  330,     ,     
  330,19710203,     ,     ,     ,     ,  330,     ,     
  330,19710204,     ,     ,     ,     ,  330,     ,     
  330,19710205,     ,     ,     ,     ,  330,     ,     
  330,19710206,     ,     ,     ,     ,  330,     ,     
  330,19710207,     ,     ,     ,     ,  330,     ,     
  330,19710208,     ,     ,     ,     ,  330,     ,     
  330,19710209,     ,     ,     ,     ,  330,     ,     
  330,19710210,     ,     ,     ,     ,  330,     ,     
  330,19710211,     ,     ,     ,     ,  330,     ,     
  330,19710212,     ,     ,     ,     ,  330,     ,     
  330,19710213,     ,     ,     ,     ,  330,     ,     
  330,19710214,     ,     ,     ,     ,  330,     ,     
  330,19710215,     ,     ,     ,     ,  330,     ,     
  330,19710216,     ,     ,     ,     ,  330,     ,     
  330,19710217,     ,     ,     ,     ,  330,     ,     
  330,19710218,     ,     ,     ,     ,  330,     ,     
  330,19710219,     ,     ,     ,     ,  330,     ,     
  330,19710220,     ,     ,     ,     ,  330,     ,     
  330,19710221,     ,     ,     ,     ,  330,     ,     
  330,19710222,     ,     ,     ,     ,  330,     ,     
  330,19710223,     ,     ,     ,     ,  330,     ,     
  330,19710224,     ,     ,     ,     ,  330,     ,     
  330,19710225,     ,     ,     ,     ,  330,     ,     
  330,19710226,     ,     ,     ,     ,  330,     ,     
  330,19710227,     ,     ,     ,     ,  330,     ,     
  330,19710228,     ,     ,     ,     ,  330,     ,     
  330,19710301,     ,     ,     ,     ,  330,     ,     
  330,19710302,     ,     ,     ,     ,  330,     ,     
  330,19710303,     ,     ,     ,     ,  330,     ,     
  330,19710304,     ,     ,     ,     ,  330,     ,     
  330,19710305,     ,     ,     ,     ,  330,     ,     
  330,19710306,     ,     ,     ,     ,  330,     ,     
  330,19710307,     ,     ,     ,     ,  330,     ,     
  330,19710308,     ,     ,     ,     ,  330,     ,     
  330,19710309,     ,     ,     ,     ,  330,     ,     
  330,19710310,     ,     ,     ,     ,  330,     ,     
  330,19710311,     ,     ,     ,     ,  330,     ,     
  330,19710312,     ,     ,     ,     ,  330,     ,     
  330,19710313,     ,     ,     ,     ,  330,     ,     
  330,19710314,     ,     ,     ,     ,  330,     ,     
  330,19710315,     ,     ,     ,     ,  330,     ,     
  330,19710316,     ,     ,     ,     ,  330,     ,     
  330,19710317,     ,     ,     ,     ,  330,     ,     
