# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 340:         4.349       51.448      14.90  WOENSDRECHT
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  340,19930401,     ,     ,     ,     ,  340,     ,     
  340,19930402,     ,     ,     ,     ,  340,     ,     
  340,19930403,     ,     ,     ,     ,  340,     ,     
  340,19930404,     ,     ,     ,     ,  340,     ,     
  340,19930405,     ,     ,     ,     ,  340,     ,     
  340,19930406,     ,     ,     ,     ,  340,     ,     
  340,19930407,     ,     ,     ,     ,  340,     ,     
  340,19930408,     ,     ,     ,     ,  340,     ,     
  340,19930409,     ,     ,     ,     ,  340,     ,     
  340,19930410,     ,     ,     ,     ,  340,     ,     
  340,19930411,     ,     ,     ,     ,  340,     ,     
  340,19930412,     ,     ,     ,     ,  340,     ,     
  340,19930413,     ,     ,     ,     ,  340,     ,     
  340,19930414,     ,     ,     ,     ,  340,     ,     
  340,19930415,     ,     ,     ,     ,  340,     ,     
  340,19930416,     ,     ,     ,     ,  340,     ,     
  340,19930417,     ,     ,     ,     ,  340,     ,     
  340,19930418,     ,     ,     ,     ,  340,     ,     
  340,19930419,     ,     ,     ,     ,  340,     ,     
  340,19930420,     ,     ,     ,     ,  340,     ,     
  340,19930421,     ,     ,     ,     ,  340,     ,     
  340,19930422,     ,     ,     ,     ,  340,     ,     
  340,19930423,     ,     ,     ,     ,  340,     ,     
  340,19930424,     ,     ,     ,     ,  340,     ,     
  340,19930425,     ,     ,     ,     ,  340,     ,     
  340,19930426,     ,     ,     ,     ,  340,     ,     
  340,19930427,     ,     ,     ,     ,  340,     ,     
  340,19930428,     ,     ,     ,     ,  340,     ,     
  340,19930429,     ,     ,     ,     ,  340,     ,     
  340,19930430,     ,     ,     ,     ,  340,     ,     
  340,19930501,     ,     ,     ,     ,  340,     ,     
  340,19930502,     ,     ,     ,     ,  340,     ,     
  340,19930503,     ,     ,     ,     ,  340,     ,     
  340,19930504,     ,     ,     ,     ,  340,     ,     
  340,19930505,     ,     ,     ,     ,  340,     ,     
  340,19930506,     ,     ,     ,     ,  340,     ,     
  340,19930507,     ,     ,     ,     ,  340,     ,     
  340,19930508,     ,     ,     ,     ,  340,     ,     
  340,19930509,     ,     ,     ,     ,  340,     ,     
  340,19930510,     ,     ,     ,     ,  340,     ,     
  340,19930511,     ,     ,     ,     ,  340,     ,     
  340,19930512,     ,     ,     ,     ,  340,     ,     
  340,19930513,     ,     ,     ,     ,  340,     ,     
  340,19930514,     ,     ,     ,     ,  340,     ,     
  340,19930515,     ,     ,     ,     ,  340,     ,     
  340,19930516,     ,     ,     ,     ,  340,     ,     
  340,19930517,     ,     ,     ,     ,  340,     ,     
  340,19930518,     ,     ,     ,     ,  340,     ,     
  340,19930519,     ,     ,     ,     ,  340,     ,     
  340,19930520,     ,     ,     ,     ,  340,     ,     
  340,19930521,     ,     ,     ,     ,  340,     ,     
  340,19930522,     ,     ,     ,     ,  340,     ,     
  340,19930523,     ,     ,     ,     ,  340,     ,     
  340,19930524,     ,     ,     ,     ,  340,     ,     
  340,19930525,     ,     ,     ,     ,  340,     ,     
  340,19930526,     ,     ,     ,     ,  340,     ,     
  340,19930527,     ,     ,     ,     ,  340,     ,     
  340,19930528,     ,     ,     ,     ,  340,     ,     
  340,19930529,     ,     ,     ,     ,  340,     ,     
  340,19930530,     ,     ,     ,     ,  340,     ,     
  340,19930531,     ,     ,     ,     ,  340,     ,     
  340,19930601,     ,     ,     ,     ,  340,     ,     
  340,19930602,     ,     ,     ,     ,  340,     ,     
  340,19930603,     ,     ,     ,     ,  340,     ,     
  340,19930604,     ,     ,     ,     ,  340,     ,     
  340,19930605,     ,     ,     ,     ,  340,     ,     
  340,19930606,     ,     ,     ,     ,  340,     ,     
  340,19930607,     ,     ,     ,     ,  340,     ,     
  340,19930608,     ,     ,     ,     ,  340,     ,     
