# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.444       51.955      -4.80  ROTTERDAM
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  344,19700101,     ,     ,     ,     ,  344,     ,     
  344,19700102,     ,     ,     ,     ,  344,     ,     
  344,19700103,     ,     ,     ,     ,  344,     ,     
  344,19700104,     ,     ,     ,     ,  344,     ,     
  344,19700105,     ,     ,     ,     ,  344,     ,     
  344,19700106,     ,     ,     ,     ,  344,     ,     
  344,19700107,     ,     ,     ,     ,  344,     ,     
  344,19700108,     ,     ,     ,     ,  344,     ,     
  344,19700109,     ,     ,     ,     ,  344,     ,     
  344,19700110,     ,     ,     ,     ,  344,     ,     
  344,19700111,     ,     ,     ,     ,  344,     ,     
  344,19700112,     ,     ,     ,     ,  344,     ,     
  344,19700113,     ,     ,     ,     ,  344,     ,     
  344,19700114,     ,     ,     ,     ,  344,     ,     
  344,19700115,     ,     ,     ,     ,  344,     ,     
  344,19700116,     ,     ,     ,     ,  344,     ,     
  344,19700117,     ,     ,     ,     ,  344,     ,     
  344,19700118,     ,     ,     ,     ,  344,     ,     
  344,19700119,     ,     ,     ,     ,  344,     ,     
  344,19700120,     ,     ,     ,     ,  344,     ,     
  344,19700121,     ,     ,     ,     ,  344,     ,     
  344,19700122,     ,     ,     ,     ,  344,     ,     
  344,19700123,     ,     ,     ,     ,  344,     ,     
  344,19700124,     ,     ,     ,     ,  344,     ,     
  344,19700125,     ,     ,     ,     ,  344,     ,     
  344,19700126,     ,     ,     ,     ,  344,     ,     
  344,19700127,     ,     ,     ,     ,  344,     ,     
  344,19700128,     ,     ,     ,     ,  344,     ,     
