# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 348:         4.927       51.972      -0.70  CABAUW
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  348,19860401,     ,     ,     ,     ,  348,     ,     
  348,19860402,     ,     ,     ,     ,  348,     ,     
  348,19860403,     ,     ,     ,     ,  348,     ,     
  348,19860404,     ,     ,     ,     ,  348,     ,     
  348,19860405,     ,     ,     ,     ,  348,     ,     
  348,19860406,     ,     ,     ,     ,  348,     ,     
  348,19860407,     ,     ,     ,     ,  348,     ,     
  348,19860408,     ,     ,     ,     ,  348,     ,     
  348,19860409,     ,     ,     ,     ,  348,     ,     
  348,19860410,     ,     ,     ,     ,  348,     ,     
  348,19860411,     ,     ,     ,     ,  348,     ,     
  348,19860412,     ,     ,     ,     ,  348,     ,     
  348,19860413,     ,     ,     ,     ,  348,     ,     
  348,19860414,     ,     ,     ,     ,  348,     ,     
  348,19860415,     ,     ,     ,     ,  348,     ,     
  348,19860416,     ,     ,     ,     ,  348,     ,     
  348,19860417,     ,     ,     ,     ,  348,     ,     
  348,19860418,    3,    2,    2,     ,  348,    2,     
  348,19860419,     ,     ,     ,     ,  348,     ,     
  348,19860420,     ,     ,     ,     ,  348,     ,     
  348,19860421,     ,     ,     ,     ,  348,     ,     
  348,19860422,     ,     ,     ,     ,  348,     ,     
  348,19860423,    0,    1,    1,     ,  348,    1,     
  348,19860424,     ,     ,     ,     ,  348,     ,     
  348,19860425,     ,     ,     ,     ,  348,     ,     
  348,19860426,     ,   38,   12,     ,  348,   38,     
  348,19860427,     ,   89,   28,     ,  348,   89,     
  348,19860428,     ,     ,     ,     ,  348,     ,     
  348,19860429,     ,     ,     ,     ,  348,     ,     
  348,19860430,     ,     ,     ,     ,  348,     ,     
  348,19860501,     ,     ,     ,     ,  348,     ,     
  348,19860502,    0,    0,    0,     ,  348,    0,     
  348,19860503,     ,     ,     ,     ,  348,     ,     
  348,19860504,   27,     ,     ,     ,  348,     ,     
  348,19860505,     ,     ,     ,     ,  348,     ,     
  348,19860506,   31,   61,   49,     ,  348,   61,     
  348,19860507,     ,     ,     ,     ,  348,     ,     
  348,19860508,     ,     ,     ,     ,  348,     ,     
  348,19860509,   45,     ,     ,     ,  348,     ,     
  348,19860510,   70,     ,     ,     ,  348,     ,     
  348,19860511,    0,     ,     ,     ,  348,     ,     
  348,19860512,     ,     ,     ,     ,  348,     ,     
  348,19860513,     ,     ,     ,     ,  348,     ,     
  348,19860514,     ,     ,     ,     ,  348,     ,     
  348,19860515,     ,     ,     ,     ,  348,     ,     
  348,19860516,    0,    0,    0,     ,  348,    0,     
  348,19860517,    3,    1,    1,     ,  348,    1,     
  348,19860518,     ,     ,     ,     ,  348,     ,     
  348,19860519,    0,    0,    0,     ,  348,    0,     
  348,19860520,   19,   51,   48,     ,  348,   51,     
  348,19860521,   29,   12,    6,     ,  348,   12,     
  348,19860522,    0,    0,    0,     ,  348,    0,     
  348,19860523,   16,    9,    5,     ,  348,    9,     
  348,19860524,    8,    6,    6,     ,  348,    6,     
  348,19860525,    0,    0,    0,     ,  348,    0,     
  348,19860526,    0,    0,    0,     ,  348,    0,     
  348,19860527,     ,     ,     ,     ,  348,     ,     
  348,19860528,    0,    0,    0,     ,  348,    0,     
  348,19860529,   13,   61,   55,     ,  348,   61,     
  348,19860530,    0,    0,    0,     ,  348,    0,     
  348,19860531,     ,     ,     ,     ,  348,     ,     
  348,19860601,   29,    7,    3,     ,  348,    7,     
  348,19860602,     ,     ,     ,     ,  348,     ,     
  348,19860603,   74,   66,   20,     ,  348,   66,     
  348,19860604,    9,    6,    3,     ,  348,    6,     
  348,19860605,   43,   16,    5,     ,  348,   16,     
  348,19860606,  106,  132,   24,     ,  348,  132,     
  348,19860607,     ,     ,     ,     ,  348,     ,     
  348,19860608,    0,    0,    0,     ,  348,    0,     
  348,19860609,    0,    0,    0,     ,  348,    0,     
  348,19860610,     ,     ,     ,     ,  348,     ,     
  348,19860611,     ,     ,     ,     ,  348,     ,     
  348,19860612,    0,    0,    0,     ,  348,    0,     
  348,19860613,    0,    0,    0,     ,  348,    0,     
  348,19860614,    0,    0,    0,     ,  348,    0,     
  348,19860615,    0,    0,    0,     ,  348,    0,     
  348,19860616,    0,    0,    0,     ,  348,    0,     
  348,19860617,     ,     ,     ,     ,  348,     ,     
  348,19860618,     ,     ,     ,     ,  348,     ,     
  348,19860619,    0,    0,    0,     ,  348,    0,     
  348,19860620,    0,    0,    0,     ,  348,    0,     
  348,19860621,    0,    0,    0,     ,  348,    0,     
  348,19860622,     ,     ,     ,     ,  348,     ,     
  348,19860623,   19,   41,   28,     ,  348,   41,     
  348,19860624,     ,     ,     ,     ,  348,     ,     
  348,19860625,     ,     ,     ,     ,  348,     ,     
  348,19860626,     ,     ,     ,     ,  348,     ,     
  348,19860627,     ,     ,     ,     ,  348,     ,     
  348,19860628,    0,    0,    0,     ,  348,    0,     
  348,19860629,     ,     ,     ,     ,  348,     ,     
  348,19860630,     ,     ,     ,     ,  348,     ,     
  348,19860701,     ,     ,     ,     ,  348,     ,     
