# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 350:         4.933       51.568      11.10  GILZE-RIJEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  350,19700101,     ,     ,     ,     ,  350,     ,     
  350,19700102,     ,     ,     ,     ,  350,     ,     
  350,19700103,     ,     ,     ,     ,  350,     ,     
  350,19700104,     ,     ,     ,     ,  350,     ,     
  350,19700105,     ,     ,     ,     ,  350,     ,     
  350,19700106,     ,     ,     ,     ,  350,     ,     
  350,19700107,     ,     ,     ,     ,  350,     ,     
  350,19700108,     ,     ,     ,     ,  350,     ,     
  350,19700109,     ,     ,     ,     ,  350,     ,     
  350,19700110,     ,     ,     ,     ,  350,     ,     
  350,19700111,     ,     ,     ,     ,  350,     ,     
  350,19700112,     ,     ,     ,     ,  350,     ,     
  350,19700113,     ,     ,     ,     ,  350,     ,     
  350,19700114,     ,     ,     ,     ,  350,     ,     
  350,19700115,     ,     ,     ,     ,  350,     ,     
  350,19700116,     ,     ,     ,     ,  350,     ,     
  350,19700117,     ,     ,     ,     ,  350,     ,     
  350,19700118,     ,     ,     ,     ,  350,     ,     
  350,19700119,     ,     ,     ,     ,  350,     ,     
  350,19700120,     ,     ,     ,     ,  350,     ,     
  350,19700121,     ,     ,     ,     ,  350,     ,     
  350,19700122,     ,     ,     ,     ,  350,     ,     
  350,19700123,     ,     ,     ,     ,  350,     ,     
  350,19700124,     ,     ,     ,     ,  350,     ,     
  350,19700125,     ,     ,     ,     ,  350,     ,     
  350,19700126,     ,     ,     ,     ,  350,     ,     
  350,19700127,     ,     ,     ,     ,  350,     ,     
  350,19700128,     ,     ,     ,     ,  350,     ,     
  350,19700129,     ,     ,     ,     ,  350,     ,     
  350,19700130,     ,     ,     ,     ,  350,     ,     
  350,19700131,     ,     ,     ,     ,  350,     ,     
  350,19700201,     ,     ,     ,     ,  350,     ,     
  350,19700202,     ,     ,     ,     ,  350,     ,     
  350,19700203,     ,     ,     ,     ,  350,     ,     
  350,19700204,     ,     ,     ,     ,  350,     ,     
  350,19700205,     ,     ,     ,     ,  350,     ,     
  350,19700206,     ,     ,     ,     ,  350,     ,     
  350,19700207,     ,     ,     ,     ,  350,     ,     
  350,19700208,     ,     ,     ,     ,  350,     ,     
  350,19700209,     ,     ,     ,     ,  350,     ,     
  350,19700210,     ,     ,     ,     ,  350,     ,     
  350,19700211,     ,     ,     ,     ,  350,     ,     
  350,19700212,     ,     ,     ,     ,  350,     ,     
  350,19700213,     ,     ,     ,     ,  350,     ,     
  350,19700214,     ,     ,     ,     ,  350,     ,     
  350,19700215,     ,     ,     ,     ,  350,     ,     
  350,19700216,     ,     ,     ,     ,  350,     ,     
  350,19700217,     ,     ,     ,     ,  350,     ,     
  350,19700218,     ,     ,     ,     ,  350,     ,     
  350,19700219,     ,     ,     ,     ,  350,     ,     
  350,19700220,     ,     ,     ,     ,  350,     ,     
  350,19700221,     ,     ,     ,     ,  350,     ,     
  350,19700222,     ,     ,     ,     ,  350,     ,     
  350,19700223,     ,     ,     ,     ,  350,     ,     
  350,19700224,     ,     ,     ,     ,  350,     ,     
  350,19700225,     ,     ,     ,     ,  350,     ,     
  350,19700226,     ,     ,     ,     ,  350,     ,     
  350,19700227,     ,     ,     ,     ,  350,     ,     
  350,19700228,     ,     ,     ,     ,  350,     ,     
  350,19700301,     ,     ,     ,     ,  350,     ,     
  350,19700302,     ,     ,     ,     ,  350,     ,     
  350,19700303,     ,     ,     ,     ,  350,     ,     
  350,19700304,     ,     ,     ,     ,  350,     ,     
  350,19700305,     ,     ,     ,     ,  350,     ,     
  350,19700306,     ,     ,     ,     ,  350,     ,     
  350,19700307,     ,     ,     ,     ,  350,     ,     
  350,19700308,     ,     ,     ,     ,  350,     ,     
  350,19700309,     ,     ,     ,     ,  350,     ,     
  350,19700310,     ,     ,     ,     ,  350,     ,     
  350,19700311,     ,     ,     ,     ,  350,     ,     
  350,19700312,     ,     ,     ,     ,  350,     ,     
  350,19700313,     ,     ,     ,     ,  350,     ,     
  350,19700314,     ,     ,     ,     ,  350,     ,     
  350,19700315,     ,     ,     ,     ,  350,     ,     
  350,19700316,     ,     ,     ,     ,  350,     ,     
  350,19700317,     ,     ,     ,     ,  350,     ,     
  350,19700318,     ,     ,     ,     ,  350,     ,     
  350,19700319,     ,     ,     ,     ,  350,     ,     
  350,19700320,     ,     ,     ,     ,  350,     ,     
  350,19700321,     ,     ,     ,     ,  350,     ,     
  350,19700322,     ,     ,     ,     ,  350,     ,     
  350,19700323,     ,     ,     ,     ,  350,     ,     
  350,19700324,     ,     ,     ,     ,  350,     ,     
  350,19700325,     ,     ,     ,     ,  350,     ,     
  350,19700326,     ,     ,     ,     ,  350,     ,     
  350,19700327,     ,     ,     ,     ,  350,     ,     
  350,19700328,     ,     ,     ,     ,  350,     ,     
  350,19700329,     ,     ,     ,     ,  350,     ,     
  350,19700330,     ,     ,     ,     ,  350,     ,     
  350,19700331,     ,     ,     ,     ,  350,     ,     
  350,19700401,     ,     ,     ,     ,  350,     ,     
  350,19700402,     ,     ,     ,     ,  350,     ,     
  350,19700403,     ,     ,     ,     ,  350,     ,     
  350,19700404,     ,     ,     ,     ,  350,     ,     
  350,19700405,     ,     ,     ,     ,  350,     ,     
  350,19700406,     ,     ,     ,     ,  350,     ,     
  350,19700407,     ,     ,     ,     ,  350,     ,     
  350,19700408,     ,     ,     ,     ,  350,     ,     
  350,19700409,     ,     ,     ,     ,  350,     ,     
  350,19700410,     ,     ,     ,     ,  350,     ,     
  350,19700411,     ,     ,     ,     ,  350,     ,     
  350,19700412,     ,     ,     ,     ,  350,     ,     
  350,19700413,     ,     ,     ,     ,  350,     ,     
  350,19700414,     ,     ,     ,     ,  350,     ,     
  350,19700415,     ,     ,     ,     ,  350,     ,     
  350,19700416,     ,     ,     ,     ,  350,     ,     
  350,19700417,     ,     ,     ,     ,  350,     ,     
  350,19700418,     ,     ,     ,     ,  350,     ,     
  350,19700419,     ,     ,     ,     ,  350,     ,     
  350,19700420,     ,     ,     ,     ,  350,     ,     
  350,19700421,     ,     ,     ,     ,  350,     ,     
  350,19700422,     ,     ,     ,     ,  350,     ,     
  350,19700423,     ,     ,     ,     ,  350,     ,     
  350,19700424,     ,     ,     ,     ,  350,     ,     
  350,19700425,     ,     ,     ,     ,  350,     ,     
  350,19700426,     ,     ,     ,     ,  350,     ,     
  350,19700427,     ,     ,     ,     ,  350,     ,     
  350,19700428,     ,     ,     ,     ,  350,     ,     
  350,19700429,     ,     ,     ,     ,  350,     ,     
  350,19700430,     ,     ,     ,     ,  350,     ,     
  350,19700501,     ,     ,     ,     ,  350,     ,     
  350,19700502,     ,     ,     ,     ,  350,     ,     
  350,19700503,     ,     ,     ,     ,  350,     ,     
  350,19700504,     ,     ,     ,     ,  350,     ,     
  350,19700505,     ,     ,     ,     ,  350,     ,     
  350,19700506,     ,     ,     ,     ,  350,     ,     
  350,19700507,     ,     ,     ,     ,  350,     ,     
  350,19700508,     ,     ,     ,     ,  350,     ,     
  350,19700509,     ,     ,     ,     ,  350,     ,     
  350,19700510,     ,     ,     ,     ,  350,     ,     
  350,19700511,     ,     ,     ,     ,  350,     ,     
  350,19700512,     ,     ,     ,     ,  350,     ,     
  350,19700513,     ,     ,     ,     ,  350,     ,     
  350,19700514,     ,     ,     ,     ,  350,     ,     
  350,19700515,     ,     ,     ,     ,  350,     ,     
  350,19700516,     ,     ,     ,     ,  350,     ,     
  350,19700517,     ,     ,     ,     ,  350,     ,     
  350,19700518,     ,     ,     ,     ,  350,     ,     
  350,19700519,     ,     ,     ,     ,  350,     ,     
  350,19700520,     ,     ,     ,     ,  350,     ,     
  350,19700521,     ,     ,     ,     ,  350,     ,     
  350,19700522,     ,     ,     ,     ,  350,     ,     
  350,19700523,     ,     ,     ,     ,  350,     ,     
  350,19700524,     ,     ,     ,     ,  350,     ,     
  350,19700525,     ,     ,     ,     ,  350,     ,     
  350,19700526,     ,     ,     ,     ,  350,     ,     
  350,19700527,     ,     ,     ,     ,  350,     ,     
  350,19700528,     ,     ,     ,     ,  350,     ,     
  350,19700529,     ,     ,     ,     ,  350,     ,     
  350,19700530,     ,     ,     ,     ,  350,     ,     
  350,19700531,     ,     ,     ,     ,  350,     ,     
  350,19700601,     ,     ,     ,     ,  350,     ,     
  350,19700602,     ,     ,     ,     ,  350,     ,     
  350,19700603,     ,     ,     ,     ,  350,     ,     
  350,19700604,     ,     ,     ,     ,  350,     ,     
  350,19700605,     ,     ,     ,     ,  350,     ,     
  350,19700606,     ,     ,     ,     ,  350,     ,     
  350,19700607,     ,     ,     ,     ,  350,     ,     
  350,19700608,     ,     ,     ,     ,  350,     ,     
  350,19700609,     ,     ,     ,     ,  350,     ,     
  350,19700610,     ,     ,     ,     ,  350,     ,     
  350,19700611,     ,     ,     ,     ,  350,     ,     
  350,19700612,     ,     ,     ,     ,  350,     ,     
