# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 356:         5.145       51.858       0.90  HERWIJNEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  356,19890101,     ,     ,     ,     ,  356,     ,     
  356,19890102,     ,     ,     ,     ,  356,     ,     
  356,19890103,     ,     ,     ,     ,  356,     ,     
  356,19890104,     ,     ,     ,     ,  356,     ,     
  356,19890105,     ,     ,     ,     ,  356,     ,     
  356,19890106,     ,     ,     ,     ,  356,     ,     
  356,19890107,     ,     ,     ,     ,  356,     ,     
  356,19890108,     ,     ,     ,     ,  356,     ,     
  356,19890109,     ,     ,     ,     ,  356,     ,     
  356,19890110,     ,     ,     ,     ,  356,     ,     
  356,19890111,     ,     ,     ,     ,  356,     ,     
  356,19890112,     ,     ,     ,     ,  356,     ,     
  356,19890113,     ,     ,     ,     ,  356,     ,     
  356,19890114,     ,     ,     ,     ,  356,     ,     
  356,19890115,     ,     ,     ,     ,  356,     ,     
  356,19890116,     ,     ,     ,     ,  356,     ,     
  356,19890117,     ,     ,     ,     ,  356,     ,     
  356,19890118,     ,     ,     ,     ,  356,     ,     
  356,19890119,     ,     ,     ,     ,  356,     ,     
  356,19890120,     ,     ,     ,     ,  356,     ,     
  356,19890121,     ,     ,     ,     ,  356,     ,     
  356,19890122,     ,     ,     ,     ,  356,     ,     
  356,19890123,     ,     ,     ,     ,  356,     ,     
  356,19890124,     ,     ,     ,     ,  356,     ,     
  356,19890125,     ,     ,     ,     ,  356,     ,     
  356,19890126,     ,     ,     ,     ,  356,     ,     
  356,19890127,     ,     ,     ,     ,  356,     ,     
  356,19890128,     ,     ,     ,     ,  356,     ,     
  356,19890129,     ,     ,     ,     ,  356,     ,     
  356,19890130,     ,     ,     ,     ,  356,     ,     
  356,19890131,     ,     ,     ,     ,  356,     ,     
  356,19890201,     ,     ,     ,     ,  356,     ,     
  356,19890202,     ,     ,     ,     ,  356,     ,     
  356,19890203,     ,     ,     ,     ,  356,     ,     
  356,19890204,     ,     ,     ,     ,  356,     ,     
  356,19890205,     ,     ,     ,     ,  356,     ,     
  356,19890206,     ,     ,     ,     ,  356,     ,     
  356,19890207,     ,     ,     ,     ,  356,     ,     
  356,19890208,     ,     ,     ,     ,  356,     ,     
  356,19890209,     ,     ,     ,     ,  356,     ,     
  356,19890210,     ,     ,     ,     ,  356,     ,     
  356,19890211,     ,     ,     ,     ,  356,     ,     
  356,19890212,     ,     ,     ,     ,  356,     ,     
  356,19890213,     ,     ,     ,     ,  356,     ,     
  356,19890214,     ,     ,     ,     ,  356,     ,     
  356,19890215,     ,     ,     ,     ,  356,     ,     
  356,19890216,     ,     ,     ,     ,  356,     ,     
  356,19890217,     ,     ,     ,     ,  356,     ,     
  356,19890218,     ,     ,     ,     ,  356,     ,     
  356,19890219,     ,     ,     ,     ,  356,     ,     
  356,19890220,     ,     ,     ,     ,  356,     ,     
  356,19890221,     ,     ,     ,     ,  356,     ,     
  356,19890222,     ,     ,     ,     ,  356,     ,     
  356,19890223,     ,     ,     ,     ,  356,     ,     
  356,19890224,     ,     ,     ,     ,  356,     ,     
  356,19890225,     ,     ,     ,     ,  356,     ,     
  356,19890226,     ,     ,     ,     ,  356,     ,     
  356,19890227,     ,     ,     ,     ,  356,     ,     
  356,19890228,     ,     ,     ,     ,  356,     ,     
  356,19890301,     ,     ,     ,     ,  356,     ,     
  356,19890302,     ,     ,     ,     ,  356,     ,     
  356,19890303,     ,     ,     ,     ,  356,     ,     
  356,19890304,     ,     ,     ,     ,  356,     ,     
  356,19890305,     ,     ,     ,     ,  356,     ,     
  356,19890306,     ,     ,     ,     ,  356,     ,     
  356,19890307,     ,     ,     ,     ,  356,     ,     
  356,19890308,     ,     ,     ,     ,  356,     ,     
  356,19890309,     ,     ,     ,     ,  356,     ,     
  356,19890310,     ,     ,     ,     ,  356,     ,     
  356,19890311,     ,     ,     ,     ,  356,     ,     
  356,19890312,     ,     ,     ,     ,  356,     ,     
  356,19890313,     ,     ,     ,     ,  356,     ,     
  356,19890314,     ,     ,     ,     ,  356,     ,     
  356,19890315,     ,     ,     ,     ,  356,     ,     
  356,19890316,     ,     ,     ,     ,  356,     ,     
  356,19890317,     ,     ,     ,     ,  356,     ,     
  356,19890318,     ,     ,     ,     ,  356,     ,     
  356,19890319,     ,     ,     ,     ,  356,     ,     
  356,19890320,     ,     ,     ,     ,  356,     ,     
  356,19890321,     ,     ,     ,     ,  356,     ,     
  356,19890322,     ,     ,     ,     ,  356,     ,     
  356,19890323,     ,     ,     ,     ,  356,     ,     
  356,19890324,     ,     ,     ,     ,  356,     ,     
  356,19890325,     ,     ,     ,     ,  356,     ,     
  356,19890326,     ,     ,     ,     ,  356,     ,     
  356,19890327,     ,     ,     ,     ,  356,     ,     
  356,19890328,     ,     ,     ,     ,  356,     ,     
  356,19890329,     ,     ,     ,     ,  356,     ,     
  356,19890330,     ,     ,     ,     ,  356,     ,     
  356,19890331,     ,     ,     ,     ,  356,     ,     
