# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 370:         5.414       51.446      20.30  EINDHOVEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  370,19700101,     ,     ,     ,     ,  370,     ,     
  370,19700102,     ,     ,     ,     ,  370,     ,     
  370,19700103,     ,     ,     ,     ,  370,     ,     
  370,19700104,     ,     ,     ,     ,  370,     ,     
  370,19700105,     ,     ,     ,     ,  370,     ,     
  370,19700106,     ,     ,     ,     ,  370,     ,     
  370,19700107,     ,     ,     ,     ,  370,     ,     
  370,19700108,     ,     ,     ,     ,  370,     ,     
  370,19700109,     ,     ,     ,     ,  370,     ,     
  370,19700110,     ,     ,     ,     ,  370,     ,     
  370,19700111,     ,     ,     ,     ,  370,     ,     
  370,19700112,     ,     ,     ,     ,  370,     ,     
  370,19700113,     ,     ,     ,     ,  370,     ,     
  370,19700114,     ,     ,     ,     ,  370,     ,     
  370,19700115,     ,     ,     ,     ,  370,     ,     
  370,19700116,     ,     ,     ,     ,  370,     ,     
  370,19700117,     ,     ,     ,     ,  370,     ,     
  370,19700118,     ,     ,     ,     ,  370,     ,     
  370,19700119,     ,     ,     ,     ,  370,     ,     
  370,19700120,     ,     ,     ,     ,  370,     ,     
  370,19700121,     ,     ,     ,     ,  370,     ,     
  370,19700122,     ,     ,     ,     ,  370,     ,     
  370,19700123,     ,     ,     ,     ,  370,     ,     
  370,19700124,     ,     ,     ,     ,  370,     ,     
  370,19700125,     ,     ,     ,     ,  370,     ,     
  370,19700126,     ,     ,     ,     ,  370,     ,     
  370,19700127,     ,     ,     ,     ,  370,     ,     
  370,19700128,     ,     ,     ,     ,  370,     ,     
  370,19700129,     ,     ,     ,     ,  370,     ,     
  370,19700130,     ,     ,     ,     ,  370,     ,     
  370,19700131,     ,     ,     ,     ,  370,     ,     
  370,19700201,     ,     ,     ,     ,  370,     ,     
