# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 375:         5.706       51.657      21.10  VOLKEL
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  375,19700101,     ,     ,     ,     ,  375,     ,     
  375,19700102,     ,     ,     ,     ,  375,     ,     
  375,19700103,     ,     ,     ,     ,  375,     ,     
  375,19700104,     ,     ,     ,     ,  375,     ,     
  375,19700105,     ,     ,     ,     ,  375,     ,     
  375,19700106,     ,     ,     ,     ,  375,     ,     
  375,19700107,     ,     ,     ,     ,  375,     ,     
  375,19700108,     ,     ,     ,     ,  375,     ,     
  375,19700109,     ,     ,     ,     ,  375,     ,     
  375,19700110,     ,     ,     ,     ,  375,     ,     
  375,19700111,     ,     ,     ,     ,  375,     ,     
  375,19700112,     ,     ,     ,     ,  375,     ,     
  375,19700113,     ,     ,     ,     ,  375,     ,     
  375,19700114,     ,     ,     ,     ,  375,     ,     
  375,19700115,     ,     ,     ,     ,  375,     ,     
  375,19700116,     ,     ,     ,     ,  375,     ,     
  375,19700117,     ,     ,     ,     ,  375,     ,     
  375,19700118,     ,     ,     ,     ,  375,     ,     
  375,19700119,     ,     ,     ,     ,  375,     ,     
  375,19700120,     ,     ,     ,     ,  375,     ,     
  375,19700121,     ,     ,     ,     ,  375,     ,     
  375,19700122,     ,     ,     ,     ,  375,     ,     
  375,19700123,     ,     ,     ,     ,  375,     ,     
  375,19700124,     ,     ,     ,     ,  375,     ,     
  375,19700125,     ,     ,     ,     ,  375,     ,     
  375,19700126,     ,     ,     ,     ,  375,     ,     
  375,19700127,     ,     ,     ,     ,  375,     ,     
  375,19700128,     ,     ,     ,     ,  375,     ,     
  375,19700129,     ,     ,     ,     ,  375,     ,     
  375,19700130,     ,     ,     ,     ,  375,     ,     
  375,19700131,     ,     ,     ,     ,  375,     ,     
  375,19700201,     ,     ,     ,     ,  375,     ,     
  375,19700202,     ,     ,     ,     ,  375,     ,     
  375,19700203,     ,     ,     ,     ,  375,     ,     
  375,19700204,     ,     ,     ,     ,  375,     ,     
  375,19700205,     ,     ,     ,     ,  375,     ,     
  375,19700206,     ,     ,     ,     ,  375,     ,     
  375,19700207,     ,     ,     ,     ,  375,     ,     
  375,19700208,     ,     ,     ,     ,  375,     ,     
  375,19700209,     ,     ,     ,     ,  375,     ,     
  375,19700210,     ,     ,     ,     ,  375,     ,     
  375,19700211,     ,     ,     ,     ,  375,     ,     
  375,19700212,     ,     ,     ,     ,  375,     ,     
  375,19700213,     ,     ,     ,     ,  375,     ,     
  375,19700214,     ,     ,     ,     ,  375,     ,     
  375,19700215,     ,     ,     ,     ,  375,     ,     
  375,19700216,     ,     ,     ,     ,  375,     ,     
  375,19700217,     ,     ,     ,     ,  375,     ,     
  375,19700218,     ,     ,     ,     ,  375,     ,     
  375,19700219,     ,     ,     ,     ,  375,     ,     
  375,19700220,     ,     ,     ,     ,  375,     ,     
  375,19700221,     ,     ,     ,     ,  375,     ,     
  375,19700222,     ,     ,     ,     ,  375,     ,     
  375,19700223,     ,     ,     ,     ,  375,     ,     
  375,19700224,     ,     ,     ,     ,  375,     ,     
  375,19700225,     ,     ,     ,     ,  375,     ,     
  375,19700226,     ,     ,     ,     ,  375,     ,     
