# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 377:         5.764       51.197      30.00  ELL
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  377,19990710,     ,     ,     ,     ,  377,     ,     
  377,19990711,     ,     ,     ,     ,  377,     ,     
  377,19990712,     ,     ,     ,     ,  377,     ,     
  377,19990713,     ,     ,     ,     ,  377,     ,     
  377,19990714,     ,     ,     ,     ,  377,     ,     
  377,19990715,    0,    0,    0,    1,  377,    0,   31
  377,19990716,    0,    0,    0,    1,  377,    0,   36
  377,19990717,    0,    0,    0,    1,  377,    0,   50
  377,19990718,    0,    0,    0,    1,  377,    0,   51
  377,19990719,    0,   -1,   -1,   16,  377,   -1,   40
  377,19990720,    0,   -1,   -1,   14,  377,   -1,   34
  377,19990721,    0,   -1,   -1,   15,  377,   -1,   25
  377,19990722,   40,   28,   10,   18,  377,   28,   20
  377,19990723,    0,    0,    0,    1,  377,    0,   25
  377,19990724,    0,    0,    0,    1,  377,    0,   38
  377,19990725,    0,    0,    0,    1,  377,    0,   46
  377,19990726,    0,    0,    0,    1,  377,    0,   44
  377,19990727,    0,    0,    0,    1,  377,    0,   48
  377,19990728,    0,    0,    0,    1,  377,    0,   50
  377,19990729,    0,    0,    0,    1,  377,    0,   49
  377,19990730,    0,    0,    0,    1,  377,    0,   48
  377,19990731,    0,    0,    0,    1,  377,    0,   46
  377,19990801,    0,    0,    0,    1,  377,    0,   46
  377,19990802,    0,    0,    0,    1,  377,    0,   47
  377,19990803,    0,    0,    0,    1,  377,    0,   28
  377,19990804,    0,   -1,   -1,    8,  377,   -1,   38
  377,19990805,   14,   15,   14,    4,  377,   15,   37
  377,19990806,    0,    0,    0,    1,  377,    0,   43
  377,19990807,   38,  123,   78,    1,  377,  123,   22
  377,19990808,   20,   39,   25,   16,  377,   39,   22
  377,19990809,   14,    8,    4,   11,  377,    8,   23
  377,19990810,   84,  289,   62,   20,  377,  289,   17
  377,19990811,    4,    1,    1,    5,  377,    1,   21
  377,19990812,    0,   -1,   -1,    8,  377,   -1,   24
  377,19990813,    0,   -1,   -1,   10,  377,   -1,   34
  377,19990814,   78,  137,   22,    3,  377,  137,   14
  377,19990815,    2,    1,    1,    1,  377,    1,   28
  377,19990816,   29,   33,   11,   14,  377,   33,   23
  377,19990817,    6,    5,    4,   15,  377,    5,   19
  377,19990818,   23,   72,   59,   16,  377,   72,   22
  377,19990819,   16,   16,    7,   12,  377,   16,   23
  377,19990820,   20,   51,   40,   16,  377,   51,   16
  377,19990821,    0,    0,    0,    1,  377,    0,   24
  377,19990822,    0,    0,    0,    1,  377,    0,   28
  377,19990823,    0,    0,    0,    1,  377,    0,   37
  377,19990824,    0,   -1,   -1,   15,  377,   -1,   27
  377,19990825,   10,   14,   14,   23,  377,   14,   29
  377,19990826,    0,   -1,   -1,    4,  377,   -1,   29
  377,19990827,    0,    0,    0,    1,  377,    0,   20
  377,19990828,    0,    0,    0,    1,  377,    0,   31
  377,19990829,    0,    0,    0,    1,  377,    0,   30
  377,19990830,    0,    0,    0,    1,  377,    0,   30
  377,19990831,    0,    0,    0,    1,  377,    0,   15
  377,19990901,    0,   -1,   -1,   10,  377,   -1,   11
  377,19990902,    0,    0,    0,    1,  377,    0,   32
  377,19990903,    0,    0,    0,    1,  377,    0,   34
  377,19990904,    0,    0,    0,    1,  377,    0,   24
  377,19990905,    0,    0,    0,    1,  377,    0,   31
  377,19990906,    0,   -1,   -1,   14,  377,   -1,   22
  377,19990907,    0,   -1,   -1,    8,  377,   -1,   28
  377,19990908,    0,    0,    0,    1,  377,    0,   25
  377,19990909,    0,    0,    0,    1,  377,    0,   29
  377,19990910,    0,    0,    0,    1,  377,    0,   27
  377,19990911,    0,    0,    0,    1,  377,    0,   33
  377,19990912,    0,    0,    0,    1,  377,    0,   31
  377,19990913,    0,    0,    0,    1,  377,    0,   26
  377,19990914,    0,    0,    0,    1,  377,    0,   17
  377,19990915,   38,   53,   23,   15,  377,   53,    9
  377,19990916,    0,   -1,   -1,   23,  377,   -1,   27
  377,19990917,   56,   36,    9,    5,  377,   36,    8
  377,19990918,    0,    0,    0,    1,  377,    0,   25
  377,19990919,    6,    1,    1,   22,  377,    1,   17
  377,19990920,   25,   17,   12,   12,  377,   17,   12
  377,19990921,    0,   -1,   -1,   16,  377,   -1,   18
  377,19990922,    0,   -1,   -1,    2,  377,   -1,   11
  377,19990923,   11,   38,   37,    4,  377,   38,   24
  377,19990924,    0,   -1,   -1,   18,  377,   -1,   20
  377,19990925,    0,    0,    0,    1,  377,    0,   20
  377,19990926,   24,   45,   29,    3,  377,   45,   15
  377,19990927,    3,    1,    1,   17,  377,    1,   14
  377,19990928,    0,   -1,   -1,    5,  377,   -1,   13
  377,19990929,   52,   74,   26,   20,  377,   74,    7
  377,19990930,   59,  137,   43,   15,  377,  137,    5
  377,19991001,    9,   46,   45,    1,  377,   46,   12
  377,19991002,   64,  113,   28,   19,  377,  113,    6
  377,19991003,    7,    6,    4,   15,  377,    6,   14
  377,19991004,   22,   20,    8,   18,  377,   20,    6
  377,19991005,   18,   20,    8,   12,  377,   20,   13
  377,19991006,    0,    0,    0,    1,  377,    0,   13
  377,19991007,    0,   -1,   -1,   22,  377,   -1,   15
  377,19991008,   70,   38,    7,    9,  377,   38,    4
  377,19991009,   12,    5,    2,    8,  377,    5,    5
  377,19991010,   11,    3,    2,    7,  377,    3,    4
  377,19991011,   14,   13,    4,    8,  377,   13,    5
  377,19991012,    0,    0,    0,    1,  377,    0,   15
  377,19991013,    0,    0,    0,    1,  377,    0,   15
  377,19991014,    0,    0,    0,    1,  377,    0,    6
  377,19991015,    0,    0,    0,    1,  377,    0,    9
  377,19991016,    0,    0,    0,    1,  377,    0,   16
