# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 380:         5.768       50.910     114.00  MAASTRICHT
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  380,19700101,   30,    4,    1,     ,  380,    4,    1
  380,19700102,   32,   20,    8,     ,  380,   20,    0
  380,19700103,   92,   88,   19,     ,  380,   88,    1
  380,19700104,    0,    1,    1,     ,  380,    1,    3
  380,19700105,    0,    0,    0,     ,  380,    0,    2
  380,19700106,   36,    6,    1,     ,  380,    6,    3
  380,19700107,    0,    0,    0,     ,  380,    0,    2
  380,19700108,    2,    1,    1,     ,  380,    1,    2
  380,19700109,   32,   79,   40,     ,  380,   79,    3
  380,19700110,   14,   13,    6,     ,  380,   13,    2
  380,19700111,    0,    0,    0,     ,  380,    0,    3
  380,19700112,    0,    0,    0,     ,  380,    0,    5
  380,19700113,    0,    0,    0,     ,  380,    0,    4
  380,19700114,    0,    0,    0,     ,  380,    0,    5
  380,19700115,   41,   29,   10,     ,  380,   29,    4
  380,19700116,   31,   50,   20,     ,  380,   50,    0
  380,19700117,   18,   17,    7,     ,  380,   17,    0
  380,19700118,    0,    0,    0,     ,  380,    0,    6
  380,19700119,    0,    0,    0,     ,  380,    0,    2
  380,19700120,    0,    0,    0,     ,  380,    0,    4
  380,19700121,    0,    1,    1,     ,  380,    1,    5
  380,19700122,   44,   15,    4,     ,  380,   15,    1
  380,19700123,   12,    6,    4,     ,  380,    6,    3
  380,19700124,  105,   80,   14,     ,  380,   80,    1
  380,19700125,   45,   29,   11,     ,  380,   29,    3
  380,19700126,  115,   65,   16,     ,  380,   65,    2
  380,19700127,   60,   68,   15,     ,  380,   68,    2
  380,19700128,    0,    0,    0,     ,  380,    0,    4
  380,19700129,    0,    3,    1,     ,  380,    3,    7
  380,19700130,  101,   37,   14,     ,  380,   37,    1
  380,19700131,   30,    3,    1,     ,  380,    3,    2
  380,19700201,    0,    1,    1,     ,  380,    1,    6
  380,19700202,   86,  128,   20,     ,  380,  128,    2
  380,19700203,   11,   72,   58,     ,  380,   72,    6
  380,19700204,   11,    8,    5,     ,  380,    8,    3
  380,19700205,   98,   99,   28,     ,  380,   99,    2
  380,19700206,    0,    2,    1,     ,  380,    2,    6
  380,19700207,   17,   20,   11,     ,  380,   20,    4
  380,19700208,   17,   38,   16,     ,  380,   38,    8
  380,19700209,   40,   70,   19,     ,  380,   70,    6
  380,19700210,   21,   34,   14,     ,  380,   34,    2
  380,19700211,    4,    4,    4,     ,  380,    4,    6
  380,19700212,   89,   87,   19,     ,  380,   87,    1
  380,19700213,   60,   34,   11,     ,  380,   34,    6
  380,19700214,    0,    0,    0,     ,  380,    0,    5
  380,19700215,    0,    0,    0,     ,  380,    0,    7
  380,19700216,   59,   42,    9,     ,  380,   42,    4
  380,19700217,   64,   46,   11,     ,  380,   46,    4
  380,19700218,   23,   10,    5,     ,  380,   10,    9
  380,19700219,   59,   38,   11,     ,  380,   38,    2
  380,19700220,   28,   30,    9,     ,  380,   30,    4
  380,19700221,  188,  200,   18,     ,  380,  200,    1
  380,19700222,  120,  150,   23,     ,  380,  150,    2
  380,19700223,    7,    4,    1,     ,  380,    4,    5
  380,19700224,    3,    5,    5,     ,  380,    5,    4
  380,19700225,   18,   34,   13,     ,  380,   34,    6
  380,19700226,   13,   25,   11,     ,  380,   25,    4
  380,19700227,   25,    4,    2,     ,  380,    4,    4
  380,19700228,    0,    0,    0,     ,  380,    0,    6
  380,19700301,   48,   29,    8,     ,  380,   29,    5
  380,19700302,   71,  128,   25,     ,  380,  128,    7
  380,19700303,   29,   49,   24,     ,  380,   49,    7
  380,19700304,    0,    0,    0,     ,  380,    0,   10
  380,19700305,    0,    0,    0,     ,  380,    0,    8
  380,19700306,   15,    5,    2,     ,  380,    5,    8
  380,19700307,    7,    5,    3,     ,  380,    5,   10
  380,19700308,  147,  143,   20,     ,  380,  143,    4
  380,19700309,    0,    0,    0,     ,  380,    0,   13
  380,19700310,   27,   18,    9,     ,  380,   18,    9
  380,19700311,    0,    2,    1,     ,  380,    2,   14
  380,19700312,   14,    6,    3,     ,  380,    6,    9
  380,19700313,    5,    2,    2,     ,  380,    2,   15
  380,19700314,    0,    0,    0,     ,  380,    0,    6
  380,19700315,    8,    3,    2,     ,  380,    3,    9
  380,19700316,   79,   19,    3,     ,  380,   19,    3
  380,19700317,   35,   15,    7,     ,  380,   15,    3
  380,19700318,   89,  111,   15,     ,  380,  111,    8
  380,19700319,   21,   45,   24,     ,  380,   45,    9
  380,19700320,   23,   17,    8,     ,  380,   17,    3
  380,19700321,   26,    6,    2,     ,  380,    6,    8
  380,19700322,    2,    2,    2,     ,  380,    2,   16
  380,19700323,   20,   38,   22,     ,  380,   38,   15
  380,19700324,   78,  233,   76,     ,  380,  233,    7
  380,19700325,   45,    8,    2,     ,  380,    8,    2
  380,19700326,    6,    5,    3,     ,  380,    5,   10
  380,19700327,   28,   27,   13,     ,  380,   27,   15
  380,19700328,   28,   37,   12,     ,  380,   37,    9
  380,19700329,    4,    3,    1,     ,  380,    3,   11
  380,19700330,    7,    9,    6,     ,  380,    9,    8
  380,19700331,   40,   55,   15,     ,  380,   55,    9
  380,19700401,   45,   53,   14,     ,  380,   53,   10
  380,19700402,   42,   54,   23,     ,  380,   54,   10
  380,19700403,    0,    0,    0,     ,  380,    0,   13
  380,19700404,   26,   19,    6,     ,  380,   19,   11
  380,19700405,   18,   19,    7,     ,  380,   19,   11
  380,19700406,   42,   24,    9,     ,  380,   24,    8
  380,19700407,   30,   34,   12,     ,  380,   34,   15
  380,19700408,    1,    1,    1,     ,  380,    1,   15
  380,19700409,    8,   29,   29,     ,  380,   29,   14
  380,19700410,    8,    6,    3,     ,  380,    6,   11
  380,19700411,   15,   37,   18,     ,  380,   37,   11
  380,19700412,   62,   47,   13,     ,  380,   47,   18
