# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.196       51.498      19.00  ARCEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24 = DR= 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   DR,   RH,  RHX, RHXH,EV24 = DR,   RH, EV24
# 
  391,19900701,     ,     ,     ,     ,  391,     ,     
  391,19900702,     ,     ,     ,     ,  391,     ,     
  391,19900703,     ,     ,     ,     ,  391,     ,     
  391,19900704,     ,     ,     ,     ,  391,     ,     
  391,19900705,     ,     ,     ,     ,  391,     ,     
  391,19900706,     ,     ,     ,     ,  391,     ,     
  391,19900707,     ,     ,     ,     ,  391,     ,     
  391,19900708,     ,     ,     ,     ,  391,     ,     
  391,19900709,     ,     ,     ,     ,  391,     ,     
  391,19900710,     ,     ,     ,     ,  391,     ,     
  391,19900711,     ,     ,     ,     ,  391,     ,     
  391,19900712,     ,     ,     ,     ,  391,     ,     
  391,19900713,     ,     ,     ,     ,  391,     ,     
  391,19900714,     ,     ,     ,     ,  391,     ,     
  391,19900715,     ,     ,     ,     ,  391,     ,     
  391,19900716,     ,     ,     ,     ,  391,     ,     
  391,19900717,     ,     ,     ,     ,  391,     ,     
  391,19900718,     ,     ,     ,     ,  391,     ,     
  391,19900719,     ,     ,     ,     ,  391,     ,     
  391,19900720,     ,     ,     ,     ,  391,     ,     
  391,19900721,     ,     ,     ,     ,  391,     ,     
  391,19900722,     ,     ,     ,     ,  391,     ,     
  391,19900723,     ,     ,     ,     ,  391,     ,     
  391,19900724,     ,     ,     ,     ,  391,     ,     
  391,19900725,     ,     ,     ,     ,  391,     ,     
  391,19900726,     ,     ,     ,     ,  391,     ,     
  391,19900727,     ,     ,     ,     ,  391,     ,     
  391,19900728,     ,     ,     ,     ,  391,     ,     
  391,19900729,     ,     ,     ,     ,  391,     ,     
  391,19900730,     ,     ,     ,     ,  391,     ,     
  391,19900731,     ,     ,     ,     ,  391,     ,     
  391,19900801,     ,     ,     ,     ,  391,     ,     
  391,19900802,     ,     ,     ,     ,  391,     ,     
  391,19900803,     ,     ,     ,     ,  391,     ,     
  391,19900804,     ,     ,     ,     ,  391,     ,     
  391,19900805,     ,     ,     ,     ,  391,     ,     
  391,19900806,     ,     ,     ,     ,  391,     ,     
  391,19900807,     ,     ,     ,     ,  391,     ,     
  391,19900808,     ,     ,     ,     ,  391,     ,     
  391,19900809,     ,     ,     ,     ,  391,     ,     
  391,19900810,     ,     ,     ,     ,  391,     ,     
  391,19900811,     ,     ,     ,     ,  391,     ,     
  391,19900812,     ,     ,     ,     ,  391,     ,     
  391,19900813,     ,     ,     ,     ,  391,     ,     
  391,19900814,     ,     ,     ,     ,  391,     ,     
  391,19900815,     ,     ,     ,     ,  391,     ,     
  391,19900816,     ,     ,     ,     ,  391,     ,     
  391,19900817,     ,     ,     ,     ,  391,     ,     
  391,19900818,     ,     ,     ,     ,  391,     ,     
  391,19900819,     ,     ,     ,     ,  391,     ,     
  391,19900820,     ,     ,     ,     ,  391,     ,     
  391,19900821,     ,     ,     ,     ,  391,     ,     
  391,19900822,     ,     ,     ,     ,  391,     ,     
  391,19900823,     ,     ,     ,     ,  391,     ,     
  391,19900824,     ,     ,     ,     ,  391,     ,     
  391,19900825,     ,     ,     ,     ,  391,     ,     
  391,19900826,     ,     ,     ,     ,  391,     ,     
  391,19900827,     ,     ,     ,     ,  391,     ,     
  391,19900828,     ,     ,     ,     ,  391,     ,     
  391,19900829,     ,     ,     ,     ,  391,     ,     
  391,19900830,     ,     ,     ,     ,  391,     ,     
  391,19900831,     ,     ,     ,     ,  391,     ,     
  391,19900901,     ,     ,     ,     ,  391,     ,     
  391,19900902,     ,     ,     ,     ,  391,     ,     
  391,19900903,     ,     ,     ,     ,  391,     ,     
  391,19900904,     ,     ,     ,     ,  391,     ,     
  391,19900905,     ,     ,     ,     ,  391,     ,     
  391,19900906,     ,     ,     ,     ,  391,     ,     
  391,19900907,     ,     ,     ,     ,  391,     ,     
  391,19900908,     ,     ,     ,     ,  391,     ,     
  391,19900909,     ,     ,     ,     ,  391,     ,     
  391,19900910,     ,     ,     ,     ,  391,     ,     
  391,19900911,     ,     ,     ,     ,  391,     ,     
  391,19900912,     ,     ,     ,     ,  391,     ,     
  391,19900913,     ,     ,     ,     ,  391,     ,     
  391,19900914,     ,     ,     ,     ,  391,     ,     
  391,19900915,     ,     ,     ,     ,  391,     ,     
  391,19900916,     ,     ,     ,     ,  391,     ,     
  391,19900917,     ,     ,     ,     ,  391,     ,     
  391,19900918,     ,     ,     ,     ,  391,     ,     
  391,19900919,     ,     ,     ,     ,  391,     ,     
  391,19900920,     ,     ,     ,     ,  391,     ,     
  391,19900921,     ,     ,     ,     ,  391,     ,     
  391,19900922,     ,     ,     ,     ,  391,     ,     
  391,19900923,     ,     ,     ,     ,  391,     ,     
  391,19900924,     ,     ,     ,     ,  391,     ,     
  391,19900925,     ,     ,     ,     ,  391,     ,     
  391,19900926,     ,     ,     ,     ,  391,     ,     
  391,19900927,     ,     ,     ,     ,  391,     ,     
  391,19900928,     ,     ,     ,     ,  391,     ,     
  391,19900929,     ,     ,     ,     ,  391,     ,     
  391,19900930,     ,     ,     ,     ,  391,     ,     
  391,19901001,     ,     ,     ,     ,  391,     ,     
  391,19901002,     ,     ,     ,     ,  391,     ,     
  391,19901003,     ,     ,     ,     ,  391,     ,     
  391,19901004,     ,     ,     ,     ,  391,     ,     
  391,19901005,     ,     ,     ,     ,  391,     ,     
  391,19901006,     ,     ,     ,     ,  391,     ,     
  391,19901007,     ,     ,     ,     ,  391,     ,     
  391,19901008,     ,     ,     ,     ,  391,     ,     
  391,19901009,     ,     ,     ,     ,  391,     ,     
  391,19901010,     ,     ,     ,     ,  391,     ,     
  391,19901011,     ,     ,     ,     ,  391,     ,     
  391,19901012,     ,     ,     ,     ,  391,     ,     
  391,19901013,     ,     ,     ,     ,  391,     ,     
  391,19901014,     ,     ,     ,     ,  391,     ,     
  391,19901015,     ,     ,     ,     ,  391,     ,     
  391,19901016,     ,     ,     ,     ,  391,     ,     
  391,19901017,     ,     ,     ,     ,  391,     ,     
  391,19901018,     ,     ,     ,     ,  391,     ,     
  391,19901019,     ,     ,     ,     ,  391,     ,     
  391,19901020,     ,     ,     ,     ,  391,     ,     
  391,19901021,     ,     ,     ,     ,  391,     ,     
  391,19901022,     ,     ,     ,     ,  391,     ,     
  391,19901023,     ,     ,     ,     ,  391,     ,     
  391,19901024,     ,     ,     ,     ,  391,     ,     
  391,19901025,     ,     ,     ,     ,  391,     ,     
  391,19901026,     ,     ,     ,     ,  391,     ,     
  391,19901027,     ,     ,     ,     ,  391,     ,     
  391,19901028,     ,     ,     ,     ,  391,     ,     
  391,19901029,     ,     ,     ,     ,  391,     ,     
  391,19901030,     ,     ,     ,     ,  391,     ,     
  391,19901031,     ,     ,     ,     ,  391,     ,     
  391,19901101,     ,     ,     ,     ,  391,     ,     
  391,19901102,     ,     ,     ,     ,  391,     ,     
  391,19901103,     ,     ,     ,     ,  391,     ,     
  391,19901104,     ,     ,     ,     ,  391,     ,     
  391,19901105,     ,     ,     ,     ,  391,     ,     
  391,19901106,     ,     ,     ,     ,  391,     ,     
  391,19901107,     ,     ,     ,     ,  391,     ,     
  391,19901108,     ,     ,     ,     ,  391,     ,     
  391,19901109,     ,     ,     ,     ,  391,     ,     
  391,19901110,     ,     ,     ,     ,  391,     ,     
  391,19901111,     ,     ,     ,     ,  391,     ,     
  391,19901112,     ,     ,     ,     ,  391,     ,     
  391,19901113,     ,     ,     ,     ,  391,     ,     
  391,19901114,     ,     ,     ,     ,  391,     ,     
  391,19901115,     ,     ,     ,     ,  391,     ,     
  391,19901116,     ,     ,     ,     ,  391,     ,     
  391,19901117,     ,     ,     ,     ,  391,     ,     
  391,19901118,     ,     ,     ,     ,  391,     ,     
  391,19901119,     ,     ,     ,     ,  391,     ,     
  391,19901120,     ,     ,     ,     ,  391,     ,     
  391,19901121,     ,     ,     ,     ,  391,     ,     
  391,19901122,     ,     ,     ,     ,  391,     ,     
  391,19901123,     ,     ,     ,     ,  391,     ,     
  391,19901124,     ,     ,     ,     ,  391,     ,     
  391,19901125,     ,     ,     ,     ,  391,     ,     
  391,19901126,     ,     ,     ,     ,  391,     ,     
  391,19901127,     ,     ,     ,     ,  391,     ,     
  391,19901128,     ,     ,     ,     ,  391,     ,     
  391,19901129,     ,     ,     ,     ,  391,     ,     
  391,19901130,     ,     ,     ,     ,  391,     ,     
  391,19901201,     ,     ,     ,     ,  391,     ,     
  391,19901202,     ,     ,     ,     ,  391,     ,     
  391,19901203,     ,     ,     ,     ,  391,     ,     
  391,19901204,     ,     ,     ,     ,  391,     ,     
  391,19901205,     ,     ,     ,     ,  391,     ,     
  391,19901206,     ,     ,     ,     ,  391,     ,     
  391,19901207,     ,     ,     ,     ,  391,     ,     
  391,19901208,     ,     ,     ,     ,  391,     ,     
  391,19901209,     ,     ,     ,     ,  391,     ,     
  391,19901210,     ,     ,     ,     ,  391,     ,     
  391,19901211,     ,     ,     ,     ,  391,     ,     
  391,19901212,     ,     ,     ,     ,  391,     ,     
  391,19901213,     ,     ,     ,     ,  391,     ,     
  391,19901214,     ,     ,     ,     ,  391,     ,     
  391,19901215,     ,     ,     ,     ,  391,     ,     
  391,19901216,     ,     ,     ,     ,  391,     ,     
  391,19901217,     ,     ,     ,     ,  391,     ,     
  391,19901218,     ,     ,     ,     ,  391,     ,     
  391,19901219,     ,     ,     ,     ,  391,     ,     
  391,19901220,     ,     ,     ,     ,  391,     ,     
  391,19901221,     ,     ,     ,     ,  391,     ,     
  391,19901222,     ,     ,     ,     ,  391,     ,     
  391,19901223,     ,     ,     ,     ,  391,     ,     
  391,19901224,     ,     ,     ,     ,  391,     ,     
  391,19901225,     ,     ,     ,     ,  391,     ,     
  391,19901226,     ,     ,     ,     ,  391,     ,     
  391,19901227,     ,     ,     ,     ,  391,     ,     
  391,19901228,     ,     ,     ,     ,  391,     ,     
  391,19901229,     ,     ,     ,     ,  391,     ,     
  391,19901230,     ,     ,     ,     ,  391,     ,     
  391,19901231,     ,     ,     ,     ,  391,     ,     
  391,19910101,     ,     ,     ,     ,  391,     ,     
  391,19910102,     ,     ,     ,     ,  391,     ,     
  391,19910103,     ,     ,     ,     ,  391,     ,     
  391,19910104,     ,     ,     ,     ,  391,     ,     
  391,19910105,     ,     ,     ,     ,  391,     ,     
  391,19910106,     ,     ,     ,     ,  391,     ,     
  391,19910107,     ,     ,     ,     ,  391,     ,     
  391,19910108,     ,     ,     ,     ,  391,     ,     
  391,19910109,     ,     ,     ,     ,  391,     ,     
  391,19910110,     ,     ,     ,     ,  391,     ,     
  391,19910111,     ,     ,     ,     ,  391,     ,     
  391,19910112,     ,     ,     ,     ,  391,     ,     
  391,19910113,     ,     ,     ,     ,  391,     ,     
  391,19910114,     ,     ,     ,     ,  391,     ,     
  391,19910115,     ,     ,     ,     ,  391,     ,     
  391,19910116,     ,     ,     ,     ,  391,     ,     
  391,19910117,     ,     ,     ,     ,  391,     ,     
  391,19910118,     ,     ,     ,     ,  391,     ,     
  391,19910119,     ,     ,     ,     ,  391,     ,     
  391,19910120,     ,     ,     ,     ,  391,     ,     
  391,19910121,     ,     ,     ,     ,  391,     ,     
  391,19910122,     ,     ,     ,     ,  391,     ,     
