level	value	count	cumlative
0	0.01	1	0.000026
1	0.01	0	0.000026
2	0.01	0	0.000026
3	0.01	0	0.000026
4	0.01	0	0.000026
5	0.01	0	0.000026
6	0.01	0	0.000026
7	0.01	0	0.000026
8	0.01	0	0.000026
9	0.01	0	0.000026
10	0.01	0	0.000026
11	0.01	0	0.000026
12	0.01	0	0.000026
13	0.01	0	0.000026
14	0.01	0	0.000026
15	0.01	0	0.000026
16	0.01	0	0.000026
17	0.01	0	0.000026
18	0.01	0	0.000026
19	0.01	0	0.000026
20	0.01	0	0.000026
21	0.01	0	0.000026
22	0.01	0	0.000026
23	0.01	0	0.000026
24	0.01	0	0.000026
25	0.01	0	0.000026
26	0.01	0	0.000026
27	0.01	0	0.000026
28	0.01	1	0.000051
29	0.01	0	0.000051
30	0.01	0	0.000051
31	0.01	2	0.000102
32	0.01	0	0.000102
33	0.01	0	0.000102
34	0.01	0	0.000102
35	0.01	0	0.000102
36	0.01	0	0.000102
37	0.01	0	0.000102
38	0.01	0	0.000102
39	0.01	0	0.000102
40	0.01	1	0.000128
41	0.01	0	0.000128
42	0.01	0	0.000128
43	0.01	0	0.000128
44	0.01	0	0.000128
45	0.01	2	0.000179
46	0.01	0	0.000179
47	0.01	0	0.000179
48	0.01	1	0.000205
49	0.01	0	0.000205
50	0.01	0	0.000205
51	0.01	0	0.000205
52	0.01	0	0.000205
53	0.01	0	0.000205
54	0.01	4	0.000307
55	0.01	0	0.000307
56	0.01	0	0.000307
57	0.01	2	0.000358
58	0.01	0	0.000358
59	0.01	0	0.000358
60	0.01	1	0.000384
61	0.01	0	0.000384
62	0.01	0	0.000384
63	0.01	0	0.000384
64	0.01	1	0.000409
65	0.01	0	0.000409
66	0.01	0	0.000409
67	0.01	2	0.000460
68	0.01	0	0.000460
69	0.01	2	0.000511
70	0.01	2	0.000563
71	0.01	0	0.000563
72	0.01	0	0.000563
73	0.01	0	0.000563
74	0.01	1	0.000588
75	0.01	0	0.000588
76	0.01	3	0.000665
77	0.01	0	0.000665
78	0.01	0	0.000665
79	0.01	6	0.000818
80	0.01	3	0.000895
81	0.01	9	0.001125
82	0.01	6	0.001279
83	0.01	7	0.001458
84	0.01	18	0.001918
85	0.01	13	0.002250
86	0.01	8	0.002455
87	0.01	14	0.002813
88	0.01	12	0.003120
89	0.01	19	0.003605
90	0.01	10	0.003861
91	0.01	18	0.004321
92	0.01	17	0.004756
93	0.01	12	0.005063
94	0.01	12	0.005370
95	0.01	29	0.006111
96	0.01	8	0.006316
97	0.01	17	0.006751
98	0.01	16	0.007160
99	0.01	18	0.007620
100	0.01	20	0.008131
101	0.01	10	0.008387
102	0.01	34	0.009256
103	0.01	18	0.009717
104	0.01	12	0.010024
105	0.01	27	0.010714
106	0.01	16	0.011123
107	0.01	24	0.011737
108	0.01	26	0.012402
109	0.01	21	0.012939
110	0.01	13	0.013271
111	0.01	30	0.014038
112	0.01	22	0.014601
113	0.01	36	0.015521
114	0.01	29	0.016263
115	0.01	37	0.017209
116	0.01	23	0.017797
117	0.01	31	0.018590
118	0.01	23	0.019178
119	0.01	44	0.020303
120	0.01	28	0.021019
121	0.01	29	0.021760
122	0.01	25	0.022400
123	0.01	45	0.023550
124	0.01	24	0.024164
125	0.01	39	0.025161
126	0.01	40	0.026184
127	0.01	56	0.027616
128	0.01	39	0.028613
129	0.01	27	0.029303
130	0.01	74	0.031196
131	0.01	46	0.032372
132	0.01	138	0.035901
133	0.01	73	0.037767
134	0.01	182	0.042421
135	0.01	84	0.044569
136	0.01	98	0.047075
137	0.01	234	0.053058
138	0.01	74	0.054950
139	0.01	188	0.059758
140	0.01	96	0.062212
141	0.01	90	0.064514
142	0.01	136	0.067991
143	0.01	75	0.069909
144	0.01	117	0.072901
145	0.01	67	0.074614
146	0.01	59	0.076123
147	0.01	96	0.078577
148	0.01	62	0.080163
149	0.01	118	0.083180
150	0.01	75	0.085098
151	0.01	63	0.086709
152	0.01	125	0.089905
153	0.01	101	0.092487
154	0.01	79	0.094508
155	0.01	205	0.099749
156	0.01	145	0.103457
157	0.01	136	0.106935
158	0.01	225	0.112688
159	0.01	198	0.117751
160	0.01	313	0.125754
161	0.01	254	0.132249
162	0.01	304	0.140023
163	0.01	406	0.150404
164	0.01	420	0.161144
165	0.01	412	0.171678
166	0.01	637	0.187967
167	0.01	699	0.205840
168	0.01	651	0.222486
169	0.01	796	0.242840
170	0.01	439	0.254066
171	0.01	381	0.263808
172	0.01	273	0.270789
173	0.01	115	0.273729
174	0.01	91	0.276056
175	0.01	77	0.278025
176	0.01	96	0.280480
177	0.01	69	0.282244
178	0.01	70	0.284034
179	0.01	56	0.285466
180	0.01	31	0.286259
181	0.01	30	0.287026
182	0.01	50	0.288304
183	0.01	27	0.288995
184	0.01	30	0.289762
185	0.01	21	0.290299
186	0.01	24	0.290912
187	0.01	20	0.291424
188	0.01	42	0.292498
189	0.01	10	0.292753
190	0.01	11	0.293035
191	0.01	36	0.293955
192	0.01	7	0.294134
193	0.01	19	0.294620
194	0.01	12	0.294927
195	0.01	20	0.295438
196	0.01	10	0.295694
197	0.01	14	0.296052
198	0.01	27	0.296742
199	0.01	2	0.296793
200	0.01	28	0.297509
201	0.01	28	0.298225
202	0.01	21	0.298762
203	0.01	14	0.299120
204	0.01	10	0.299376
205	0.01	21	0.299913
206	0.01	33	0.300757
207	0.01	10	0.301013
208	0.01	32	0.301831
209	0.01	22	0.302393
210	0.01	18	0.302854
211	0.01	36	0.303774
212	0.01	29	0.304516
213	0.01	39	0.305513
214	0.01	30	0.306280
215	0.01	32	0.307098
216	0.01	19	0.307584
217	0.01	17	0.308019
218	0.01	31	0.308811
219	0.01	37	0.309758
220	0.01	10	0.310013
221	0.01	55	0.311420
222	0.01	2	0.311471
223	0.01	32	0.312289
224	0.01	24	0.312903
225	0.01	28	0.313619
226	0.01	29	0.314360
227	0.01	33	0.315204
228	0.01	19	0.315690
229	0.01	44	0.316815
230	0.01	18	0.317275
231	0.01	55	0.318682
232	0.01	20	0.319193
233	0.01	37	0.320139
234	0.01	35	0.321034
235	0.01	63	0.322645
236	0.01	18	0.323105
237	0.01	47	0.324307
238	0.01	39	0.325304
239	0.01	32	0.326123
240	0.01	70	0.327912
241	0.01	79	0.329932
242	0.01	4	0.330035
243	0.01	80	0.332080
244	0.01	37	0.333026
245	0.01	63	0.334637
246	0.01	61	0.336197
247	0.01	37	0.337143
248	0.01	71	0.338959
249	0.01	106	0.341669
250	0.01	2	0.341720
251	0.01	85	0.343894
252	0.01	74	0.345786
253	0.01	28	0.346502
254	0.01	99	0.349033
255	0.01	85	0.351207
256	0.01	29	0.351948
257	0.01	95	0.354378
258	0.01	79	0.356398
259	0.01	33	0.357241
260	0.01	90	0.359543
261	0.01	95	0.361972
262	0.01	14	0.362330
263	0.01	91	0.364657
264	0.01	130	0.367981
265	0.01	3	0.368058
266	0.01	110	0.370870
267	0.01	70	0.372660
268	0.01	25	0.373300
269	0.01	140	0.376879
270	0.01	81	0.378951
271	0.01	53	0.380306
272	0.01	100	0.382863
273	0.01	122	0.385982
274	0.01	30	0.386750
275	0.01	80	0.388795
276	0.01	123	0.391940
277	0.01	29	0.392682
278	0.01	94	0.395085
279	0.01	155	0.399049
280	0.01	102	0.401657
281	0.01	29	0.402398
282	0.01	126	0.405620
283	0.01	108	0.408382
284	0.01	37	0.409328
285	0.01	137	0.412831
286	0.01	114	0.415746
287	0.01	36	0.416667
288	0.01	156	0.420656
289	0.01	157	0.424670
290	0.01	86	0.426869
291	0.01	32	0.427687
292	0.01	159	0.431753
293	0.01	118	0.434770
294	0.01	21	0.435307
295	0.01	152	0.439194
296	0.01	187	0.443976
297	0.01	21	0.444513
298	0.01	157	0.448527
299	0.01	119	0.451570
300	0.01	168	0.455866
301	0.01	30	0.456633
302	0.01	142	0.460264
303	0.01	209	0.465608
304	0.01	4	0.465710
305	0.01	132	0.469086
306	0.01	234	0.475069
307	0.01	208	0.480388
308	0.01	24	0.481001
309	0.01	146	0.484735
310	0.01	285	0.492022
311	0.01	127	0.495270
312	0.01	24	0.495883
313	0.01	217	0.501432
314	0.01	180	0.506035
315	0.01	33	0.506878
316	0.01	221	0.512529
317	0.01	190	0.517388
318	0.01	238	0.523473
319	0.01	28	0.524189
