level	value	count	cumlative
0	50.82	5277435	0.996717
1	1271.32	10378	0.998677
2	2491.82	2116	0.999076
3	3712.32	1088	0.999282
4	4932.82	686	0.999411
5	6153.32	467	0.999500
6	7373.82	360	0.999568
7	8594.32	270	0.999618
8	9814.82	213	0.999659
9	11035.32	183	0.999693
10	12255.82	163	0.999724
11	13476.32	116	0.999746
12	14696.82	141	0.999773
13	15917.32	102	0.999792
14	17137.82	96	0.999810
15	18358.32	69	0.999823
16	19578.82	59	0.999834
17	20799.32	59	0.999845
18	22019.82	47	0.999854
19	23240.32	41	0.999862
20	24460.82	43	0.999870
21	25681.32	44	0.999878
22	26901.82	32	0.999884
23	28122.32	14	0.999887
24	29342.82	21	0.999891
25	30563.32	35	0.999898
26	31783.82	12	0.999900
27	33004.32	15	0.999903
28	34224.82	30	0.999908
29	35445.32	14	0.999911
30	36665.82	14	0.999914
31	37886.32	19	0.999917
32	39106.82	19	0.999921
33	40327.32	23	0.999925
34	41547.82	1	0.999925
35	42768.32	20	0.999929
36	43988.82	13	0.999932
37	45209.32	8	0.999933
38	46429.82	10	0.999935
39	47650.32	13	0.999937
40	48870.82	8	0.999939
41	50091.32	6	0.999940
42	51311.82	16	0.999943
43	52532.32	3	0.999944
44	53752.82	3	0.999944
45	54973.32	4	0.999945
46	56193.82	17	0.999948
47	57414.32	0	0.999948
48	58634.82	25	0.999953
49	59855.32	0	0.999953
50	61075.82	0	0.999953
51	62296.32	14	0.999956
52	63516.82	0	0.999956
53	64737.32	0	0.999956
54	65957.82	18	0.999959
55	67178.32	3	0.999960
56	68398.82	0	0.999960
57	69619.32	6	0.999961
58	70839.82	1	0.999961
59	72060.32	8	0.999962
60	73280.82	0	0.999962
61	74501.32	5	0.999963
62	75721.82	16	0.999966
63	76942.32	0	0.999966
64	78162.82	3	0.999967
65	79383.32	7	0.999968
66	80603.82	0	0.999968
67	81824.32	3	0.999969
68	83044.82	0	0.999969
69	84265.32	6	0.999970
70	85485.82	2	0.999970
71	86706.32	0	0.999970
72	87926.82	9	0.999972
73	89147.32	0	0.999972
74	90367.82	0	0.999972
75	91588.32	3	0.999973
76	92808.82	2	0.999973
77	94029.32	0	0.999973
78	95249.82	0	0.999973
79	96470.32	10	0.999975
80	97690.82	0	0.999975
81	98911.32	8	0.999976
82	100131.82	0	0.999976
83	101352.32	0	0.999976
84	102572.82	0	0.999976
85	103793.32	5	0.999977
86	105013.82	0	0.999977
87	106234.32	11	0.999979
88	107454.82	3	0.999980
89	108675.32	0	0.999980
90	109895.82	0	0.999980
91	111116.32	0	0.999980
92	112336.82	0	0.999980
93	113557.32	0	0.999980
94	114777.82	0	0.999980
95	115998.32	0	0.999980
96	117218.82	10	0.999982
97	118439.32	3	0.999982
98	119659.82	0	0.999982
99	120880.32	0	0.999982
100	122100.82	0	0.999982
101	123321.32	0	0.999982
102	124541.82	0	0.999982
103	125762.32	0	0.999982
104	126982.82	0	0.999982
105	128203.32	0	0.999982
106	129423.82	0	0.999982
107	130644.32	0	0.999982
108	131864.82	15	0.999985
109	133085.32	3	0.999986
110	134305.82	0	0.999986
111	135526.32	0	0.999986
112	136746.82	0	0.999986
113	137967.32	0	0.999986
114	139187.82	0	0.999986
115	140408.32	0	0.999986
116	141628.82	0	0.999986
117	142849.32	0	0.999986
118	144069.82	0	0.999986
119	145290.32	0	0.999986
120	146510.82	0	0.999986
121	147731.32	7	0.999987
122	148951.82	0	0.999987
123	150172.32	0	0.999987
124	151392.82	7	0.999988
125	152613.32	0	0.999988
126	153833.82	0	0.999988
127	155054.32	1	0.999989
128	156274.82	0	0.999989
129	157495.32	0	0.999989
130	158715.82	0	0.999989
131	159936.32	0	0.999989
132	161156.82	0	0.999989
133	162377.32	0	0.999989
134	163597.82	0	0.999989
135	164818.32	0	0.999989
136	166038.82	0	0.999989
137	167259.32	0	0.999989
138	168479.82	3	0.999989
139	169700.32	0	0.999989
140	170920.82	0	0.999989
141	172141.32	0	0.999989
