level	value	count	cumlative
0	-0.80	3372727	0.636986
1	-0.79	0	0.636986
2	-0.78	422	0.637066
3	-0.77	200	0.637104
4	-0.76	323	0.637165
5	-0.75	1045	0.637362
6	-0.74	333	0.637425
7	-0.73	472	0.637514
8	-0.72	1250	0.637750
9	-0.71	1459	0.638026
10	-0.70	226	0.638068
11	-0.69	4371	0.638894
12	-0.68	712	0.639028
13	-0.67	984	0.639214
14	-0.66	314	0.639273
15	-0.65	262	0.639323
16	-0.64	1581	0.639622
17	-0.63	725	0.639758
18	-0.62	473	0.639848
19	-0.61	5269	0.640843
20	-0.60	1372	0.641102
21	-0.59	1241	0.641336
22	-0.58	1495	0.641619
23	-0.57	1646	0.641930
24	-0.56	3270	0.642547
25	-0.55	30896	0.648382
26	-0.54	4344	0.649203
27	-0.53	6376	0.650407
28	-0.52	9016	0.652110
29	-0.51	8666	0.653746
30	-0.50	9232	0.655490
31	-0.49	8711	0.657135
32	-0.48	16185	0.660192
33	-0.47	13678	0.662775
34	-0.46	16791	0.665947
35	-0.45	15606	0.668894
36	-0.44	25301	0.673672
37	-0.43	15043	0.676513
38	-0.42	22413	0.680746
39	-0.41	25174	0.685501
40	-0.40	25894	0.690391
41	-0.39	34293	0.696868
42	-0.38	22021	0.701027
43	-0.37	34893	0.707617
44	-0.36	26957	0.712708
45	-0.35	31204	0.718602
46	-0.34	36498	0.725495
47	-0.33	30783	0.731309
48	-0.32	34514	0.737827
49	-0.31	42005	0.745760
50	-0.30	29479	0.751328
51	-0.29	32451	0.757457
52	-0.28	34166	0.763909
53	-0.27	41632	0.771772
54	-0.26	29408	0.777326
55	-0.25	39294	0.784747
56	-0.24	30081	0.790429
57	-0.23	30856	0.796256
58	-0.22	36265	0.803105
59	-0.21	35865	0.809879
60	-0.20	30131	0.815570
61	-0.19	28947	0.821037
62	-0.18	32177	0.827114
63	-0.17	33005	0.833347
64	-0.16	25497	0.838163
65	-0.15	27646	0.843384
66	-0.14	27234	0.848527
67	-0.13	26304	0.853495
68	-0.12	25262	0.858266
69	-0.11	25540	0.863090
70	-0.10	26873	0.868165
71	-0.09	22166	0.872352
72	-0.08	22392	0.876581
73	-0.07	20522	0.880457
74	-0.06	21166	0.884454
75	-0.05	21197	0.888457
76	-0.04	13747	0.891054
77	-0.03	19377	0.894713
78	-0.02	18308	0.898171
79	-0.01	16867	0.901357
80	0.00	18294	0.904812
81	0.01	15383	0.907717
82	0.02	17927	0.911103
83	0.03	15439	0.914019
84	0.04	11482	0.916187
85	0.05	14764	0.918976
86	0.06	13754	0.921573
87	0.07	13916	0.924201
88	0.08	12435	0.926550
89	0.09	10149	0.928467
90	0.10	11571	0.930652
91	0.11	12313	0.932978
92	0.12	12732	0.935382
93	0.13	8497	0.936987
94	0.14	12473	0.939343
95	0.15	9128	0.941067
96	0.16	12466	0.943421
97	0.17	8243	0.944978
98	0.18	10905	0.947037
99	0.19	10419	0.949005
100	0.20	9641	0.950826
101	0.21	6719	0.952095
102	0.22	10178	0.954017
103	0.23	10681	0.956034
104	0.24	9046	0.957743
105	0.25	7997	0.959253
106	0.26	9443	0.961037
107	0.27	7080	0.962374
108	0.28	9630	0.964193
109	0.29	7233	0.965559
110	0.30	9362	0.967327
111	0.31	7637	0.968769
112	0.32	6576	0.970011
113	0.33	7985	0.971519
114	0.34	7865	0.973005
115	0.35	6899	0.974308
116	0.36	4736	0.975202
117	0.37	8476	0.976803
118	0.38	7724	0.978262
119	0.39	4030	0.979023
120	0.40	5966	0.980149
121	0.41	4657	0.981029
122	0.42	5540	0.982075
123	0.43	6788	0.983357
124	0.44	3477	0.984014
125	0.45	4542	0.984872
126	0.46	4419	0.985706
127	0.47	3735	0.986412
128	0.48	3777	0.987125
129	0.49	4003	0.987881
130	0.50	3623	0.988565
131	0.51	2556	0.989048
132	0.52	3791	0.989764
133	0.53	2831	0.990299
134	0.54	2409	0.990754
135	0.55	2628	0.991250
136	0.56	2513	0.991725
137	0.57	2110	0.992123
138	0.58	2482	0.992592
139	0.59	1719	0.992917
140	0.60	1916	0.993279
141	0.61	2338	0.993720
142	0.62	1649	0.994032
143	0.63	1457	0.994307
144	0.64	2035	0.994691
145	0.65	1552	0.994984
146	0.66	1199	0.995211
147	0.67	1675	0.995527
148	0.68	1050	0.995725
149	0.69	1429	0.995995
150	0.70	1066	0.996196
151	0.71	1755	0.996528
152	0.72	804	0.996680
153	0.73	1131	0.996893
154	0.74	749	0.997035
155	0.75	1059	0.997235
156	0.76	873	0.997400
157	0.77	827	0.997556
158	0.78	1247	0.997791
159	0.79	676	0.997919
160	0.80	682	0.998048
161	0.81	751	0.998190
162	0.82	487	0.998282
163	0.83	439	0.998365
164	0.84	446	0.998449
165	0.85	757	0.998592
166	0.86	406	0.998669
167	0.87	476	0.998758
168	0.88	332	0.998821
169	0.89	292	0.998876
170	0.90	208	0.998916
171	0.91	509	0.999012
172	0.92	141	0.999038
173	0.93	301	0.999095
174	0.94	147	0.999123
175	0.95	283	0.999176
176	0.96	190	0.999212
177	0.97	197	0.999249
178	0.98	278	0.999302
179	0.99	170	0.999334
180	1.00	203	0.999372
181	1.01	197	0.999410
182	1.02	197	0.999447
183	1.03	95	0.999465
184	1.04	159	0.999495
185	1.05	155	0.999524
186	1.06	137	0.999550
187	1.07	101	0.999569
188	1.08	164	0.999600
189	1.09	126	0.999624
190	1.10	69	0.999637
191	1.11	100	0.999656
192	1.12	101	0.999675
193	1.13	110	0.999696
194	1.14	47	0.999704
195	1.15	88	0.999721
196	1.16	58	0.999732
197	1.17	65	0.999744
198	1.18	123	0.999768
199	1.19	56	0.999778
200	1.20	30	0.999784
201	1.21	73	0.999798
202	1.22	42	0.999805
203	1.23	30	0.999811
204	1.24	74	0.999825
205	1.25	35	0.999832
206	1.26	57	0.999842
207	1.27	28	0.999848
208	1.28	30	0.999853
209	1.29	58	0.999864
210	1.30	52	0.999874
211	1.31	10	0.999876
212	1.32	46	0.999885
213	1.33	16	0.999888
214	1.34	10	0.999890
215	1.35	43	0.999898
216	1.36	4	0.999899
217	1.37	49	0.999908
218	1.38	8	0.999909
219	1.39	23	0.999914
220	1.40	37	0.999921
221	1.41	6	0.999922
222	1.42	15	0.999925
223	1.43	16	0.999928
224	1.44	3	0.999928
225	1.45	8	0.999930
226	1.46	35	0.999936
227	1.47	8	0.999938
228	1.48	8	0.999939
229	1.49	25	0.999944
230	1.50	0	0.999944
231	1.51	5	0.999945
232	1.52	18	0.999948
233	1.53	6	0.999950
234	1.54	6	0.999951
235	1.55	18	0.999954
236	1.56	16	0.999957
237	1.57	2	0.999958
238	1.58	13	0.999960
239	1.59	10	0.999962
240	1.60	0	0.999962
241	1.61	17	0.999965
242	1.62	0	0.999965
243	1.63	3	0.999966
244	1.64	10	0.999968
245	1.65	3	0.999968
246	1.66	20	0.999972
247	1.67	4	0.999973
248	1.68	9	0.999974
249	1.69	7	0.999976
250	1.70	1	0.999976
251	1.71	12	0.999978
252	1.72	0	0.999978
253	1.73	2	0.999978
254	1.74	22	0.999983
255	1.75	92	1.000000

