level	value	count	cumlative
0	10.00	3376686	0.637734
1	11.24	58	0.637745
2	12.48	165	0.637776
3	13.72	128	0.637800
4	14.96	79	0.637815
5	16.20	126	0.637839
6	17.44	268	0.637889
7	18.68	148	0.637917
8	19.92	261	0.637967
9	21.16	428	0.638048
10	22.40	903	0.638218
11	23.64	636	0.638338
12	24.88	482	0.638429
13	26.12	547	0.638533
14	27.36	1934	0.638898
15	28.60	1061	0.639098
16	29.84	1005	0.639288
17	31.08	959	0.639469
18	32.32	3084	0.640052
19	33.56	1930	0.640416
20	34.80	2008	0.640795
21	36.04	1972	0.641168
22	37.28	5219	0.642153
23	38.52	3599	0.642833
24	39.76	3481	0.643491
25	41.00	3332	0.644120
26	42.24	8533	0.645731
27	43.48	5891	0.646844
28	44.72	5943	0.647967
29	45.96	5344	0.648976
30	47.20	13058	0.651442
31	48.44	9279	0.653194
32	49.68	7736	0.654655
33	50.92	6978	0.655973
34	52.16	15898	0.658976
35	53.40	11161	0.661084
36	54.64	9408	0.662861
37	55.88	7793	0.664332
38	57.12	19964	0.668103
39	58.36	12401	0.670445
40	59.60	11363	0.672591
41	60.84	10785	0.674628
42	62.08	11356	0.676773
43	63.32	28746	0.682202
44	64.56	15551	0.685139
45	65.80	14087	0.687799
46	67.04	14192	0.690480
47	68.28	34879	0.697067
48	69.52	17200	0.700316
49	70.76	15650	0.703271
50	72.00	17489	0.706574
51	73.24	42386	0.714580
52	74.48	19035	0.718175
53	75.72	17683	0.721514
54	76.96	20063	0.725303
55	78.20	48456	0.734455
56	79.44	24556	0.739093
57	80.68	24586	0.743736
58	81.92	21635	0.747822
59	83.16	48345	0.756953
60	84.40	28158	0.762271
61	85.64	28072	0.767573
62	86.88	26311	0.772542
63	88.12	58824	0.783652
64	89.36	27816	0.788905
65	90.60	24618	0.793554
66	91.84	26723	0.798601
67	93.08	68991	0.811631
68	94.32	29783	0.817256
69	95.56	26173	0.822199
70	96.80	30352	0.827932
71	98.04	60627	0.839382
72	99.28	32570	0.845533
73	100.52	33983	0.851952
74	101.76	29617	0.857545
75	103.00	57277	0.868363
76	104.24	30431	0.874110
77	105.48	27846	0.879369
78	106.72	28453	0.884743
79	107.96	61198	0.896301
80	109.20	25829	0.901179
81	110.44	22324	0.905395
82	111.68	21352	0.909428
83	112.92	52825	0.919405
84	114.16	22343	0.923624
85	115.40	18186	0.927059
86	116.64	19869	0.930812
87	117.88	37232	0.937843
88	119.12	16515	0.940962
89	120.36	16491	0.944077
90	121.60	14947	0.946900
91	122.84	29550	0.952481
92	124.08	13243	0.954982
93	125.32	10744	0.957011
94	126.56	10456	0.958986
95	127.80	23515	0.963427
96	129.04	10009	0.965317
97	130.28	7789	0.966788
98	131.52	7474	0.968200
99	132.76	17391	0.971485
100	134.00	7432	0.972888
101	135.24	6416	0.974100
102	136.48	5697	0.975176
103	137.72	12699	0.977574
104	138.96	5663	0.978644
105	140.20	4592	0.979511
106	141.44	4179	0.980300
107	142.68	9613	0.982116
108	143.92	4301	0.982928
109	145.16	3266	0.983545
110	146.40	3081	0.984127
111	147.64	7184	0.985484
112	148.88	2802	0.986013
113	150.12	2235	0.986435
114	151.36	2410	0.986890
115	152.60	5769	0.987980
116	153.84	1984	0.988354
117	155.08	1725	0.988680
118	156.32	2149	0.989086
119	157.56	4133	0.989867
120	158.80	1681	0.990184
121	160.04	1701	0.990505
122	161.28	1714	0.990829
123	162.52	3080	0.991411
124	163.76	1339	0.991664
125	165.00	1517	0.991950
126	166.24	1476	0.992229
127	167.48	1156	0.992447
128	168.72	2642	0.992946
129	169.96	1178	0.993169
130	171.20	944	0.993347
131	172.44	934	0.993523
132	173.68	2444	0.993985
133	174.92	890	0.994153
134	176.16	781	0.994301
135	177.40	804	0.994453
136	178.64	1984	0.994827
137	179.88	665	0.994953
138	181.12	730	0.995091
139	182.36	860	0.995253
140	183.60	1455	0.995528
141	184.84	469	0.995616
142	186.08	527	0.995716
143	187.32	708	0.995850
144	188.56	952	0.996030
145	189.80	426	0.996110
146	191.04	540	0.996212
147	192.28	478	0.996302
148	193.52	737	0.996441
149	194.76	431	0.996523
150	196.00	457	0.996609
151	197.24	295	0.996665
152	198.48	658	0.996789
153	199.72	371	0.996859
154	200.96	251	0.996907
155	202.20	272	0.996958
156	203.44	587	0.997069
157	204.68	251	0.997116
158	205.92	236	0.997161
159	207.16	200	0.997199
160	208.40	463	0.997286
161	209.64	189	0.997322
162	210.88	178	0.997355
163	212.12	206	0.997394
164	213.36	386	0.997467
165	214.60	232	0.997511
166	215.84	170	0.997543
167	217.08	185	0.997578
168	218.32	295	0.997634
169	219.56	203	0.997672
170	220.80	175	0.997705
171	222.04	133	0.997730
172	223.28	341	0.997795
173	224.52	158	0.997824
174	225.76	123	0.997848
175	227.00	155	0.997877
176	228.24	345	0.997942
177	229.48	116	0.997964
178	230.72	152	0.997993
179	231.96	217	0.998034
180	233.20	348	0.998099
181	234.44	167	0.998131
182	235.68	192	0.998167
183	236.92	213	0.998207
184	238.16	331	0.998270
185	239.40	155	0.998299
186	240.64	204	0.998338
187	241.88	148	0.998366
188	243.12	286	0.998420
189	244.36	201	0.998458
190	245.60	180	0.998492
191	246.84	137	0.998518
192	248.08	344	0.998583
193	249.32	162	0.998613
194	250.56	172	0.998646
195	251.80	161	0.998676
196	253.04	425	0.998756
197	254.28	208	0.998796
198	255.52	192	0.998832
199	256.76	149	0.998860
200	258.00	386	0.998933
201	259.24	154	0.998962
202	260.48	172	0.998994
203	261.72	144	0.999022
204	262.96	364	0.999090
205	264.20	112	0.999112
206	265.44	162	0.999142
207	266.68	135	0.999168
208	267.92	325	0.999229
209	269.16	123	0.999252
210	270.40	171	0.999285
211	271.64	191	0.999321
212	272.88	112	0.999342
213	274.12	240	0.999387
214	275.36	162	0.999418
215	276.60	111	0.999439
216	277.84	117	0.999461
217	279.08	227	0.999504
218	280.32	112	0.999525
219	281.56	84	0.999541
220	282.80	69	0.999554
221	284.04	237	0.999598
222	285.28	78	0.999613
223	286.52	89	0.999630
224	287.76	129	0.999654
225	289.00	176	0.999688
226	290.24	56	0.999698
227	291.48	126	0.999722
228	292.72	101	0.999741
229	293.96	143	0.999768
230	295.20	67	0.999781
231	296.44	67	0.999793
232	297.68	78	0.999808
233	298.92	137	0.999834
234	300.16	38	0.999841
235	301.40	41	0.999849
236	302.64	45	0.999857
237	303.88	94	0.999875
238	305.12	36	0.999882
239	306.36	31	0.999888
240	307.60	37	0.999895
241	308.84	81	0.999910
242	310.08	23	0.999914
243	311.32	49	0.999924
244	312.56	24	0.999928
245	313.80	44	0.999937
246	315.04	31	0.999942
247	316.28	29	0.999948
248	317.52	13	0.999950
249	318.76	38	0.999958
250	320.00	20	0.999961
251	321.24	8	0.999963
252	322.48	13	0.999965
253	323.72	32	0.999971
254	324.96	9	0.999973
255	326.20	143	1.000000

